name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,334155,278201,75772,68990,237318,27543,2572,361,17189
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,238978,195790,60784,38101,177051,26300,421,163,14538
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,95177,82411,14988,30889,60267,1243,2151,198,2651
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,518200,384349,173267,234753,242705,3664,33681,1752,41061
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,367688,276087,125232,178058,171889,3311,13444,866,33751
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,150512,108262,48035,56695,70816,353,20237,886,7310
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,652974,523870,149567,179711,417270,3708,50679,1452,20617
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,401341,326288,90192,139522,246498,3062,11955,362,15081
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,251633,197582,59375,40189,170772,646,38724,1090,5536
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,310053,306864,6447,53333,256153,573,39,9,3204
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,254154,251464,5678,48041,205664,464,27,9,2937
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,55899,55400,769,5292,50489,109,12,,267
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,275440,234788,54050,36486,225246,8457,1457,281,16911
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,207743,175118,43104,28428,168890,7270,515,149,12970
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,67697,59670,10946,8058,56356,1187,942,132,3941
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,252125,224924,31514,48468,188925,528,13736,251,4530
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,170165,156745,16598,38320,127398,323,4113,43,3146
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,81960,68179,14916,10148,61527,205,9623,208,1384
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,414669,289171,165293,162258,186834,8818,47315,891,48348
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,302802,235488,104377,129790,153968,8507,7245,419,39936
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,111867,53683,60916,32468,32866,311,40070,472,8412
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1286143,464914,917859,282845,506618,3627,303495,69612,216576
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,673918,279563,435009,175455,327485,1682,105533,8600,95817
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,612225,185351,482850,107390,179133,1945,197962,61012,120759
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,841395,658143,191034,96320,656222,2284,86031,261,8059
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,331044,255810,77379,35881,270466,776,23715,38,2313
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,510351,402333,113655,60439,385756,1508,62316,223,5746
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,484430,329488,159849,63421,378254,1630,40263,485,5284
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,281357,218665,65942,29194,241440,685,9931,87,3270
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,203073,110823,93907,34227,136814,945,30332,398,2014
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,186823,142983,54223,52401,118667,383,11376,191,14188
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,117673,96569,23689,34350,76705,216,4010,85,4892
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,69150,46414,30534,18051,41962,167,7366,106,9296
JHANG,JHANG,DISTRICT,OVERALL,491999,486121,454573,37426,114792,352510,1029,17210,671,5787
JHANG,JHANG,DISTRICT,RURAL,358141,352974,340638,17503,96894,253388,719,1956,114,5070
JHANG,JHANG,DISTRICT,URBAN,133858,133147,113935,19923,17898,99122,310,15254,557,717
JHELUM,JHELUM,DISTRICT,OVERALL,229064,218939,178752,50312,45861,151613,12028,9233,145,10184
JHELUM,JHELUM,DISTRICT,RURAL,138838,131297,105245,33593,33247,86953,8958,2046,74,7560
JHELUM,JHELUM,DISTRICT,URBAN,90226,87642,73507,16719,12614,64660,3070,7187,71,2624
KASUR,KASUR,DISTRICT,OVERALL,645308,631491,485439,159869,156320,432973,2997,33782,2375,16861
KASUR,KASUR,DISTRICT,RURAL,443044,436198,342113,100931,92951,324143,2590,13757,1451,8152
KASUR,KASUR,DISTRICT,URBAN,202264,195293,143326,58938,63369,108830,407,20025,924,8709
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,526196,518533,480674,45522,66842,426972,1282,22239,458,8403
KHANEWAL,KHANEWAL,DISTRICT,RURAL,410319,403986,378243,32076,60580,330365,1023,11171,142,7038
KHANEWAL,KHANEWAL,DISTRICT,URBAN,115877,114547,102431,13446,6262,96607,259,11068,316,1365
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,248304,235331,156678,91626,83163,135709,2001,3328,479,23624
KHUSHAB,KHUSHAB,DISTRICT,RURAL,180583,168518,117586,62997,61086,99832,1909,1090,201,16465
KHUSHAB,KHUSHAB,DISTRICT,URBAN,67721,66813,39092,28629,22077,35877,92,2238,278,7159
LAHORE,LAHORE,DISTRICT,OVERALL,2010225,1970577,1284670,725555,819641,602125,6897,488946,51476,41140
LAHORE,LAHORE,DISTRICT,RURAL,,,,,,,,,,
LAHORE,LAHORE,DISTRICT,URBAN,2010225,1970577,1284670,725555,819641,602125,6897,488946,51476,41140
LAYYAH,LAYYAH,DISTRICT,OVERALL,341131,336363,319746,21385,94001,237158,623,1260,197,7892
LAYYAH,LAYYAH,DISTRICT,RURAL,277326,274679,263980,13346,83996,189434,501,402,49,2944
LAYYAH,LAYYAH,DISTRICT,URBAN,63805,61684,55766,8039,10005,47724,122,858,148,4948
LODHRAN,LODHRAN,DISTRICT,OVERALL,323866,312562,251892,71974,52608,224694,2184,24451,2349,17580
LODHRAN,LODHRAN,DISTRICT,RURAL,267053,256379,205340,61713,47109,182648,1773,16474,2167,16882
LODHRAN,LODHRAN,DISTRICT,URBAN,56813,56183,46552,10261,5499,42046,411,7977,182,698
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,285989,280729,165495,120494,76897,159440,568,43416,251,5417
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,230572,226344,142585,87987,70177,132394,487,23057,119,4338
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,55417,54385,22910,32507,6720,27046,81,20359,132,1079
MIANWALI,MIANWALI,DISTRICT,OVERALL,296339,278416,250062,46277,88737,181728,5917,1643,232,18082
MIANWALI,MIANWALI,DISTRICT,RURAL,232193,215888,190082,42111,73911,134925,5639,1148,221,16349
MIANWALI,MIANWALI,DISTRICT,URBAN,64146,62528,59980,4166,14826,46803,278,495,11,1733
MULTAN,MULTAN,DISTRICT,OVERALL,886392,867724,734931,151461,141742,631922,2529,86811,2995,20393
MULTAN,MULTAN,DISTRICT,RURAL,476748,463901,409620,67128,83124,351064,1619,25811,628,14502
MULTAN,MULTAN,DISTRICT,URBAN,409644,403823,325311,84333,58618,280858,910,61000,2367,5891
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,804438,796037,756301,48137,364351,416951,1203,11603,315,10015
