name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
BADIN,BADIN,DISTRICT,OVERALL,397892,355209,193645,204247,165420,181114,9301,2915,1509,37633
BADIN,BADIN,DISTRICT,RURAL,311949,275275,143664,168285,131704,138704,7619,940,1049,31933
BADIN,BADIN,DISTRICT,URBAN,85943,79934,49981,35962,33716,42410,1682,1975,460,5700
DADU,DADU,DISTRICT,OVERALL,340471,316805,199032,141439,139800,159695,13239,1643,5489,20605
DADU,DADU,DISTRICT,RURAL,256607,237196,147381,109226,107255,121481,13074,388,1222,13187
DADU,DADU,DISTRICT,URBAN,83864,79609,51651,32213,32545,38214,165,1255,4267,7418
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,323310,286721,44325,148959,171541,635,2124,208,7579
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,254627,223471,38049,131633,122073,478,502,32,6802
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,68683,63250,6276,17326,49468,157,1622,176,777
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,448191,431140,323555,124636,239644,147511,1980,23774,16452,18830
HYDERABAD,HYDERABAD,DISTRICT,RURAL,75495,69579,40773,34722,26147,41447,727,985,208,5981
HYDERABAD,HYDERABAD,DISTRICT,URBAN,372696,361561,282782,89914,213497,106064,1253,22789,16244,12849
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,184019,86255,108801,84056,72359,3128,1621,4715,29177
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,129772,71101,67625,69002,54776,3029,1478,350,10091
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,54247,15154,41176,15054,17583,99,143,4365,19086
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,187781,92594,120899,84279,55696,11913,1810,1602,58193
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,95973,36106,81064,33055,39077,10097,947,204,33790
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,91808,56488,39835,51224,16619,1816,863,1398,24403
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,246983,121078,146475,144333,85371,2234,347,2366,32902
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,178121,100144,93883,111407,63923,1733,248,256,16460
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,68862,20934,52592,32926,21448,501,99,2110,16442
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,640240,476005,175263,395447,110719,4348,51520,69749,19485
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,640240,476005,175263,395447,110719,4348,51520,69749,19485
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,641022,430977,228412,362375,94011,4930,63952,96114,38007
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,641022,430977,228412,362375,94011,4930,63952,96114,38007
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,417644,298606,126487,213087,113018,1296,27592,47876,22224
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,417644,298606,126487,213087,113018,1296,27592,47876,22224
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,450262,298747,166009,269550,44255,3244,4592,8787,134328
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,42151,35257,8091,31518,5768,345,295,1207,4215
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,408111,263490,157918,238032,38487,2899,4297,7580,130113
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,201325,177935,30959,103953,94556,804,529,656,8396
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,155791,138365,24574,84384,70447,735,12,155,7206
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,45534,39570,6385,19569,24109,69,517,501,1190
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,302513,122386,196735,112303,34803,2119,7798,16750,145348
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,319121,302513,122386,196735,112303,34803,2119,7798,16750,145348
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,452250,439790,376873,75377,188536,244805,5512,299,2149,10949
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,305732,295591,251860,53872,140276,152602,5062,151,269,7372
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,146518,144199,125013,21505,48260,92203,450,148,1880,3577
KORANGI,KORANGI,DISTRICT,OVERALL,493050,482881,272562,220488,187119,131790,2032,49786,63672,58651
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,493050,482881,272562,220488,187119,131790,2032,49786,63672,58651
LARKANA,LARKANA,DISTRICT,OVERALL,321528,318020,305197,16331,128335,187412,465,277,681,4358
LARKANA,LARKANA,DISTRICT,RURAL,177901,175757,168833,9068,88525,86434,236,62,544,2100
LARKANA,LARKANA,DISTRICT,URBAN,143627,142263,136364,7263,39810,100978,229,215,137,2258
MALIR,MALIR,DISTRICT,OVERALL,421426,408301,291337,130089,236429,106146,5171,18435,21722,33523
MALIR,MALIR,DISTRICT,RURAL,226404,216227,144148,82256,124342,56677,3828,5652,7875,28030
MALIR,MALIR,DISTRICT,URBAN,195022,192074,147189,47833,112087,49469,1343,12783,13847,5493
MATIARI,MATIARI,DISTRICT,OVERALL,158463,154538,131194,27269,81037,71438,514,1378,304,3792
MATIARI,MATIARI,DISTRICT,RURAL,122399,119574,103031,19368,68586,50138,398,520,60,2697
MATIARI,MATIARI,DISTRICT,URBAN,36064,34964,28163,7901,12451,21300,116,858,244,1095
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,OVERALL,312986,250859,131409,181577,116593,127241,10121,1899,2008,55124
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,RURAL,228271,171536,68275,159996,80752,87079,9466,517,694,49763
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,URBAN,84715,79323,63134,21581,35841,40162,655,1382,1314,5361
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,OVERALL,319768,311355,297410,22358,128382,178489,970,2950,318,8659
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,RURAL,231188,224256,218105,13083,102305,121014,796,151,163,6759
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,URBAN,88580,87099,79305,9275,26077,57475,174,2799,155,1900
SANGHAR,SANGHAR,DISTRICT,OVERALL,406937,373178,244851,162086,173414,184079,8115,10391,685,30253
SANGHAR,SANGHAR,DISTRICT,RURAL,300793,271028,174272,126521,134853,130796,7468,1104,304,26268
SANGHAR,SANGHAR,DISTRICT,URBAN,106144,102150,70579,35565,38561,53283,647,9287,381,3985
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,OVERALL,334356,326687,268523,65833,124498,195346,1419,4252,1197,7644
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,RURAL,233705,227972,192768,40937,97900,128645,1154,58,692,5256
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,URBAN,100651,98715,75755,24896,26598,66701,265,4194,505,2388
SHIKARPUR,SHIKARPUR,DISTRICT,OVERALL,214824,212909,197465,17359,109351,102277,699,219,642,1636
SHIKARPUR,SHIKARPUR,DISTRICT,RURAL,162493,160791,146433,16060,96700,63166,582,63,589,1393
SHIKARPUR,SHIKARPUR,DISTRICT,URBAN,52331,52118,51032,1299,12651,39111,117,156,53,243
SUJAWAL,SUJAWAL,DISTRICT,OVERALL,158854,127126,70005,88849,73029,51030,6051,188,95,28461
SUJAWAL,SUJAWAL,DISTRICT,RURAL,142489,111419,58151,84338,65441,43611,5854,121,89,27373
SUJAWAL,SUJAWAL,DISTRICT,URBAN,16365,15707,11854,4511,7588,7419,197,67,6,1088
SUKKUR,SUKKUR,DISTRICT,OVERALL,268588,258926,209064,59524,133539,116154,3466,5378,1521,8530
