name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
AWARAN,AWARAN,DISTRICT,OVERALL,27796,20910,14432,7553,5811,25205,1472
AWARAN,AWARAN,DISTRICT,RURAL,21364,14937,9765,6170,5429,19131,1303
AWARAN,AWARAN,DISTRICT,URBAN,6432,5973,4667,1383,382,6074,169
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,5340,6572,3771,12710,8576,7549
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,4362,5370,3511,12701,7543,7535
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,978,1202,260,9,1033,14
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,23093,25211,3549,9453,29000,3374
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,21099,23090,3122,9428,26914,3344
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,1994,2121,427,25,2086,30
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,38314,39700,19460,2755,44643,1935
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,25576,27457,13148,2205,30419,1388
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,12738,12243,6312,550,14224,547
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,13726,21769,4554,35944,16518,32207
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,4590,4042,3792,34605,8023,29518
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,9136,17727,762,1339,8495,2689
DUKI,DUKI,DISTRICT,OVERALL,43059,18881,19306,11742,12011,25958,3803
DUKI,DUKI,DISTRICT,RURAL,40066,17167,17550,10516,12000,23998,3774
DUKI,DUKI,DISTRICT,URBAN,2993,1714,1756,1226,11,1960,29
GWADAR,GWADAR,DISTRICT,OVERALL,50357,29969,39518,4704,6135,36324,887
GWADAR,GWADAR,DISTRICT,RURAL,22539,12856,14538,2512,5489,17507,777
GWADAR,GWADAR,DISTRICT,URBAN,27818,17113,24980,2192,646,18817,110
HARNAI,HARNAI,DISTRICT,OVERALL,16393,5649,7059,1663,7671,8126,4386
HARNAI,HARNAI,DISTRICT,RURAL,11891,3188,3330,1311,7250,5260,4269
HARNAI,HARNAI,DISTRICT,URBAN,4502,2461,3729,352,421,2866,117
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,81562,31694,38632,15203,27727,26620,35689
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,62763,21652,23196,13084,26483,17525,33044
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,18799,10042,15436,2119,1244,9095,2645
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,30953,14463,10712,8562,11679,11908,15044
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,27257,12267,8306,7645,11306,9754,14562
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,3696,2196,2406,917,373,2154,482
KACHHI,KACHHI,DISTRICT,OVERALL,50032,23840,24724,18290,7018,24277,6871
KACHHI,KACHHI,DISTRICT,RURAL,41450,18953,17795,16690,6965,19542,6642
KACHHI,KACHHI,DISTRICT,URBAN,8582,4887,6929,1600,53,4735,229
KALAT,KALAT,DISTRICT,OVERALL,33101,16917,13712,10993,8396,20008,5554
KALAT,KALAT,DISTRICT,RURAL,27903,12945,8851,10695,8357,15936,5510
KALAT,KALAT,DISTRICT,URBAN,5198,3972,4861,298,39,4072,44
KECH,KECH,DISTRICT,OVERALL,253475,127898,142587,64806,46082,145814,19307
KECH,KECH,DISTRICT,RURAL,164440,79122,81489,44622,38329,92207,16914
KECH,KECH,DISTRICT,URBAN,89035,48776,61098,20184,7753,53607,2393
KHARAN,KHARAN,DISTRICT,OVERALL,35843,22827,19063,11166,5614,26785,1268
KHARAN,KHARAN,DISTRICT,RURAL,24823,15295,10103,9157,5563,19464,1217
KHARAN,KHARAN,DISTRICT,URBAN,11020,7532,8960,2009,51,7321,51
KHUZDAR,KHUZDAR,DISTRICT,OVERALL,161450,85673,71788,42743,46919,109162,21464
KHUZDAR,KHUZDAR,DISTRICT,RURAL,111846,52393,35384,31756,44706,75514,19757
KHUZDAR,KHUZDAR,DISTRICT,URBAN,49604,33280,36404,10987,2213,33648,1707
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,OVERALL,67289,36169,34141,25666,7482,44452,2869
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,RURAL,60913,32773,32282,21834,6797,40773,2760
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,URBAN,6376,3396,1859,3832,685,3679,109
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,OVERALL,69998,19865,23078,10794,36126,46769,5584
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,RURAL,58088,13584,13551,9371,35166,38658,5235
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,URBAN,11910,6281,9527,1423,960,8111,349
KOHLU,KOHLU,DISTRICT,OVERALL,38095,7407,8585,3837,25673,12370,18326
KOHLU,KOHLU,DISTRICT,RURAL,34936,5727,5738,3649,25549,10584,18036
KOHLU,KOHLU,DISTRICT,URBAN,3159,1680,2847,188,124,1786,290
LASBELA,LASBELA,DISTRICT,OVERALL,115539,71503,80605,10658,24276,81712,13784
LASBELA,LASBELA,DISTRICT,RURAL,61309,34312,35669,7605,18035,42412,9694
LASBELA,LASBELA,DISTRICT,URBAN,54230,37191,44936,3053,6241,39300,4090
LORALAI,LORALAI,DISTRICT,OVERALL,38214,17083,20006,6870,11338,24096,4177
LORALAI,LORALAI,DISTRICT,RURAL,30607,11624,13060,6366,11181,18637,3934
LORALAI,LORALAI,DISTRICT,URBAN,7607,5459,6946,504,157,5459,243
MASTUNG,MASTUNG,DISTRICT,OVERALL,43695,27578,29513,10921,3261,31195,1859
MASTUNG,MASTUNG,DISTRICT,RURAL,38262,23275,24197,10823,3242,26754,1844
MASTUNG,MASTUNG,DISTRICT,URBAN,5433,4303,5316,98,19,4441,15
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,31252,8599,8352,6219,16681,13281,10533
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,28892,7309,6117,6147,16628,11821,10500
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,2360,1290,2235,72,53,1460,33
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,87516,32241,26788,25498,35230,31147,36804
NASIRABAD,NASIRABAD,DISTRICT,RURAL,73243,25078,16261,22239,34743,24360,35737
NASIRABAD,NASIRABAD,DISTRICT,URBAN,14273,7163,10527,3259,487,6787,1067
NUSHKI,NUSHKI,DISTRICT,OVERALL,31255,21602,21714,6623,2918,22972,1204
NUSHKI,NUSHKI,DISTRICT,RURAL,23995,16029,16472,4668,2855,17388,1134
NUSHKI,NUSHKI,DISTRICT,URBAN,7260,5573,5242,1955,63,5584,70
PANJGUR,PANJGUR,DISTRICT,OVERALL,117089,48341,26316,67419,23354,56592,8018
PANJGUR,PANJGUR,DISTRICT,RURAL,87916,38878,20120,48730,19066,46070,6543
PANJGUR,PANJGUR,DISTRICT,URBAN,29173,9463,6196,18689,4288,10522,1475
PISHIN,PISHIN,DISTRICT,OVERALL,147185,87300,96120,38384,12681,107483,2956
PISHIN,PISHIN,DISTRICT,RURAL,105247,59497,65264,28713,11270,75827,2263
PISHIN,PISHIN,DISTRICT,URBAN,41938,27803,30856,9671,1411,31656,693
QUETTA,QUETTA,DISTRICT,OVERALL,288459,231816,248887,35752,3820,238560,3811
QUETTA,QUETTA,DISTRICT,RURAL,127338,96369,102480,22574,2284,101021,2436
QUETTA,QUETTA,DISTRICT,URBAN,161121,135447,146407,13178,1536,137539,1375
SHERANI,SHERANI,DISTRICT,OVERALL,36100,14538,16154,10009,9937,21911,3040
SHERANI,SHERANI,DISTRICT,RURAL,36100,14538,16154,10009,9937,21911,3040
SHERANI,SHERANI,DISTRICT,URBAN,,,,,,,
SIBI,SIBI,DISTRICT,OVERALL,31296,18152,20770,6930,3596,17859,4264
SIBI,SIBI,DISTRICT,RURAL,19771,11195,11080,5598,3093,11145,3368
SIBI,SIBI,DISTRICT,URBAN,11525,6957,9690,1332,503,6714,896
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,33734,11284,11301,5522,16911,10181,18883
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,31941,10271,9763,5370,16808,9502,18254
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,1793,1013,1538,152,103,679,629
SURAB,SURAB,DISTRICT,OVERALL,51227,24066,25206,17324,8697,28762,3442
SURAB,SURAB,DISTRICT,RURAL,45045,19882,20715,15698,8632,24498,3370
SURAB,SURAB,DISTRICT,URBAN,6182,4184,4491,1626,65,4264,72
WASHUK,WASHUK,DISTRICT,OVERALL,49049,21647,14053,13993,21003,32562,7399
WASHUK,WASHUK,DISTRICT,RURAL,41953,19584,11875,12225,17853,29707,5493
WASHUK,WASHUK,DISTRICT,URBAN,7096,2063,2178,1768,3150,2855,1906
ZHOB,ZHOB,DISTRICT,OVERALL,47901,19023,22657,7679,17565,30521,4398
ZHOB,ZHOB,DISTRICT,RURAL,41474,15115,16389,7551,17534,26316,4315
ZHOB,ZHOB,DISTRICT,URBAN,6427,3908,6268,128,31,4205,83
ZIARAT,ZIARAT,DISTRICT,OVERALL,22894,8745,11092,2498,9304,15453,1916
ZIARAT,ZIARAT,DISTRICT,RURAL,17299,6463,8165,1454,7680,11862,1392
ZIARAT,ZIARAT,DISTRICT,URBAN,5595,2282,2927,1044,1624,3591,524
