name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,199499,220283,4570,11936,172033,41881
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,152001,167903,4140,11489,128995,36803
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,47498,52380,430,447,43038,5078
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,71630,105826,38770,37103,106132,20391
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,71630,105826,38770,37103,106132,20391
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,101134,125069,19475,38586,114872,22216
BANNU,BANNU,DISTRICT,RURAL,176054,94832,118231,19317,38506,109257,21360
BANNU,BANNU,DISTRICT,URBAN,7076,6302,6838,158,80,5615,856
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,48579,63062,4652,18482,52719,16193
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,48579,63062,4652,18482,52719,16193
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,70609,87115,4411,27139,81976,15360
BUNER,BUNER,DISTRICT,RURAL,118665,70609,87115,4411,27139,81976,15360
BUNER,BUNER,DISTRICT,URBAN,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,185710,246101,8119,9714,186149,15701
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,151582,203019,7256,9150,152732,13895
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,34128,43082,863,564,33417,1806
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,189529,223956,44689,1376,142563,57742
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,144193,169564,40666,,99947,53424
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,45336,54392,4023,1376,42616,4318
HANGU,HANGU,DISTRICT,OVERALL,61148,41758,51700,5426,4022,44707,5458
HANGU,HANGU,DISTRICT,RURAL,50414,32921,41510,5081,3823,36262,4560
HANGU,HANGU,DISTRICT,URBAN,10734,8837,10190,345,199,8445,898
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,159505,177481,7555,7415,150595,18055
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,138111,153927,6667,7351,130337,16714
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,21394,23554,888,64,20258,1341
KARAK,KARAK,DISTRICT,OVERALL,95997,80689,84662,11089,246,67712,13119
KARAK,KARAK,DISTRICT,RURAL,88061,73977,78506,9555,,61466,12294
KARAK,KARAK,DISTRICT,URBAN,7936,6712,6156,1534,246,6246,825
KHYBER,KHYBER,DISTRICT,OVERALL,166805,72253,78819,71196,16790,119268,12626
KHYBER,KHYBER,DISTRICT,RURAL,152977,65328,69676,67503,15798,108898,11975
KHYBER,KHYBER,DISTRICT,URBAN,13828,6925,9143,3693,992,10370,651
KOHAT,KOHAT,DISTRICT,OVERALL,169679,125059,151992,7952,9735,120570,21201
KOHAT,KOHAT,DISTRICT,RURAL,127770,88796,110859,7368,9543,87779,17083
KOHAT,KOHAT,DISTRICT,URBAN,41909,36263,41133,584,192,32791,4118
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,33983,9816,13481,8761,11741,11776,7728
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,33983,9816,13481,8761,11741,11776,7728
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,94548,50696,61816,19355,13377,57105,16550
KURRAM,KURRAM,DISTRICT,RURAL,89810,47604,58910,17769,13131,54114,15818
KURRAM,KURRAM,DISTRICT,URBAN,4738,3092,2906,1586,246,2991,732
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,131800,78627,106651,9145,16004,83508,11284
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,117906,67179,93054,9006,15846,72411,10605
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,13894,11448,13597,139,158,11097,679
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,46028,38861,40443,1694,3891,32723,10674
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,37673,30722,32267,1574,3832,25132,10064
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,8355,8139,8176,120,59,7591,610
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,202836,148161,181551,6793,14492,161315,13715
LOWER DIR,LOWER DIR,DISTRICT,RURAL,196763,142955,175597,6750,14416,156023,13580
LOWER DIR,LOWER DIR,DISTRICT,URBAN,6073,5206,5954,43,76,5292,135
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,47347,16823,25605,7119,14623,18101,11740
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,47347,16823,25605,7119,14623,18101,11740
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,
MALAKAND,MALAKAND,DISTRICT,OVERALL,113118,85839,97817,5464,9837,85765,11693
MALAKAND,MALAKAND,DISTRICT,RURAL,102779,77063,87894,5207,9678,77214,11126
MALAKAND,MALAKAND,DISTRICT,URBAN,10339,8776,9923,257,159,8551,567
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,294052,216066,260243,8654,25155,193141,56073
MANSEHRA,MANSEHRA,DISTRICT,RURAL,267481,192611,233972,8433,25076,171151,54341
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26571,23455,26271,221,79,21990,1732
MARDAN,MARDAN,DISTRICT,OVERALL,400859,283010,370827,11344,18688,278455,28392
MARDAN,MARDAN,DISTRICT,RURAL,332734,228394,303876,11089,17769,225202,25951
MARDAN,MARDAN,DISTRICT,URBAN,68125,54616,66951,255,919,53253,2441
MOHMAND,MOHMAND,DISTRICT,OVERALL,63973,31366,28806,21107,14060,42611,5624
MOHMAND,MOHMAND,DISTRICT,RURAL,63973,31366,28806,21107,14060,42611,5624
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,99595,47275,53523,20218,25854,67758,9904
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,98985,46809,53253,19879,25853,67223,9902
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,610,466,270,339,1,535,2
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,259774,186895,236082,9770,13922,181061,22688
NOWSHERA,NOWSHERA,DISTRICT,RURAL,206464,145183,184547,9023,12894,140971,19897
NOWSHERA,NOWSHERA,DISTRICT,URBAN,53310,41712,51535,747,1028,40090,2791
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,52104,29042,32736,19368,,29157,6407
ORAKZAI,ORAKZAI,DISTRICT,RURAL,52104,29042,32736,19368,,29157,6407
ORAKZAI,ORAKZAI,DISTRICT,URBAN,,,,,,,
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,690976,463334,625150,38445,27381,464189,51050
PESHAWAR,PESHAWAR,DISTRICT,RURAL,415031,241832,359977,31881,23173,254073,32132
PESHAWAR,PESHAWAR,DISTRICT,URBAN,275945,221502,265173,6564,4208,210116,18918
SHANGLA,SHANGLA,DISTRICT,OVERALL,125540,63094,84932,8813,31795,72205,20853
SHANGLA,SHANGLA,DISTRICT,RURAL,125540,63094,84932,8813,31795,72205,20853
SHANGLA,SHANGLA,DISTRICT,URBAN,,,,,,,
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,178636,64514,104752,40299,33585,84095,15686
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,178636,64514,104752,40299,33585,84095,15686
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,,,,,,,
SWABI,SWABI,DISTRICT,OVERALL,278976,193274,245358,8719,24899,187965,31551
SWABI,SWABI,DISTRICT,RURAL,229655,155712,199239,6965,23451,151859,28323
SWABI,SWABI,DISTRICT,URBAN,49321,37562,46119,1754,1448,36106,3228
SWAT,SWAT,DISTRICT,OVERALL,381212,276863,335531,10767,34914,301711,24444
SWAT,SWAT,DISTRICT,RURAL,263159,182022,222394,9077,31688,206162,17975
SWAT,SWAT,DISTRICT,URBAN,118053,94841,113137,1690,3226,95549,6469
TANK,TANK,DISTRICT,OVERALL,70563,34032,49791,12708,8064,37705,4882
TANK,TANK,DISTRICT,RURAL,63302,28468,42913,12367,8022,32126,4788
TANK,TANK,DISTRICT,URBAN,7261,5564,6878,341,42,5579,94
TORGHAR,TORGHAR,DISTRICT,OVERALL,29410,9848,13232,732,15446,15486,8628
TORGHAR,TORGHAR,DISTRICT,RURAL,29410,9848,13232,732,15446,15486,8628
TORGHAR,TORGHAR,DISTRICT,URBAN,,,,,,,
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,26365,25432,24953,1017,395,18589,7418
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,26365,25432,24953,1017,395,18589,7418
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,,,,,,,
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,149536,82837,120845,5803,22888,94621,25137
UPPER DIR,UPPER DIR,DISTRICT,RURAL,142928,77435,114635,5513,22780,90382,23642
UPPER DIR,UPPER DIR,DISTRICT,URBAN,6608,5402,6210,290,108,4239,1495
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,63712,17868,27956,8442,27314,20739,23049
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,63712,17868,27956,8442,27314,20739,23049
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,,,,,,,
