name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,309451,328013,8738,17222,301365,26586
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,220667,232571,7793,16210,215953,21827
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,88784,95442,945,1012,85412,4759
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,387669,446194,13973,97449,379252,109914
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,256909,298406,12090,90823,251801,99032
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,130760,147788,1883,6626,127451,10882
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,479787,568888,13411,91138,432574,152181
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,265546,323969,9589,82922,231873,127685
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,214241,244919,3822,8216,200701,24496
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,196921,254704,5488,53119,188119,65211
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,153905,201403,4981,50758,146128,61618
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,43016,53301,507,2361,41991,3593
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,251659,264076,7848,16914,250944,18383
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,188057,196780,6195,15247,187559,16343
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,63602,67296,1653,1667,63385,2040
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,141472,176596,5486,74356,142938,73285
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,75348,97178,4106,72059,77720,69658
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,66124,79418,1380,2297,65218,3627
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,245677,319937,15841,118686,223931,150492
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,152426,208591,14675,116599,137713,140100
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,93251,111346,1166,2087,86218,10392
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1133041,1287363,22274,73136,1114732,93347
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,560568,635806,13010,65756,549249,78572
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,572473,651557,9264,7380,565483,14775
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,726387,821732,14446,12999,721187,19336
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,278292,317748,7137,8304,276274,11257
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,448095,503984,7309,4695,444913,8079
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,431408,468668,6631,14038,427152,19575
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,250750,270913,3647,10047,247695,13879
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,180658,197755,2984,3991,179457,5696
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,157913,176929,3324,16953,155001,20323
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,90565,102984,1972,15302,88924,17304
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,67348,73945,1352,1651,66077,3019
JHANG,JHANG,DISTRICT,OVERALL,491999,302264,377014,12683,102302,295593,112479
JHANG,JHANG,DISTRICT,RURAL,358141,196562,251721,10492,95928,190950,104597
JHANG,JHANG,DISTRICT,URBAN,133858,105702,125293,2191,6374,104643,7882
JHELUM,JHELUM,DISTRICT,OVERALL,229064,196698,211985,4381,12698,196061,13729
JHELUM,JHELUM,DISTRICT,RURAL,138838,115255,124361,3340,11137,116134,10421
JHELUM,JHELUM,DISTRICT,URBAN,90226,81443,87624,1041,1561,79927,3308
KASUR,KASUR,DISTRICT,OVERALL,645308,449156,603103,9150,33055,427038,63077
KASUR,KASUR,DISTRICT,RURAL,443044,295485,407808,6946,28290,280661,48929
KASUR,KASUR,DISTRICT,URBAN,202264,153671,195295,2204,4765,146377,14148
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,526196,383934,461957,12133,52106,366055,75059
KHANEWAL,KHANEWAL,DISTRICT,RURAL,410319,285514,349712,10913,49694,270901,68544
KHANEWAL,KHANEWAL,DISTRICT,URBAN,115877,98420,112245,1220,2412,95154,6515
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,248304,175122,203503,5964,38837,170448,43511
KHUSHAB,KHUSHAB,DISTRICT,RURAL,180583,119095,139038,5202,36343,115651,39633
KHUSHAB,KHUSHAB,DISTRICT,URBAN,67721,56027,64465,762,2494,54797,3878
LAHORE,LAHORE,DISTRICT,OVERALL,2010225,1678820,1921046,52476,36703,1636565,83721
LAHORE,LAHORE,DISTRICT,RURAL,,,,,,,
LAHORE,LAHORE,DISTRICT,URBAN,2010225,1678820,1921046,52476,36703,1636565,83721
LAYYAH,LAYYAH,DISTRICT,OVERALL,341131,224076,294042,6382,40707,202593,71764
LAYYAH,LAYYAH,DISTRICT,RURAL,277326,170968,233316,5736,38274,151952,66545
LAYYAH,LAYYAH,DISTRICT,URBAN,63805,53108,60726,646,2433,50641,5219
LODHRAN,LODHRAN,DISTRICT,OVERALL,323866,206679,277767,7364,38735,192514,58458
LODHRAN,LODHRAN,DISTRICT,RURAL,267053,165098,222724,6693,37636,152100,55583
LODHRAN,LODHRAN,DISTRICT,URBAN,56813,41581,55043,671,1099,40414,2875
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,285989,224264,248405,6741,30843,225606,30060
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,230572,175247,194523,6277,29772,176859,28466
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,55417,49017,53882,464,1071,48747,1594
MIANWALI,MIANWALI,DISTRICT,OVERALL,296339,207663,259254,10880,26205,204768,31278
MIANWALI,MIANWALI,DISTRICT,RURAL,232193,157800,197234,10127,24832,155712,28743
MIANWALI,MIANWALI,DISTRICT,URBAN,64146,49863,62020,753,1373,49056,2535
MULTAN,MULTAN,DISTRICT,OVERALL,886392,638044,795090,17900,73402,598038,127874
MULTAN,MULTAN,DISTRICT,RURAL,476748,298304,397615,11731,67402,270760,107400
MULTAN,MULTAN,DISTRICT,URBAN,409644,339740,397475,6169,6000,327278,20474
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,804438,445353,611886,22621,169931,373556,279394
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,RURAL,652613,333758,472414,20691,159508,269488,258480
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,151825,111595,139472,1930,10423,104068,20914
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,246956,186801,222957,4025,19974,182014,26256
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,196169,143477,173403,3696,19070,139299,24645
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,50787,43324,49554,329,904,42715,1611
NAROWAL,NAROWAL,DISTRICT,OVERALL,281536,238888,265022,4014,12500,232544,20041
NAROWAL,NAROWAL,DISTRICT,RURAL,227230,190886,212680,3495,11055,184627,18443
NAROWAL,NAROWAL,DISTRICT,URBAN,54306,48002,52342,519,1445,47917,1598
OKARA,OKARA,DISTRICT,OVERALL,549724,403059,490449,9222,50053,382472,75607
OKARA,OKARA,DISTRICT,RURAL,360646,246385,307762,7047,45837,231596,64567
OKARA,OKARA,DISTRICT,URBAN,189078,156674,182687,2175,4216,150876,11040
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,344546,232682,294982,7892,41672,213160,67050
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,267416,171776,221163,7401,38852,157221,58271
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,77130,60906,73819,491,2820,55939,8779
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,826942,563119,685407,23874,117661,482604,224088
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,617082,385531,482551,21696,112835,317921,204275
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,209860,177588,202856,2178,4826,164683,19813
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,354016,139514,204808,15995,133213,127468,154875
RAJANPUR,RAJANPUR,DISTRICT,RURAL,257505,75471,119302,14475,123728,66657,140900
RAJANPUR,RAJANPUR,DISTRICT,URBAN,96511,64043,85506,1520,9485,60811,13975
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,998000,871788,947903,26351,23746,828974,69238
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,325262,281556,294355,13174,17733,263355,37931
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,672738,590232,653548,13177,6013,565619,31307
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,446606,343187,397106,8635,40865,330440,56506
SAHIWAL,SAHIWAL,DISTRICT,RURAL,324448,241368,278850,7135,38463,231606,50774
SAHIWAL,SAHIWAL,DISTRICT,URBAN,122158,101819,118256,1500,2402,98834,5732
SARGODHA,SARGODHA,DISTRICT,OVERALL,684321,471981,578632,13018,92671,464244,103304
SARGODHA,SARGODHA,DISTRICT,RURAL,424976,263560,331519,9324,84133,259576,90199
SARGODHA,SARGODHA,DISTRICT,URBAN,259345,208421,247113,3694,8538,204668,13105
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,593260,493564,569941,9699,13620,484694,24649
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,362146,294041,343810,6948,11388,287985,19498
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,231114,199523,226131,2751,2232,196709,5151
SIALKOT,SIALKOT,DISTRICT,OVERALL,671320,579321,644597,10291,16432,571393,25060
SIALKOT,SIALKOT,DISTRICT,RURAL,445606,382715,424588,7249,13769,376382,20773
SIALKOT,SIALKOT,DISTRICT,URBAN,225714,196606,220009,3042,2663,195011,4287
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,393896,315411,353149,11178,29569,310235,36464
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,302354,236845,265140,9140,28074,233283,33088
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,91542,78566,88009,2038,1495,76952,3376
VEHARI,VEHARI,DISTRICT,OVERALL,543036,409222,476446,15065,51525,394473,69786
VEHARI,VEHARI,DISTRICT,RURAL,418471,304656,356539,13773,48159,294000,61405
VEHARI,VEHARI,DISTRICT,URBAN,124565,104566,119907,1292,3366,100473,8381
