name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
BADIN,BADIN,DISTRICT,OVERALL,397892,150653,127750,70829,199313,153331,197699
BADIN,BADIN,DISTRICT,RURAL,311949,104233,71520,60565,179864,108515,175816
BADIN,BADIN,DISTRICT,URBAN,85943,46420,56230,10264,19449,44816,21883
DADU,DADU,DISTRICT,OVERALL,340471,223280,274924,62209,3338,136822,102991
DADU,DADU,DISTRICT,RURAL,256607,176692,198662,55471,2474,96974,91995
DADU,DADU,DISTRICT,URBAN,83864,46588,76262,6738,864,39848,10996
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,110211,186370,33430,111246,103507,127549
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,75404,126042,29806,105672,71087,117221
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,34807,60328,3624,5574,32420,10328
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,448191,315866,404210,26119,17862,292618,41885
HYDERABAD,HYDERABAD,DISTRICT,RURAL,75495,40826,52341,10237,12917,29282,25368
HYDERABAD,HYDERABAD,DISTRICT,URBAN,372696,275040,351869,15882,4945,263336,16517
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,82087,106249,31874,56933,79456,62024
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,51652,55749,28736,54241,50032,57948
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,30435,50500,3138,2692,29424,4076
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,125282,146948,27578,38967,111195,53467
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,60952,60575,20192,36403,53912,43586
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,64330,86373,7386,2564,57283,9881
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,129246,155664,62585,49304,126890,55036
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,94141,95184,56294,42549,92475,46768
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,35105,60480,6291,6755,34415,8268
