name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
AWARAN,AWARAN,DISTRICT,OVERALL,27796,27520,83,124,13,15,41,26671,1056,7980,10280,5311,4225
AWARAN,AWARAN,DISTRICT,RURAL,21364,21178,48,90,5,10,33,20548,768,6251,7651,4231,3231
AWARAN,AWARAN,DISTRICT,URBAN,6432,6342,35,34,8,5,8,6123,288,1729,2629,1080,994
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,20568,651,1098,25,8,703,21934,383,11511,6369,2660,2513
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,19564,325,978,8,8,699,20489,378,11147,5891,2360,2184
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,1004,326,120,17,,4,1445,5,364,478,300,329
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,36015,974,982,52,95,95,36724,1247,10193,13862,7668,6490
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,33780,694,940,40,94,92,34239,1175,9880,13063,7082,5615
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,2235,280,42,12,1,3,2485,72,313,799,586,875
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,57739,2783,985,144,16,248,60878,629,13253,16594,9343,22725
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,40181,1497,944,6,9,173,42226,396,10037,11890,6412,14471
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,17558,1286,41,138,7,75,18652,233,3216,4704,2931,8254
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,53125,780,5967,709,239,1447,58986,886,36982,15549,5446,4290
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,38249,294,2527,22,20,1327,40539,531,25073,10060,3832,3474
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,14876,486,3440,687,219,120,18447,355,11909,5489,1614,816
DUKI,DUKI,DISTRICT,OVERALL,43059,33589,3695,5011,46,60,658,41697,598,8946,11862,9765,12486
DUKI,DUKI,DISTRICT,RURAL,40066,31313,3025,4998,22,56,652,38779,557,7994,10643,9265,12164
DUKI,DUKI,DISTRICT,URBAN,2993,2276,670,13,24,4,6,2918,41,952,1219,500,322
GWADAR,GWADAR,DISTRICT,OVERALL,50357,46664,1807,757,975,33,121,46323,2905,22526,15765,6923,5143
GWADAR,GWADAR,DISTRICT,RURAL,22539,22005,274,167,24,7,62,20959,1487,12136,6561,2365,1477
GWADAR,GWADAR,DISTRICT,URBAN,27818,24659,1533,590,951,26,59,25364,1418,10390,9204,4558,3666
HARNAI,HARNAI,DISTRICT,OVERALL,16393,13324,874,1672,216,18,289,15527,343,5513,5493,2951,2436
HARNAI,HARNAI,DISTRICT,RURAL,11891,10251,192,1288,8,13,139,11459,272,4071,3969,2203,1648
HARNAI,HARNAI,DISTRICT,URBAN,4502,3073,682,384,208,5,150,4068,71,1442,1524,748,788
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,81562,51386,5763,17935,580,48,5850,73276,1808,53553,18897,5430,3682
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,62763,37238,2260,17312,241,47,5665,55323,1487,46226,12472,2666,1399
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,18799,14148,3503,623,339,1,185,17953,321,7327,6425,2764,2283
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,30953,28608,305,1718,83,13,226,30080,551,17839,9101,2683,1330
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,27257,25140,185,1680,33,11,208,26510,495,16095,8075,2152,935
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,3696,3468,120,38,50,2,18,3570,56,1744,1026,531,395
KACHHI,KACHHI,DISTRICT,OVERALL,50032,42409,984,5546,165,16,912,48102,837,16813,15290,7683,10246
KACHHI,KACHHI,DISTRICT,RURAL,41450,34755,392,5343,45,12,903,39823,667,13584,12180,6381,9305
KACHHI,KACHHI,DISTRICT,URBAN,8582,7654,592,203,120,4,9,8279,170,3229,3110,1302,941
KALAT,KALAT,DISTRICT,OVERALL,33101,29399,765,1977,184,11,765,31546,595,6461,10681,7565,8394
KALAT,KALAT,DISTRICT,RURAL,27903,24869,327,1908,50,8,741,26579,525,5870,9092,6280,6661
KALAT,KALAT,DISTRICT,URBAN,5198,4530,438,69,134,3,24,4967,70,591,1589,1285,1733
KECH,KECH,DISTRICT,OVERALL,253475,246024,2586,2527,237,107,1994,239522,11615,107525,75475,38189,32286
KECH,KECH,DISTRICT,RURAL,164440,160922,711,1306,82,75,1344,153996,8943,78892,51339,20728,13481
KECH,KECH,DISTRICT,URBAN,89035,85102,1875,1221,155,32,650,85526,2672,28633,24136,17461,18805
KHARAN,KHARAN,DISTRICT,OVERALL,35843,34328,438,795,73,9,200,33934,1627,9340,11866,7078,7559
KHARAN,KHARAN,DISTRICT,RURAL,24823,23765,207,695,7,4,145,23409,1258,8269,8921,4285,3348
KHARAN,KHARAN,DISTRICT,URBAN,11020,10563,231,100,66,5,55,10525,369,1071,2945,2793,4211
KHUZDAR,KHUZDAR,DISTRICT,OVERALL,161450,150052,3314,5507,737,58,1782,154570,4303,40934,56014,32416,32086
KHUZDAR,KHUZDAR,DISTRICT,RURAL,111846,106568,524,3258,25,36,1435,107636,2714,34883,40742,20236,15985
KHUZDAR,KHUZDAR,DISTRICT,URBAN,49604,43484,2790,2249,712,22,347,46934,1589,6051,15272,12180,16101
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,OVERALL,67289,62644,1476,1711,257,27,1174,64662,1169,16523,24311,13302,13153
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,RURAL,60913,56371,1408,1690,256,25,1163,58434,1035,14421,21908,12407,12177
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,URBAN,6376,6273,68,21,1,2,11,6228,134,2102,2403,895,976
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,OVERALL,69998,59238,3362,5194,275,16,1913,66264,1530,17402,22308,15765,14523
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,RURAL,58088,50129,1392,4937,21,14,1595,55133,1325,15559,18436,12292,11801
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,URBAN,11910,9109,1970,257,254,2,318,11131,205,1843,3872,3473,2722
KOHLU,KOHLU,DISTRICT,OVERALL,38095,34092,1502,1690,83,32,696,36671,613,10640,10228,7636,9591
KOHLU,KOHLU,DISTRICT,RURAL,34936,31794,1096,1318,17,32,679,33635,573,9541,9114,7051,9230
KOHLU,KOHLU,DISTRICT,URBAN,3159,2298,406,372,66,,17,3036,40,1099,1114,585,361
LASBELA,LASBELA,DISTRICT,OVERALL,115539,98197,11644,3658,704,82,1254,109945,3554,71663,28676,9032,6168
