name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,288757,41659,9428,11356,524,2249,324353,15491,36906,126010,101846,89211
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,227910,17047,7868,1673,309,1767,241501,11324,28732,91306,69671,66865
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,60847,24612,1560,9683,215,482,82852,4167,8174,34704,32175,22346
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,478044,28314,37928,3905,737,8688,525556,18730,165235,206103,101108,85170
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,355418,4482,31800,1694,625,7300,380275,11425,126849,150148,67460,56862
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,122626,23832,6128,2211,112,1388,145281,7305,38386,55955,33648,28308
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,596970,40181,22040,7527,494,6225,633084,26107,201496,237703,122540,111698
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,390370,4151,16213,1540,366,3840,398758,11976,144556,147410,66081,58433
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,206600,36030,5827,5987,128,2385,234326,14131,56940,90293,56459,53265
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,290071,8596,10869,1063,126,2586,302093,7443,98006,119462,50634,45209
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,242519,2896,8852,411,104,2360,248618,5649,84767,99108,39560,33707
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,47552,5700,2017,652,22,226,53475,1794,13239,20354,11074,11502
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,258934,20290,7134,1079,243,1158,269458,16900,22249,87828,88203,90558
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,204151,7013,5712,319,148,879,203280,13596,15808,64560,65699,72155
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,54783,13277,1422,760,95,279,66178,3304,6441,23268,22504,18403
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,217875,16012,19665,403,580,1903,242526,11026,79252,96953,44941,35292
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,153160,2359,16154,199,111,1360,164671,7002,57353,66020,28024,21946
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,64715,13653,3511,204,469,543,77855,4024,21899,30933,16917,13346
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,421954,21481,6985,1434,145,2465,437547,12873,165690,152721,70530,65523
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,327965,3763,5428,731,107,1871,328637,8519,139544,109582,47185,43554
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,93989,17718,1557,703,38,594,108910,4354,26146,43139,23345,21969
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1143970,193265,29527,7069,2337,6605,1308747,58015,285470,486630,304166,306507
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,640202,48953,19272,834,1230,4081,680705,27722,165526,257722,149727,141597
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,503768,144312,10255,6235,1107,2524,628042,30293,119944,228908,154439,164910
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,716119,107582,16160,5855,543,2918,806383,33478,102975,250026,225850,270326
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,304827,17444,9209,386,153,1170,319148,12332,46455,100814,85770,100150
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,411292,90138,6951,5469,390,1748,487235,21146,56520,149212,140080,170176
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,419515,45581,17572,4660,408,1601,451203,31465,47495,140745,129298,171799
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,261287,10346,11556,232,185,1001,263595,19594,25950,80620,76176,101861
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,158228,35235,6016,4428,223,600,187608,11871,21545,60125,53122,69938
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,174481,11310,9674,479,196,1066,188591,6874,33764,65578,48105,49759
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,109124,2115,8028,158,103,730,115613,3654,21068,40517,28138,30535
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,65357,9195,1646,321,93,336,72978,3220,12696,25061,19967,19224
JHANG,JHANG,DISTRICT,OVERALL,491999,446317,18673,21533,1495,284,3697,468853,17670,131512,181226,95241,84020
JHANG,JHANG,DISTRICT,RURAL,358141,333437,3807,16823,836,221,3017,343113,10954,96239,134326,67916,59660
JHANG,JHANG,DISTRICT,URBAN,133858,112880,14866,4710,659,63,680,125740,6716,35273,46900,27325,24360
JHELUM,JHELUM,DISTRICT,OVERALL,229064,194438,22336,6514,4424,386,966,209173,14115,22990,70206,63848,72020
JHELUM,JHELUM,DISTRICT,RURAL,138838,129518,4369,4153,126,154,518,129359,8681,15323,42762,37471,43282
JHELUM,JHELUM,DISTRICT,URBAN,90226,64920,17967,2361,4298,232,448,79814,5434,7667,27444,26377,28738
KASUR,KASUR,DISTRICT,OVERALL,645308,561490,49184,27449,1840,1590,3755,619082,19041,224158,248974,98796,73380
KASUR,KASUR,DISTRICT,RURAL,443044,397356,18403,22451,832,1370,2632,426613,11597,158217,171946,65435,47446
KASUR,KASUR,DISTRICT,URBAN,202264,164134,30781,4998,1008,220,1123,192469,7444,65941,77028,33361,25934
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,526196,463466,26437,29336,2047,440,4470,498701,20538,133050,197141,105025,90980
KHANEWAL,KHANEWAL,DISTRICT,RURAL,410319,370830,8799,25851,636,332,3871,390988,14492,108979,157718,77824,65798
KHANEWAL,KHANEWAL,DISTRICT,URBAN,115877,92636,17638,3485,1411,108,599,107713,6046,24071,39423,27201,25182
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,248304,222212,11600,9422,2206,552,2312,233470,9764,53030,91257,54346,49671
KHUSHAB,KHUSHAB,DISTRICT,RURAL,180583,167351,2719,7924,360,283,1946,170864,7130,40254,67670,37416,35243
KHUSHAB,KHUSHAB,DISTRICT,URBAN,67721,54861,8881,1498,1846,269,366,62606,2634,12776,23587,16930,14428
LAHORE,LAHORE,DISTRICT,OVERALL,2010225,1343960,576294,46196,29668,2934,11173,1871363,95087,381517,694564,449470,484674
