name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
BADIN,BADIN,DISTRICT,OVERALL,397892,352341,6540,25495,1487,1409,10620,372740,11636,338091,47346,8622,3833
BADIN,BADIN,DISTRICT,RURAL,311949,278817,1269,20349,490,992,10032,291164,9271,275808,30991,3810,1340
BADIN,BADIN,DISTRICT,URBAN,85943,73524,5271,5146,997,417,588,81576,2365,62283,16355,4812,2493
DADU,DADU,DISTRICT,OVERALL,340471,314375,15903,6272,1105,310,2506,323691,12859,229184,78402,21678,11207
DADU,DADU,DISTRICT,RURAL,256607,245906,3561,4474,220,221,2225,243809,10132,189378,50868,11697,4664
DADU,DADU,DISTRICT,URBAN,83864,68469,12342,1798,885,89,281,79882,2727,39806,27534,9981,6543
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,297947,14471,13934,878,800,3016,320074,6278,247891,59695,14973,8487
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,243745,3065,11679,247,191,2593,253551,4938,210721,39677,7655,3467
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,54202,11406,2255,631,609,423,66523,1340,37170,20018,7318,5020
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,448191,325964,84303,22718,6992,1417,6797,412623,20362,198426,126523,69001,54241
HYDERABAD,HYDERABAD,DISTRICT,RURAL,75495,61915,1395,7597,125,797,3666,69302,1605,53509,15416,4089,2481
HYDERABAD,HYDERABAD,DISTRICT,URBAN,372696,264049,82908,15121,6867,620,3131,343321,18757,144917,111107,64912,51760
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,152997,9503,23431,1985,550,6590,180666,5265,130394,44065,12388,8209
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,107129,1394,22351,1153,507,6192,126847,4027,104597,26367,5626,2136
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,45868,8109,1080,832,43,398,53819,1238,25797,17698,6762,6073
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,181014,17589,6580,4062,1100,3148,198263,6920,133085,54581,15896,9931
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,107513,2040,2555,1950,534,2578,108136,3972,88134,21321,4921,2794
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,73501,15549,4025,2112,566,570,90127,2948,44951,33260,10975,7137
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,242437,8504,12383,298,471,3460,254155,9169,165995,69715,19754,12089
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,177948,2209,10608,34,296,2932,183910,6855,130607,47193,11293,4934
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,64489,6295,1775,264,175,528,70245,2314,35388,22522,8461,7155
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,368679,256948,16721,5911,566,2443,580069,62279,107609,226823,177386,139450
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,368679,256948,16721,5911,566,2443,580069,62279,107609,226823,177386,139450
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,377550,250560,11825,14157,678,4619,586756,53179,107677,192621,181148,177943
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,377550,250560,11825,14157,678,4619,586756,53179,107677,192621,181148,177943
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,242706,160029,5315,13876,482,2685,376539,31511,92433,162662,107676,62322
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,242706,160029,5315,13876,482,2685,376539,31511,92433,162662,107676,62322
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,311253,142815,8869,408,240,1171,426911,36026,103631,179563,112941,68621
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,29098,13019,780,189,16,246,41115,1782,8120,16389,11250,7589
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,282155,129796,8089,219,224,925,385796,34244,95511,163174,101691,61032
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,174185,11739,14074,2372,283,6241,196511,3487,144135,45291,12999,6469
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,140023,4140,12149,687,229,5711,153678,2634,118538,31727,8624,4050
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,34162,7599,1925,1685,54,530,42833,853,25597,13564,4375,2419
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,198739,108976,3521,6744,172,969,297085,14151,87264,129101,58985,43771
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,319121,198739,108976,3521,6744,172,969,297085,14151,87264,129101,58985,43771
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,452250,416691,14502,14837,1776,406,4038,433417,12613,295762,113706,28459,14323
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,305732,289378,2234,10237,643,295,2945,293473,8376,217415,68969,13877,5471
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,146518,127313,12268,4600,1133,111,1093,139944,4237,78347,44737,14582,8852
KORANGI,KORANGI,DISTRICT,OVERALL,493050,307258,166150,14943,2647,676,1376,451037,37314,109975,192012,113624,77439
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,493050,307258,166150,14943,2647,676,1376,451037,37314,109975,192012,113624,77439
LARKANA,LARKANA,DISTRICT,OVERALL,321528,280888,30482,5496,2826,181,1655,307508,9358,154561,109303,35742,21922
LARKANA,LARKANA,DISTRICT,RURAL,177901,168942,3570,3811,346,45,1187,170482,5841,105554,54272,12353,5722
LARKANA,LARKANA,DISTRICT,URBAN,143627,111946,26912,1685,2480,136,468,137026,3517,49007,55031,23389,16200
MALIR,MALIR,DISTRICT,OVERALL,421426,264495,133667,9077,10428,1454,2305,390324,16915,138193,150695,77909,54629
MALIR,MALIR,DISTRICT,RURAL,226404,155335,59711,5918,2611,968,1861,212377,8587,87012,76450,38987,23955
MALIR,MALIR,DISTRICT,URBAN,195022,109160,73956,3159,7817,486,444,177947,8328,51181,74245,38922,30674
MATIARI,MATIARI,DISTRICT,OVERALL,158463,131312,3818,16994,1418,924,3997,147728,4396,119709,28889,6149,3716
MATIARI,MATIARI,DISTRICT,RURAL,122399,100464,759,15386,1041,871,3878,113112,3497,99393,18402,3047,1557
MATIARI,MATIARI,DISTRICT,URBAN,36064,30848,3059,1608,377,53,119,34616,899,20316,10487,3102,2159
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,OVERALL,312986,206538,14555,70799,2946,2856,15292,282298,9594,217174,63139,19429,13244
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,RURAL,228271,143194,2575,64321,1084,2611,14486,203974,6116,182043,37314,6223,2691
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,URBAN,84715,63344,11980,6478,1862,245,806,78324,3478,35131,25825,13206,10553
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,OVERALL,319768,288869,13358,12414,1351,406,3370,306831,7810,205409,82632,20342,11385
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,RURAL,231188,214993,2656,10080,361,341,2757,222233,5496,160947,54683,10782,4776
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,URBAN,88580,73876,10702,2334,990,65,613,84598,2314,44462,27949,9560,6609
SANGHAR,SANGHAR,DISTRICT,OVERALL,406937,294882,20021,72773,2309,2550,14402,377030,10646,275037,91823,24845,15232
SANGHAR,SANGHAR,DISTRICT,RURAL,300793,215316,5147,63637,876,2346,13471,277091,7009,221469,60370,13158,5796
SANGHAR,SANGHAR,DISTRICT,URBAN,106144,79566,14874,9136,1433,204,931,99939,3637,53568,31453,11687,9436
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,OVERALL,334356,272136,18769,31394,2619,1395,8043,313070,9229,224735,78539,18942,12140
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,RURAL,233705,195879,2969,25864,1159,1029,6805,218409,6303,177763,44722,7712,3508
