name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
AWARAN,AWARAN,DISTRICT,OVERALL,53745,,4,,49801,2790,130,541,479
AWARAN,AWARAN,DISTRICT,RURAL,40838,,1,,38151,1718,93,523,352
AWARAN,AWARAN,DISTRICT,URBAN,12907,,3,,11650,1072,37,18,127
BARKHAN,BARKHAN,DISTRICT,OVERALL,21839,1,,1,16040,4764,168,501,364
BARKHAN,BARKHAN,DISTRICT,RURAL,19162,,,1,14448,3780,149,464,320
BARKHAN,BARKHAN,DISTRICT,URBAN,2677,1,,,1592,984,19,37,44
CHAGAI,CHAGAI,DISTRICT,OVERALL,53482,2,,,43436,8043,564,632,805
CHAGAI,CHAGAI,DISTRICT,RURAL,49395,1,,,40868,6642,542,632,710
CHAGAI,CHAGAI,DISTRICT,URBAN,4087,1,,,2568,1401,22,,95
CHAMAN,CHAMAN,DISTRICT,OVERALL,44292,7,11,11,35352,7695,269,38,909
CHAMAN,CHAMAN,DISTRICT,RURAL,30582,,1,,26445,3304,165,9,658
CHAMAN,CHAMAN,DISTRICT,URBAN,13710,7,10,11,8907,4391,104,29,251
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,55885,4,,3,42453,6649,332,5744,700
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,39904,1,,2,30781,2883,222,5552,463
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,15981,3,,1,11672,3766,110,192,237
DUKI,DUKI,DISTRICT,OVERALL,35383,1,,4,28143,4309,798,1628,500
DUKI,DUKI,DISTRICT,RURAL,31564,,,3,26123,2780,587,1623,448
DUKI,DUKI,DISTRICT,URBAN,3819,1,,1,2020,1529,211,5,52
GWADAR,GWADAR,DISTRICT,OVERALL,45428,7,2,1,38161,5440,770,345,702
GWADAR,GWADAR,DISTRICT,RURAL,23154,6,1,,20670,1871,195,153,258
GWADAR,GWADAR,DISTRICT,URBAN,22274,1,1,1,17491,3569,575,192,444
HARNAI,HARNAI,DISTRICT,OVERALL,21303,,,,14652,2410,269,3553,419
HARNAI,HARNAI,DISTRICT,RURAL,16095,,,,11380,901,129,3517,168
HARNAI,HARNAI,DISTRICT,URBAN,5208,,,,3272,1509,140,36,251
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,76296,4,,1,58036,11273,681,5430,871
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,55700,,,,43245,6445,296,5183,531
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,20596,4,,1,14791,4828,385,247,340
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,43146,6,,1,35851,2797,141,4071,279
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,38516,,,1,32133,2052,125,4003,202
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,4630,6,,,3718,745,16,68,77
KACHHI,KACHHI,DISTRICT,OVERALL,53678,6,15,4,44912,5428,397,2200,716
KACHHI,KACHHI,DISTRICT,RURAL,43135,2,,1,37301,2889,351,2189,402
KACHHI,KACHHI,DISTRICT,URBAN,10543,4,15,3,7611,2539,46,11,314
