name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,276456,544,129,159,235377,25220,4535,228,10267
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,225630,157,51,24,195717,19149,2434,113,7988
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,50826,387,78,135,39660,6071,2101,115,2279
BAJAUR,BAJAUR,DISTRICT,OVERALL,129493,27,3,6,109856,15700,742,37,3122
BAJAUR,BAJAUR,DISTRICT,RURAL,129493,27,3,6,109856,15700,742,37,3122
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,177561,53,21,25,140210,28918,1992,2401,3949
BANNU,BANNU,DISTRICT,RURAL,164633,8,,9,134341,22770,1494,2400,3619
BANNU,BANNU,DISTRICT,URBAN,12928,45,21,16,5869,6148,498,1,330
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,81715,71,9,23,66049,11799,1387,66,2313
BATAGRAM,BATAGRAM,DISTRICT,RURAL,81715,71,9,23,66049,11799,1387,66,2313
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,152441,41,19,37,111584,30713,2090,146,7811
BUNER,BUNER,DISTRICT,RURAL,152441,41,19,37,111584,30713,2090,146,7811
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,275672,9,14,3,224042,41962,5010,290,4354
CHARSADDA,CHARSADDA,DISTRICT,RURAL,225615,8,3,3,186715,30938,4170,273,3517
CHARSADDA,CHARSADDA,DISTRICT,URBAN,50057,1,11,,37327,11024,840,17,837
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,272208,22,10,6,218738,42313,2381,1682,7073
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,197635,2,1,1,164162,25688,1462,1558,4772
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,74573,20,9,5,54576,16625,919,124,2301
HANGU,HANGU,DISTRICT,OVERALL,58789,12,2,1,47359,8622,968,97,1728
HANGU,HANGU,DISTRICT,RURAL,46469,11,,,38420,5861,664,84,1429
HANGU,HANGU,DISTRICT,URBAN,12320,1,2,1,8939,2761,304,13,299
HARIPUR,HARIPUR,DISTRICT,OVERALL,231847,230,32,45,190123,27273,5583,708,7854
HARIPUR,HARIPUR,DISTRICT,RURAL,203863,207,17,22,169028,23044,3948,682,6916
HARIPUR,HARIPUR,DISTRICT,URBAN,27984,23,15,23,21095,4229,1635,26,938
KARAK,KARAK,DISTRICT,OVERALL,113445,4,1,5,96209,13308,767,117,3049
KARAK,KARAK,DISTRICT,RURAL,103778,4,1,5,88246,11904,712,77,2844
KARAK,KARAK,DISTRICT,URBAN,9667,,,,7963,1404,55,40,205
KHYBER,KHYBER,DISTRICT,OVERALL,113817,3,2,15,98909,10556,786,186,3368
KHYBER,KHYBER,DISTRICT,RURAL,103085,3,,,90145,9147,671,174,2953
KHYBER,KHYBER,DISTRICT,URBAN,10732,,2,15,8764,1409,115,12,415
KOHAT,KOHAT,DISTRICT,OVERALL,182897,71,6,5,152862,20197,2884,298,6574
KOHAT,KOHAT,DISTRICT,RURAL,135494,,5,3,115165,13539,1975,257,4550
KOHAT,KOHAT,DISTRICT,URBAN,47403,71,1,2,37697,6658,909,41,2024
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,21006,16,,1,16829,2012,447,623,1078
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,21006,16,,1,16829,2012,447,623,1078
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,74818,18,2,6,62884,8921,743,87,2157
KURRAM,KURRAM,DISTRICT,RURAL,70673,18,2,5,59846,8079,606,82,2035
KURRAM,KURRAM,DISTRICT,URBAN,4145,,,1,3038,842,137,5,122
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,138623,5,,9,115129,19729,917,359,2475
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,121148,5,,,101072,16689,731,300,2351
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,17475,,,9,14057,3040,186,59,124
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,73525,8,10,9,46750,22154,1896,24,2674
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,61210,2,2,5,38109,19267,1645,24,2156
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,12315,6,8,4,8641,2887,251,,518
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,210131,62,29,54,170248,29101,2991,79,7567
LOWER DIR,LOWER DIR,DISTRICT,RURAL,202386,51,10,27,165099,27090,2779,50,7280
LOWER DIR,LOWER DIR,DISTRICT,URBAN,7745,11,19,27,5149,2011,212,29,287
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,26090,21,1,4,22557,2609,317,177,404
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,26090,21,1,4,22557,2609,317,177,404
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,,,
MALAKAND,MALAKAND,DISTRICT,OVERALL,130397,18,14,24,105862,17589,2424,55,4411
MALAKAND,MALAKAND,DISTRICT,RURAL,119028,15,7,10,96962,15842,2032,48,4112
MALAKAND,MALAKAND,DISTRICT,URBAN,11369,3,7,14,8900,1747,392,7,299
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,330734,129,74,72,262653,46572,5911,385,14942
MANSEHRA,MANSEHRA,DISTRICT,RURAL,304169,99,40,37,242657,42056,4965,361,13958
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26565,30,34,35,19996,4516,946,24,984
MARDAN,MARDAN,DISTRICT,OVERALL,419087,49,25,37,346683,52458,7108,348,12389
MARDAN,MARDAN,DISTRICT,RURAL,345221,21,10,10,288079,41415,5355,285,10056
MARDAN,MARDAN,DISTRICT,URBAN,73866,28,15,27,58604,11043,1753,63,2333
MOHMAND,MOHMAND,DISTRICT,OVERALL,69022,,,2,55222,12024,483,40,1261
MOHMAND,MOHMAND,DISTRICT,RURAL,69022,,,2,55222,12024,483,40,1261
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,63137,4,9,7,51845,9721,441,85,1026
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,61645,4,9,7,51263,8833,420,85,1025
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,1492,,,,582,888,21,,1
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,268402,240,10,10,223963,28835,4005,257,11097
