name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
ATTOCK,ATTOCK,DISTRICT,OVERALL,439191,392,36,113,366837,44251,10943,3118,13501
ATTOCK,ATTOCK,DISTRICT,RURAL,325704,64,10,15,277059,30249,6221,2446,9640
ATTOCK,ATTOCK,DISTRICT,URBAN,113487,328,26,98,89778,14002,4722,672,3861
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,647901,103,6,19,512921,94893,24728,6986,8245
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,456719,30,1,6,368913,63473,14525,5278,4493
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,191182,73,5,13,144008,31420,10203,1708,3752
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,765912,65,35,32,597826,129482,22877,3147,12448
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,461885,6,4,7,366161,75975,11659,1782,6291
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,304027,59,31,25,231665,53507,11218,1365,6157
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,349707,,3,4,281147,56086,5244,1984,5239
BHAKKAR,BHAKKAR,DISTRICT,RURAL,278242,,2,4,229700,39083,3891,1651,3911
BHAKKAR,BHAKKAR,DISTRICT,URBAN,71465,,1,,51447,17003,1353,333,1328
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,371771,62,47,24,306215,45523,8506,1999,9395
CHAKWAL,CHAKWAL,DISTRICT,RURAL,283705,15,16,9,237595,32453,5915,1352,6350
CHAKWAL,CHAKWAL,DISTRICT,URBAN,88066,47,31,15,68620,13070,2591,647,3045
CHINIOT,CHINIOT,DISTRICT,OVERALL,290429,111,2,12,218441,51364,15099,1038,4362
CHINIOT,CHINIOT,DISTRICT,RURAL,192925,54,,9,144896,34810,9919,798,2439
CHINIOT,CHINIOT,DISTRICT,URBAN,97504,57,2,3,73545,16554,5180,240,1923
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,510080,37,21,41,397016,89393,11616,3716,8240
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,366768,14,2,19,290613,62978,5063,3031,5048
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,143312,23,19,22,106403,26415,6553,685,3192
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1608846,458,416,172,1280442,215745,75669,5846,30098
FAISALABAD,FAISALABAD,DISTRICT,RURAL,874735,60,42,25,700272,124329,31040,3803,15164
FAISALABAD,FAISALABAD,DISTRICT,URBAN,734111,398,374,147,580170,91416,44629,2043,14934
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,1023922,771,144,186,763049,170614,52826,1172,35160
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,431322,240,12,62,310885,85971,18146,494,15512
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,592600,531,132,124,452164,84643,34680,678,19648
GUJRAT,GUJRAT,DISTRICT,OVERALL,622916,230,42,86,507166,71233,21206,3016,19937
GUJRAT,GUJRAT,DISTRICT,RURAL,373318,32,8,17,312511,37004,10620,1535,11591
GUJRAT,GUJRAT,DISTRICT,URBAN,249598,198,34,69,194655,34229,10586,1481,8346
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,259646,20,1,16,189787,52969,10321,749,5783
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,160826,11,1,4,115538,35806,6198,397,2871
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,98820,9,,12,74249,17163,4123,352,2912
JHANG,JHANG,DISTRICT,OVERALL,551651,19,14,14,427689,95143,17559,2486,8727
JHANG,JHANG,DISTRICT,RURAL,395145,12,2,7,306912,69644,10784,1934,5850
JHANG,JHANG,DISTRICT,URBAN,156506,7,12,7,120777,25499,6775,552,2877
JHELUM,JHELUM,DISTRICT,OVERALL,297404,642,38,112,241434,35626,8780,1084,9688
JHELUM,JHELUM,DISTRICT,RURAL,191708,16,5,14,156712,23947,4429,575,6010
JHELUM,JHELUM,DISTRICT,URBAN,105696,626,33,98,84722,11679,4351,509,3678
KASUR,KASUR,DISTRICT,OVERALL,668853,163,16,38,514114,104330,32440,3858,13894
KASUR,KASUR,DISTRICT,RURAL,456857,12,2,13,353255,72209,19686,2849,8831
KASUR,KASUR,DISTRICT,URBAN,211996,151,14,25,160859,32121,12754,1009,5063
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,604303,12,11,8,472177,98350,21502,3264,8979
KHANEWAL,KHANEWAL,DISTRICT,RURAL,461085,4,8,7,365483,73148,14290,2522,5623
KHANEWAL,KHANEWAL,DISTRICT,URBAN,143218,8,3,1,106694,25202,7212,742,3356
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,291360,51,6,25,240117,37762,6115,2803,4481
KHUSHAB,KHUSHAB,DISTRICT,RURAL,208123,22,3,,175180,24766,3549,2244,2359
KHUSHAB,KHUSHAB,DISTRICT,URBAN,83237,29,3,25,64937,12996,2566,559,2122
LAHORE,LAHORE,DISTRICT,OVERALL,1794705,6447,1696,1952,1425565,180509,107705,7767,63065
LAHORE,LAHORE,DISTRICT,RURAL,,,,,,,,,
LAHORE,LAHORE,DISTRICT,URBAN,1794705,6447,1696,1952,1425565,180509,107705,7767,63065
LAYYAH,LAYYAH,DISTRICT,OVERALL,383273,16,8,15,291080,77270,5341,1922,7621
LAYYAH,LAYYAH,DISTRICT,RURAL,290795,7,5,13,228100,52836,3817,1357,4660
LAYYAH,LAYYAH,DISTRICT,URBAN,92478,9,3,2,62980,24434,1524,565,2961
LODHRAN,LODHRAN,DISTRICT,OVERALL,348734,4,2,2,260778,69124,12834,1021,4969
LODHRAN,LODHRAN,DISTRICT,RURAL,282688,2,1,,213608,54796,9807,826,3648
LODHRAN,LODHRAN,DISTRICT,URBAN,66046,2,1,2,47170,14328,3027,195,1321
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,369618,151,34,126,281452,61382,14569,2165,9739
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,302179,103,12,18,229683,52465,11006,1691,7201
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,67439,48,22,108,51769,8917,3563,474,2538
MIANWALI,MIANWALI,DISTRICT,OVERALL,300477,140,3,23,248363,39020,4902,2487,5539
MIANWALI,MIANWALI,DISTRICT,RURAL,230542,51,2,3,195252,25130,3596,2126,4382
MIANWALI,MIANWALI,DISTRICT,URBAN,69935,89,1,20,53111,13890,1306,361,1157
MULTAN,MULTAN,DISTRICT,OVERALL,972232,222,109,132,746948,158785,36757,3625,25654
MULTAN,MULTAN,DISTRICT,RURAL,507736,26,12,37,392630,84867,15943,1826,12395
MULTAN,MULTAN,DISTRICT,URBAN,464496,196,97,95,354318,73918,20814,1799,13259
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,805147,111,10,52,626411,150742,10963,3081,13777
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,RURAL,621706,49,4,35,493307,108800,7397,2589,9525
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,183441,62,6,17,133104,41942,3566,492,4252
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,285726,44,10,14,216411,46970,16349,1278,4650
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,227457,31,2,6,172768,38846,11556,876,3372
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,58269,13,8,8,43643,8124,4793,402,1278
NAROWAL,NAROWAL,DISTRICT,OVERALL,374395,80,14,20,282559,70569,9128,426,11599
NAROWAL,NAROWAL,DISTRICT,RURAL,305430,43,8,15,229971,59196,6866,291,9040
NAROWAL,NAROWAL,DISTRICT,URBAN,68965,37,6,5,52588,11373,2262,135,2559
OKARA,OKARA,DISTRICT,OVERALL,617701,96,32,24,481198,97216,27693,1373,10085
OKARA,OKARA,DISTRICT,RURAL,399511,4,,4,314599,63022,15441,973,5468
