name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
BADIN,BADIN,DISTRICT,OVERALL,378353,13,1,7,314154,41598,3326,16267,2987
BADIN,BADIN,DISTRICT,RURAL,298454,3,,1,257307,24756,1618,13064,1705
BADIN,BADIN,DISTRICT,URBAN,79899,10,1,6,56847,16842,1708,3203,1282
DADU,DADU,DISTRICT,OVERALL,267865,26,4,33,200827,38571,4627,19724,4053
DADU,DADU,DISTRICT,RURAL,194369,3,,16,147707,23233,1480,19262,2668
DADU,DADU,DISTRICT,URBAN,73496,23,4,17,53120,15338,3147,462,1385
GHOTKI,GHOTKI,DISTRICT,OVERALL,267094,52,2,40,212566,40920,3710,7021,2790
GHOTKI,GHOTKI,DISTRICT,RURAL,199428,2,1,2,164627,25697,1458,5999,1649
GHOTKI,GHOTKI,DISTRICT,URBAN,67666,50,1,38,47939,15223,2252,1022,1141
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,308485,2440,85,2023,239260,28553,18314,9438,8372
HYDERABAD,HYDERABAD,DISTRICT,RURAL,64721,97,3,41,49742,8152,855,4482,1349
HYDERABAD,HYDERABAD,DISTRICT,URBAN,243764,2343,82,1982,189518,20401,17459,4956,7023
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,188928,131,1,37,149201,21057,2820,13613,2068
JACOBABAD,JACOBABAD,DISTRICT,RURAL,135673,5,,2,109814,11158,588,12632,1474
JACOBABAD,JACOBABAD,DISTRICT,URBAN,53255,126,1,35,39387,9899,2232,981,594
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,195379,245,10,33,154984,20754,4429,11752,3173
JAMSHORO,JAMSHORO,DISTRICT,RURAL,110294,116,2,6,87185,10235,706,10446,1599
JAMSHORO,JAMSHORO,DISTRICT,URBAN,85085,129,8,27,67799,10519,3723,1306,1574
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,223308,40,3,18,169428,30180,3557,17367,2715
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,157351,14,2,7,123086,15542,1388,15697,1615
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,65957,26,1,11,46342,14638,2169,1670,1100
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,276661,12433,305,4988,215588,18049,21251,652,3412
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,276661,12433,305,4988,215588,18049,21251,652,3412
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,318394,11826,263,4380,247184,23967,15708,4445,10712
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,318394,11826,263,4380,247184,23967,15708,4445,10712
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,134853,8727,731,8395,92155,12973,8517,99,3279
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,134853,8727,731,8395,92155,12973,8517,99,3279
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,370817,1147,31,498,316065,21597,16037,691,14866
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,46324,9,,5,39032,2375,818,139,4044
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,324493,1138,31,493,277033,19222,15219,552,10822
KASHMORE,KASHMORE,DISTRICT,OVERALL,171043,109,2,16,139836,21040,1805,6423,1812
KASHMORE,KASHMORE,DISTRICT,RURAL,127980,95,,2,109751,10391,739,5902,1100
KASHMORE,KASHMORE,DISTRICT,URBAN,43063,14,2,14,30085,10649,1066,521,712
KEAMARI,KEAMARI,DISTRICT,OVERALL,277215,3123,130,1629,220325,24396,16995,1131,9486
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,277215,3123,130,1629,220325,24396,16995,1131,9486
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,450478,85,6,39,346612,59922,7255,30609,5950
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,295183,58,3,16,231896,32533,2752,24757,3168
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,155295,27,3,23,114716,27389,4503,5852,2782
KORANGI,KORANGI,DISTRICT,OVERALL,309400,4190,64,1067,257961,19651,19674,511,6282
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,309400,4190,64,1067,257961,19651,19674,511,6282
LARKANA,LARKANA,DISTRICT,OVERALL,255475,72,10,53,204105,32811,6508,7675,4241
LARKANA,LARKANA,DISTRICT,RURAL,136483,3,1,6,110783,15728,1397,6599,1966
LARKANA,LARKANA,DISTRICT,URBAN,118992,69,9,47,93322,17083,5111,1076,2275
MALIR,MALIR,DISTRICT,OVERALL,359754,2893,92,674,289282,29205,14392,5786,17439
MALIR,MALIR,DISTRICT,RURAL,218424,811,79,232,173209,18548,7527,5152,12874
MALIR,MALIR,DISTRICT,URBAN,141330,2082,13,442,116073,10657,6865,634,4565
MATIARI,MATIARI,DISTRICT,OVERALL,134342,4,3,15,104752,18293,2528,7269,1478
MATIARI,MATIARI,DISTRICT,RURAL,99234,2,3,10,78994,11888,780,6858,699
MATIARI,MATIARI,DISTRICT,URBAN,35108,2,,5,25758,6405,1748,411,779
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,OVERALL,301150,55,10,26,237374,30118,4942,25151,3474
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,RURAL,224267,10,2,9,178592,19455,1174,23106,1919
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,URBAN,76883,45,8,17,58782,10663,3768,2045,1555
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,OVERALL,267129,9,7,13,213811,38656,4909,6081,3643
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,RURAL,179986,4,5,5,149335,21440,1600,5576,2021
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,URBAN,87143,5,2,8,64476,17216,3309,505,1622
SANGHAR,SANGHAR,DISTRICT,OVERALL,380548,85,3,37,286675,45905,6272,37324,4247
SANGHAR,SANGHAR,DISTRICT,RURAL,276436,21,3,3,211877,27071,1628,33285,2548
SANGHAR,SANGHAR,DISTRICT,URBAN,104112,64,,34,74798,18834,4644,4039,1699
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,OVERALL,286373,111,5,42,229235,35045,5985,12779,3171
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,RURAL,195711,2,,,159381,21984,1775,11212,1357
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,URBAN,90662,109,5,42,69854,13061,4210,1567,1814
SHIKARPUR,SHIKARPUR,DISTRICT,OVERALL,187976,8,,9,144406,26553,3769,11246,1985
SHIKARPUR,SHIKARPUR,DISTRICT,RURAL,138206,1,,3,109253,15843,1353,10582,1171
SHIKARPUR,SHIKARPUR,DISTRICT,URBAN,49770,7,,6,35153,10710,2416,664,814
SUJAWAL,SUJAWAL,DISTRICT,OVERALL,158372,65,1,8,135248,15425,858,5144,1623
SUJAWAL,SUJAWAL,DISTRICT,RURAL,141657,6,,2,124029,11081,539,4768,1232
SUJAWAL,SUJAWAL,DISTRICT,URBAN,16715,59,1,6,11219,4344,319,376,391
SUKKUR,SUKKUR,DISTRICT,OVERALL,235939,360,39,560,186252,30019,7082,7248,4379
SUKKUR,SUKKUR,DISTRICT,RURAL,120599,1,2,3,98515,13807,1306,5600,1365
SUKKUR,SUKKUR,DISTRICT,URBAN,115340,359,37,557,87737,16212,5776,1648,3014
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,OVERALL,150871,43,3,9,120197,17474,2131,9395,1619
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,RURAL,102978,13,2,2,83208,10295,683,7945,830
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,URBAN,47893,30,1,7,36989,7179,1448,1450,789
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,OVERALL,129766,23,1,4,106444,14595,1477,5663,1559
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,RURAL,102705,9,1,2,86269,10489,452,4492,991
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,URBAN,27061,14,,2,20175,4106,1025,1171,568
THARPARKAR,THARPARKAR,DISTRICT,OVERALL,290641,3,1,4,259552,24785,2055,2777,1464
THARPARKAR,THARPARKAR,DISTRICT,RURAL,261224,2,1,,236282,20010,1350,2438,1141
THARPARKAR,THARPARKAR,DISTRICT,URBAN,29417,1,,4,23270,4775,705,339,323
THATTA,THATTA,DISTRICT,OVERALL,221790,76,,19,177073,22045,2523,16734,3320
THATTA,THATTA,DISTRICT,RURAL,184800,60,,4,148973,16315,1617,15478,2353
THATTA,THATTA,DISTRICT,URBAN,36990,16,,15,28100,5730,906,1256,967
UMER KOT,UMER KOT,DISTRICT,OVERALL,231840,6,2,2,192782,21736,2267,13724,1321
UMER KOT,UMER KOT,DISTRICT,RURAL,180026,3,2,2,151518,14117,638,12901,845
UMER KOT,UMER KOT,DISTRICT,URBAN,51814,3,,,41264,7619,1629,823,476
