name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
BALOCHISTAN,PROVINCE,,OVERALL,347190,14894402,7768166,7125471,765,109.02,42.9,30.96,6.4,12335129,3.2
BALOCHISTAN,PROVINCE,,RURAL,,10282574,5379780,4902339,455,109.74,,,6.2,8928428,2.39
BALOCHISTAN,PROVINCE,,URBAN,,4611828,2388386,2223132,310,107.43,,,7,3406701,5.19
AWARAN,DISTRICT,AWARAN,OVERALL,29510,178958,91623,87318,17,104.93,6.06,26.17,6.4,121821,6.64
AWARAN,DISTRICT,AWARAN,RURAL,,132122,67516,64594,12,104.52,,,6.1,87584,7.11
AWARAN,DISTRICT,AWARAN,URBAN,,46836,24107,22724,5,106.09,,,7.2,34237,5.38
AWARAN,SUB-DIVISION,AWARAN,OVERALL,13075,45774,23188,22582,4,102.68,3.5,62.87,7,30345,7.11
AWARAN,SUB-DIVISION,AWARAN,RURAL,,16994,8513,8481,,100.38,,,6.8,8584,12.09
AWARAN,SUB-DIVISION,AWARAN,URBAN,,28780,14675,14101,4,104.07,,,7.2,21761,4.78
GISHKORE,TEHSIL,AWARAN,OVERALL,4578,31462,16104,15355,3,104.88,6.87,,5,18390,9.390000000000001
GISHKORE,TEHSIL,AWARAN,RURAL,,31462,16104,15355,3,104.88,,,5,18390,9.390000000000001
GISHKORE,TEHSIL,AWARAN,URBAN,,,,,,,,,,,
JHAL JAO,TEHSIL,AWARAN,OVERALL,6381,28132,14420,13709,3,105.19,4.41,,7,21491,4.6
JHAL JAO,TEHSIL,AWARAN,RURAL,,28132,14420,13709,3,105.19,,,7,21491,4.6
JHAL JAO,TEHSIL,AWARAN,URBAN,,,,,,,,,,,
KORAK JHAO,TEHSIL,AWARAN,OVERALL,3058,27652,14237,13414,1,106.14,9.039999999999999,,6.5,18519,6.93
KORAK JHAO,TEHSIL,AWARAN,RURAL,,27652,14237,13414,1,106.14,,,6.5,18519,6.93
KORAK JHAO,TEHSIL,AWARAN,URBAN,,,,,,,,,,,
MASHKAI,TEHSIL,AWARAN,OVERALL,2418,45938,23674,22258,6,106.36,19,39.31,6.6,33076,5.64
MASHKAI,TEHSIL,AWARAN,RURAL,,27882,14242,13635,5,104.45,,,6.2,20600,5.19
MASHKAI,TEHSIL,AWARAN,URBAN,,18056,9432,8623,1,109.38,,,7.3,12476,6.37
BARKHAN,DISTRICT,BARKHAN,OVERALL,3514,210249,109624,100617,8,108.95,59.83,6.86,9.1,171025,3.51
BARKHAN,DISTRICT,BARKHAN,RURAL,,195824,102226,93591,7,109.23,,,9,158824,3.56
BARKHAN,DISTRICT,BARKHAN,URBAN,,14425,7398,7026,1,105.29,,,9.800000000000001,12201,2.84
BARKHAN,TEHSIL,BARKHAN,OVERALL,3514,210249,109624,100617,8,108.95,59.83,6.86,9.1,171025,3.51
BARKHAN,TEHSIL,BARKHAN,RURAL,,195824,102226,93591,7,109.23,,,9,158824,3.56
BARKHAN,TEHSIL,BARKHAN,URBAN,,14425,7398,7026,1,105.29,,,9.800000000000001,12201,2.84
CHAGAI,DISTRICT,CHAGAI,OVERALL,44748,269192,139922,129265,5,108.24,6.02,7.45,7,226517,2.93
CHAGAI,DISTRICT,CHAGAI,RURAL,,249138,129664,119469,5,108.53,,,6.9,210252,2.88
CHAGAI,DISTRICT,CHAGAI,URBAN,,20054,10258,9796,,104.72,,,7.7,16265,3.56
CHAGAI,TEHSIL,CHAGAI,OVERALL,3975,73482,37067,36412,3,101.8,18.49,,6.6,58256,3.96
CHAGAI,TEHSIL,CHAGAI,RURAL,,73482,37067,36412,3,101.8,,,6.6,58256,3.96
CHAGAI,TEHSIL,CHAGAI,URBAN,,,,,,,,,,,
DALBANDIN,SUB-DIVISION,CHAGAI,OVERALL,7791,122918,63705,59212,1,107.59,15.78,16.31,6.9,106643,2.4
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,,102864,53447,49416,1,108.16,,,6.8,90378,2.19
DALBANDIN,SUB-DIVISION,CHAGAI,URBAN,,20054,10258,9796,,104.72,,,7.7,16265,3.56
NOKUNDI,TEHSIL,CHAGAI,OVERALL,16092,30625,16627,13997,1,118.79,1.9,,9.699999999999999,22283,5.46
NOKUNDI,TEHSIL,CHAGAI,RURAL,,30625,16627,13997,1,118.79,,,9.699999999999999,22283,5.46
NOKUNDI,TEHSIL,CHAGAI,URBAN,,,,,,,,,,,
TAFTAN,SUB-DIVISION,CHAGAI,OVERALL,9318,19259,10707,8552,,125.2,2.07,,7.1,18510,.67
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,,19259,10707,8552,,125.2,,,7.1,18510,.67
TAFTAN,SUB-DIVISION,CHAGAI,URBAN,,,,,,,,,,,
YAK MACHH,SUB-TEHSIL,CHAGAI,OVERALL,7572,22908,11816,11092,,106.53,3.03,,6.2,20825,1.61
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,,22908,11816,11092,,106.53,,,6.2,20825,1.61
YAK MACHH,SUB-TEHSIL,CHAGAI,URBAN,,,,,,,,,,,
CHAMAN,DISTRICT,CHAMAN,OVERALL,1341,466218,261194,205011,13,127.4,347.66,27.91,7.5,434561,1.18
CHAMAN,DISTRICT,CHAMAN,RURAL,,336079,189666,146401,12,129.55,,,7.8,311355,1.29
CHAMAN,DISTRICT,CHAMAN,URBAN,,130139,71528,58610,1,122.04,,,6.8,123206,.92
CHAMAN,SUB-DIVISION_CITY,CHAMAN,OVERALL,22,130139,71528,58610,1,122.04,5915.41,100,6.8,123206,.92
CHAMAN,SUB-DIVISION_CITY,CHAMAN,RURAL,,,,,,,,,,,
CHAMAN,SUB-DIVISION_CITY,CHAMAN,URBAN,,130139,71528,58610,1,122.04,,,6.8,123206,.92
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,OVERALL,1319,336079,189666,146401,12,129.55,254.8,,7.8,311355,1.29
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,,336079,189666,146401,12,129.55,,,7.8,311355,1.29
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,URBAN,,,,,,,,,,,
DERA BUGTI,DISTRICT,DERA BUGTI,OVERALL,10160,355274,194587,160683,4,121.1,34.97,30.52,5.7,313110,2.13
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,,246827,137658,109166,3,126.1,,,5.8,212745,2.51
DERA BUGTI,DISTRICT,DERA BUGTI,URBAN,,108447,56929,51517,1,110.51,,,5.4,100365,1.3
BAIKER,SUB-TEHSIL,DERA BUGTI,OVERALL,258,33410,18736,14674,,127.68,129.5,,6.9,19497,9.42
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,,33410,18736,14674,,127.68,,,6.9,19497,9.42
BAIKER,SUB-TEHSIL,DERA BUGTI,URBAN,,,,,,,,,,,
DERA BUGTI,SUB-DIVISION,DERA BUGTI,OVERALL,927,50943,26696,24247,,110.1,54.95,56.69,5.3,48415,.85
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,,22063,11772,10291,,114.39,,,5.2,20790,1
DERA BUGTI,SUB-DIVISION,DERA BUGTI,URBAN,,28880,14924,13956,,106.94,,,5.3,27625,.75
LOTI,SUB-TEHSIL,DERA BUGTI,OVERALL,803,21711,13350,8361,,159.67,27.04,,4.7,18058,3.13
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,,21711,13350,8361,,159.67,,,4.7,18058,3.13
LOTI,SUB-TEHSIL,DERA BUGTI,URBAN,,,,,,,,,,,
MALAM,SUB-TEHSIL,DERA BUGTI,OVERALL,957,33340,18690,14650,,127.58,34.84,,7.5,27265,3.42
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,,33340,18690,14650,,127.58,,,7.5,27265,3.42
