name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
KHYBER PAKHTUNKHWA,PROVINCE,,OVERALL,101741,40856097,20845747,20009233,1117,104.18,401.57,15.01,6.9,35501964,2.38
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,,34724801,17685692,17038648,461,103.8,,,7,29626670,2.69
KHYBER PAKHTUNKHWA,PROVINCE,,URBAN,,6131296,3160055,2970585,656,106.38,,,6.7,5875294,.72
ABBOTTABAD,DISTRICT,ABBOTTABAD,OVERALL,1967,1419072,712218,706750,104,100.77,721.4400000000001,23.42,5.9,1333089,1.05
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,,1086757,544465,542269,23,100.4,,,5.9,1039104,.75
ABBOTTABAD,DISTRICT,ABBOTTABAD,URBAN,,332315,167753,164481,81,101.99,,,6.2,293985,2.07
ABBOTTABAD,TEHSIL,ABBOTTABAD,OVERALL,1285,1003339,506019,497263,57,101.76,780.8099999999999,27.5,6,939576,1.1
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,,727449,366447,360984,18,101.51,,,5.9,693906,.79
ABBOTTABAD,TEHSIL,ABBOTTABAD,URBAN,,275890,139572,136279,39,102.42,,,6.2,245670,1.96
HAVELIAN,TEHSIL,ABBOTTABAD,OVERALL,342,256754,127577,129133,44,98.8,750.74,21.98,6,235725,1.44
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,,200329,99396,100931,2,98.48,,,6,187410,1.12
HAVELIAN,TEHSIL,ABBOTTABAD,URBAN,,56425,28181,28202,42,99.93000000000001,,,6,48315,2.63
LORA,TEHSIL,ABBOTTABAD,OVERALL,187,98717,48662,50054,1,97.22,527.9,,5.7,97876,.14
LORA,TEHSIL,ABBOTTABAD,RURAL,,98717,48662,50054,1,97.22,,,5.7,97876,.14
LORA,TEHSIL,ABBOTTABAD,URBAN,,,,,,,,,,,
LOWER TANAWAL,TEHSIL,ABBOTTABAD,OVERALL,153,60262,29960,30300,2,98.88,393.87,,5.6,59912,.1
LOWER TANAWAL,TEHSIL,ABBOTTABAD,RURAL,,60262,29960,30300,2,98.88,,,5.6,59912,.1
LOWER TANAWAL,TEHSIL,ABBOTTABAD,URBAN,,,,,,,,,,,
BAJAUR,DISTRICT,BAJAUR,OVERALL,1290,1287960,650798,637147,15,102.14,998.42,0,7,1090987,2.81
BAJAUR,DISTRICT,BAJAUR,RURAL,,1287960,650798,637147,15,102.14,,,7,1090987,2.81
BAJAUR,DISTRICT,BAJAUR,URBAN,,,,,,0,,,,,0
BAR CHAMER KAND,TEHSIL,BAJAUR,OVERALL,13,3574,1825,1748,1,104.41,274.92,,4.7,2868,3.75
BAR CHAMER KAND,TEHSIL,BAJAUR,RURAL,,3574,1825,1748,1,104.41,,,4.7,2868,3.75
BAR CHAMER KAND,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
BARANG,TEHSIL,BAJAUR,OVERALL,159,90082,45101,44981,,100.27,566.55,,6.4,76493,2.77
BARANG,TEHSIL,BAJAUR,RURAL,,90082,45101,44981,,100.27,,,6.4,76493,2.77
BARANG,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
KHAR BAJAUR,TEHSIL,BAJAUR,OVERALL,238,301778,152978,148798,2,102.81,1267.97,,7.2,246875,3.41
KHAR BAJAUR,TEHSIL,BAJAUR,RURAL,,301778,152978,148798,2,102.81,,,7.2,246875,3.41
KHAR BAJAUR,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
MAMUND,TEHSIL,BAJAUR,OVERALL,250,358190,181993,176193,4,103.29,1432.76,,7.3,311373,2.37
MAMUND,TEHSIL,BAJAUR,RURAL,,358190,181993,176193,4,103.29,,,7.3,311373,2.37
MAMUND,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
NAWAGAI,TEHSIL,BAJAUR,OVERALL,216,93850,47662,46184,4,103.2,434.49,,7.1,78494,3.03
NAWAGAI,TEHSIL,BAJAUR,RURAL,,93850,47662,46184,4,103.2,,,7.1,78494,3.03
NAWAGAI,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
SALARZAI,TEHSIL,BAJAUR,OVERALL,220,316767,159177,157587,3,101.01,1439.85,,6.6,267636,2.86
SALARZAI,TEHSIL,BAJAUR,RURAL,,316767,159177,157587,3,101.01,,,6.6,267636,2.86
SALARZAI,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
UTMAN KHEL,TEHSIL,BAJAUR,OVERALL,194,123719,62062,61656,1,100.66,637.73,,7.8,107248,2.42
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,,123719,62062,61656,1,100.66,,,7.8,107248,2.42
UTMAN KHEL,TEHSIL,BAJAUR,URBAN,,,,,,,,,,,
BANNU,DISTRICT,BANNU,OVERALL,1972,1357890,706094,651777,19,108.33,688.59,3.56,7.4,1210183,1.94
BANNU,DISTRICT,BANNU,RURAL,,1309492,680031,629449,12,108.04,,,7.4,1160235,2.04
BANNU,DISTRICT,BANNU,URBAN,,48398,26063,22328,7,116.73,,,6.8,49948,-.53
BAKKA KHEL,TEHSIL,BANNU,OVERALL,367,192797,100034,92763,,107.84,525.33,,6.5,168300,2.3
BAKKA KHEL,TEHSIL,BANNU,RURAL,,192797,100034,92763,,107.84,,,6.5,168300,2.3
BAKKA KHEL,TEHSIL,BANNU,URBAN,,,,,,,,,,,
BANNU,TEHSIL,BANNU,OVERALL,228,644909,333303,311589,17,106.97,2828.55,7.5,7.2,563374,2.28
BANNU,TEHSIL,BANNU,RURAL,,596511,307240,289261,10,106.22,,,7.2,513426,2.54
BANNU,TEHSIL,BANNU,URBAN,,48398,26063,22328,7,116.73,,,6.8,49948,-.53
DOMEL,TEHSIL,BANNU,OVERALL,425,224428,120303,104125,,115.54,528.0700000000001,,9.300000000000001,208968,1.2
DOMEL,TEHSIL,BANNU,RURAL,,224428,120303,104125,,115.54,,,9.300000000000001,208968,1.2
DOMEL,TEHSIL,BANNU,URBAN,,,,,,,,,,,
KAKKI,TEHSIL,BANNU,OVERALL,66,92021,47994,44026,1,109.01,1394.26,,6.8,82265,1.89
KAKKI,TEHSIL,BANNU,RURAL,,92021,47994,44026,1,109.01,,,6.8,82265,1.89
KAKKI,TEHSIL,BANNU,URBAN,,,,,,,,,,,
MERYAN,TEHSIL,BANNU,OVERALL,141,166473,85062,81410,1,104.49,1180.66,,7.6,144164,2.43
MERYAN,TEHSIL,BANNU,RURAL,,166473,85062,81410,1,104.49,,,7.6,144164,2.43
MERYAN,TEHSIL,BANNU,URBAN,,,,,,,,,,,
WAZIR,SUB-DIVISION,BANNU,OVERALL,745,37262,19398,17864,,108.59,50.02,,6.9,43112,-2.41
