name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
PUNJAB,PROVINCE,,OVERALL,205345,127688922,65448376,62226589,13957,105.18,621.83,40.71,6.4,109989655,2.53
PUNJAB,PROVINCE,,RURAL,,75712955,38625841,37083868,3246,104.16,,,6.4,69442450,1.46
PUNJAB,PROVINCE,,URBAN,,51975967,26822535,25142721,10711,106.68,,,6.4,40547205,4.24
ATTOCK,DISTRICT,ATTOCK,OVERALL,6857,2170423,1089655,1080687,81,100.83,316.53,28.75,6.1,1886378,2.37
ATTOCK,DISTRICT,ATTOCK,RURAL,,1546439,775779,770642,18,100.67,,,6,1395470,1.73
ATTOCK,DISTRICT,ATTOCK,URBAN,,623984,313876,310045,63,101.24,,,6.4,490908,4.09
ATTOCK,TEHSIL,ATTOCK,OVERALL,1002,516277,259555,256694,28,101.11,515.25,56.19,6.3,435203,2.9
ATTOCK,TEHSIL,ATTOCK,RURAL,,226179,114320,111854,5,102.2,,,6,222710,.26
ATTOCK,TEHSIL,ATTOCK,URBAN,,290098,145235,144840,23,100.27,,,6.6,212493,5.34
FATEH JANG,TEHSIL,ATTOCK,OVERALL,1249,374726,189283,185426,17,102.08,300.02,21.7,6.2,326433,2.33
FATEH JANG,TEHSIL,ATTOCK,RURAL,,293405,148263,145137,5,102.15,,,6.1,259933,2.04
FATEH JANG,TEHSIL,ATTOCK,URBAN,,81321,41020,40289,12,101.81,,,6.4,66500,3.42
HASAN ABDAL,TEHSIL,ATTOCK,OVERALL,350,253670,129096,124561,13,103.64,724.77,27.41,6.3,217109,2.64
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,,184141,93517,90623,1,103.19,,,6.3,153891,3.04
HASAN ABDAL,TEHSIL,ATTOCK,URBAN,,69529,35579,33938,12,104.84,,,6.3,63218,1.6
HAZRO,TEHSIL,ATTOCK,OVERALL,348,386544,195013,191525,6,101.82,1110.76,16.29,6.2,340189,2.16
HAZRO,TEHSIL,ATTOCK,RURAL,,323572,163256,160314,2,101.84,,,6.1,284881,2.15
HAZRO,TEHSIL,ATTOCK,URBAN,,62972,31757,31211,4,101.75,,,6.6,55308,2.19
JAND,TEHSIL,ATTOCK,OVERALL,2043,330328,162882,167439,7,97.28,161.69,17.03,5.7,295513,1.88
JAND,TEHSIL,ATTOCK,RURAL,,274074,135158,138913,3,97.3,,,5.7,247319,1.73
JAND,TEHSIL,ATTOCK,URBAN,,56254,27724,28526,4,97.19,,,5.7,48194,2.62
PINDI GHEB,TEHSIL,ATTOCK,OVERALL,1865,308878,153826,155042,10,99.22,165.62,20.66,5.7,271931,2.15
PINDI GHEB,TEHSIL,ATTOCK,RURAL,,245068,121265,123801,2,97.95,,,5.7,226736,1.31
PINDI GHEB,TEHSIL,ATTOCK,URBAN,,63810,32561,31241,8,104.23,,,6,45195,5.93
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,OVERALL,8878,3550342,1845493,1704479,370,108.27,399.9,27.44,6.3,2975656,3
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,,2576224,1339315,1236809,100,108.29,,,6.4,2355970,1.5
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,URBAN,,974118,506178,467670,270,108.23,,,6.2,619686,7.85
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,OVERALL,1729,976049,509041,466911,97,109.02,564.52,28.79,6.3,813390,3.09
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,,695026,362469,332530,27,109,,,6.4,619550,1.94
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,URBAN,,281023,146572,134381,70,109.07,,,6.1,193840,6.4
CHISHTIAN,TEHSIL,BAHAWALNAGAR,OVERALL,1500,845439,438376,406944,119,107.72,563.63,27.15,6.3,697125,3.28
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,,615910,319728,296136,46,107.97,,,6.4,547701,1.98
CHISHTIAN,TEHSIL,BAHAWALNAGAR,URBAN,,229529,118648,110808,73,107.08,,,6.1,149424,7.44
FORT ABBAS,TEHSIL,BAHAWALNAGAR,OVERALL,2536,510253,266211,244010,32,109.1,201.2,26.27,6.7,422768,3.19
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,,376188,195960,180222,6,108.73,,,6.7,361240,.68
FORT ABBAS,TEHSIL,BAHAWALNAGAR,URBAN,,134065,70251,63788,26,110.13,,,6.6,61528,13.9
HAROONABAD,TEHSIL,BAHAWALNAGAR,OVERALL,1295,615476,317783,297600,93,106.78,475.27,34.33,6.3,517356,2.94
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,,404211,208409,195789,13,106.45,,,6.4,374756,1.27
HAROONABAD,TEHSIL,BAHAWALNAGAR,URBAN,,211265,109374,101811,80,107.43,,,6.2,142600,6.79
MINCHINABAD,TEHSIL,BAHAWALNAGAR,OVERALL,1818,603125,314082,289014,29,108.67,331.75,19.6,6.1,525017,2.34
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,,484889,252749,232132,8,108.88,,,6.1,452723,1.15
MINCHINABAD,TEHSIL,BAHAWALNAGAR,URBAN,,118236,61333,56882,21,107.82,,,6.2,72294,8.57
BAHAWALPUR,DISTRICT,BAHAWALPUR,OVERALL,24830,4284964,2174995,2109500,469,103.1,172.57,37.79,6.3,3669176,2.63
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,,2665643,1351661,1313845,137,102.88,,,6.4,2497014,1.1
BAHAWALPUR,DISTRICT,BAHAWALPUR,URBAN,,1619321,823334,795655,332,103.48,,,6.3,1172162,5.55
AHMADPUR EAST,TEHSIL,BAHAWALPUR,OVERALL,1738,1307578,666034,641412,132,103.84,752.35,26.67,6.7,1078586,3.27
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,,958883,488312,470552,19,103.77,,,6.6,902476,1.02
AHMADPUR EAST,TEHSIL,BAHAWALPUR,URBAN,,348695,177722,170860,113,104.02,,,6.8,176110,12.09
BAHAWALPUR CITY,TEHSIL,BAHAWALPUR,OVERALL,1490,815202,414878,400222,102,103.66,547.12,100,6.1,682116,3.02
BAHAWALPUR CITY,TEHSIL,BAHAWALPUR,RURAL,,,,,,,,,,,
BAHAWALPUR CITY,TEHSIL,BAHAWALPUR,URBAN,,815202,414878,400222,102,103.66,,,6.1,682116,3.02
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,OVERALL,745,675950,345451,330399,100,104.56,907.3200000000001,22.33,6.4,575886,2.71
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,,524996,266854,258100,42,103.39,,,6.3,467938,1.94
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,URBAN,,150954,78597,72299,58,108.71,,,6.5,107948,5.76
HASILPUR,TEHSIL,BAHAWALPUR,OVERALL,1490,508415,254298,254075,42,100.09,341.22,38.64,6,456360,1.82
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,,311967,156123,155837,7,100.18,,,6,340747,-1.46
HASILPUR,TEHSIL,BAHAWALPUR,URBAN,,196448,98175,98238,35,99.94,,,5.9,115613,9.26
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,OVERALL,993,290582,146657,143909,16,101.91,292.63,16.27,6,262923,1.69
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,RURAL,,243298,122875,120412,11,102.05,,,6,221431,1.59
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,URBAN,,47284,23782,23497,5,101.21,,,5.9,41492,2.21
YAZMAN,TEHSIL,BAHAWALPUR,OVERALL,18374,687237,347677,339483,77,102.41,37.4,8.84,6.3,613305,1.92
YAZMAN,TEHSIL,BAHAWALPUR,RURAL,,626499,317497,308944,58,102.77,,,6.3,564422,1.76
YAZMAN,TEHSIL,BAHAWALPUR,URBAN,,60738,30180,30539,19,98.81999999999999,,,6,48883,3.7
BHAKKAR,DISTRICT,BHAKKAR,OVERALL,8153,1957470,1016361,941032,77,108,240.09,18,6.2,1647852,2.92
BHAKKAR,DISTRICT,BHAKKAR,RURAL,,1605036,833202,771798,36,107.96,,,6.2,1388198,2.46
BHAKKAR,DISTRICT,BHAKKAR,URBAN,,352434,183159,169234,41,108.23,,,6.2,259654,5.24
BHAKKAR,TEHSIL,BHAKKAR,OVERALL,2427,809789,421257,388495,37,108.43,333.66,19.68,6.5,683939,2.86
BHAKKAR,TEHSIL,BHAKKAR,RURAL,,650405,338098,312290,17,108.26,,,6.5,571132,2.2
BHAKKAR,TEHSIL,BHAKKAR,URBAN,,159384,83159,76205,20,109.13,,,6.3,112807,5.95
DARYA KHAN,TEHSIL,BHAKKAR,OVERALL,1719,421309,218525,202759,25,107.78,245.09,22.29,5.9,360427,2.64
DARYA KHAN,TEHSIL,BHAKKAR,RURAL,,327411,170086,157318,7,108.12,,,5.9,280006,2.65
