name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
SINDH,PROVINCE,,OVERALL,140914,55696147,29014424,26677501,4222,108.76,395.25,53.97,5.6,47854510,2.57
SINDH,PROVINCE,,RURAL,,25639408,13245373,12393405,630,106.87,,,5.4,23021876,1.82
SINDH,PROVINCE,,URBAN,,30056739,15769051,14284096,3592,110.4,,,5.8,24832634,3.24
BADIN,DISTRICT,BADIN,OVERALL,6858,1947081,1012854,934153,74,108.42,283.91,22.08,4.8,1804958,1.27
BADIN,DISTRICT,BADIN,RURAL,,1517232,790028,727169,35,108.64,,,4.8,1414614,1.18
BADIN,DISTRICT,BADIN,URBAN,,429849,222826,206984,39,107.65,,,5,390344,1.62
BADIN,TEHSIL,BADIN,OVERALL,1816,490386,255677,234691,18,108.94,270.04,29.07,4.8,454576,1.28
BADIN,TEHSIL,BADIN,RURAL,,347824,181875,165941,8,109.6,,,4.8,322957,1.25
BADIN,TEHSIL,BADIN,URBAN,,142562,73802,68750,10,107.35,,,5,131619,1.34
GOLARCHI (S.F.RAHU),TEHSIL,BADIN,OVERALL,1642,374854,195987,178865,2,109.57,228.29,15.23,5.1,334440,1.92
GOLARCHI (S.F.RAHU),TEHSIL,BADIN,RURAL,,317766,166140,151625,1,109.57,,,5.1,281087,2.07
GOLARCHI (S.F.RAHU),TEHSIL,BADIN,URBAN,,57088,29847,27240,1,109.57,,,5.5,53353,1.14
MATLI,TEHSIL,BADIN,OVERALL,1143,471100,244672,226398,30,108.07,412.16,23.64,4.9,444700,.97
MATLI,TEHSIL,BADIN,RURAL,,359737,186676,173049,12,107.87,,,4.9,346413,.63
MATLI,TEHSIL,BADIN,URBAN,,111363,57996,53349,18,108.71,,,4.9,98287,2.11
TALHAR,TEHSIL,BADIN,OVERALL,569,184206,94961,89234,11,106.42,323.74,26.46,4.6,172014,1.15
TALHAR,TEHSIL,BADIN,RURAL,,135462,69857,65601,4,106.49,,,4.7,123329,1.58
TALHAR,TEHSIL,BADIN,URBAN,,48744,25104,23633,7,106.22,,,4.6,48685,.02
TANDO BAGO,TEHSIL,BADIN,OVERALL,1688,426535,221557,204965,13,108.1,252.69,16.43,4.7,399228,1.11
TANDO BAGO,TEHSIL,BADIN,RURAL,,356443,185480,170953,10,108.5,,,4.7,340828,.75
TANDO BAGO,TEHSIL,BADIN,URBAN,,70092,36077,34012,3,106.07,,,4.7,58400,3.1
DADU,DISTRICT,DADU,OVERALL,7866,1742320,883793,858441,86,102.95,221.5,25.2,5.1,1550390,1.97
DADU,DISTRICT,DADU,RURAL,,1303286,662867,640382,37,103.51,,,5,1166984,1.86
DADU,DISTRICT,DADU,URBAN,,439034,220926,218059,49,101.31,,,5.2,383406,2.29
DADU,TEHSIL,DADU,OVERALL,846,508607,257678,250907,22,102.7,601.1900000000001,39.52,5.2,461665,1.63
DADU,TEHSIL,DADU,RURAL,,307590,156218,151366,6,103.21,,,5.2,279085,1.64
DADU,TEHSIL,DADU,URBAN,,201017,101460,99541,16,101.93,,,5.4,182580,1.62
JOHI,TEHSIL,DADU,OVERALL,3509,333179,170008,163162,9,104.2,94.95,12.03,5,294389,2.09
JOHI,TEHSIL,DADU,RURAL,,293093,149667,143419,7,104.36,,,5,265358,1.68
JOHI,TEHSIL,DADU,URBAN,,40086,20341,19743,2,103.03,,,5.5,29031,5.54
KHAIRPUR NATHAN SHAH,TEHSIL,DADU,OVERALL,2583,379975,192043,187910,22,102.2,147.11,21.99,4.9,334477,2.15
KHAIRPUR NATHAN SHAH,TEHSIL,DADU,RURAL,,296429,150265,146148,16,102.82,,,4.9,262064,2.08
KHAIRPUR NATHAN SHAH,TEHSIL,DADU,URBAN,,83546,41778,41762,6,100.04,,,4.9,72413,2.42
MEHAR,TEHSIL,DADU,OVERALL,928,520559,264064,256462,33,102.96,560.95,21.97,5.1,459859,2.09
MEHAR,TEHSIL,DADU,RURAL,,406174,206717,199449,8,103.64,,,5.1,360477,2.01
MEHAR,TEHSIL,DADU,URBAN,,114385,57347,57013,25,100.59,,,5,99382,2.38
GHOTKI,DISTRICT,GHOTKI,OVERALL,6083,1772609,920328,852234,47,107.99,291.4,21.4,5.3,1648708,1.22
GHOTKI,DISTRICT,GHOTKI,RURAL,,1393227,723551,669653,23,108.05,,,5.3,1287887,1.32
GHOTKI,DISTRICT,GHOTKI,URBAN,,379382,196777,182581,24,107.78,,,5.4,360821,.84
DAHARKI,TEHSIL,GHOTKI,OVERALL,2088,335145,174433,160706,6,108.54,160.51,26.91,5.4,310709,1.27
