name_admin_unit,admin_units,part_of_district,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
AWARAN,SUB-DIVISION,AWARAN,URBAN,28780,14675,14101,4,21761,4.78297572,7.22,Urban Localities
MASHKAI,TEHSIL,AWARAN,URBAN,18056,9432,8623,1,12476,6.37289017,7.38,Urban Localities
BARKHAN,TEHSIL,BARKHAN,URBAN,14425,7398,7026,1,12201,2.83791207,9.81,Urban Localities
DALBANDIN,SUB-DIVISION,CHAGAI,URBAN,20054,10258,9796,,16265,3.56173697,7.79,Urban Localities
CHAMAN CITY,SUB-DIVISION,CHAMAN,URBAN,130139,71528,58610,1,123206,.91911905,6.81,Urban Localities
SUI,SUB-DIVISION,DERA BUGTI,URBAN,79567,42005,37561,1,72740,1.5105217,5.53,Urban Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,URBAN,28880,14924,13956,,27625,.74525998,5.32,Urban Localities
DUKI,SUB-DIVISION,DUKI,URBAN,9783,5281,4499,3,10042,-.43574215,3.27,Urban Localities
GWADAR,SUB-DIVISION,GWADAR,URBAN,70852,37578,33266,8,90201,-3.95481232,5.05,Urban Localities
JIWANI,TEHSIL,GWADAR,URBAN,25332,13918,11410,4,18268,5.61555095,8.94,Urban Localities
PASNI,SUB-DIVISION,GWADAR,URBAN,43494,22805,20684,5,34557,3.91888321,5.94,Urban Localities
ORMARA,TEHSIL,GWADAR,URBAN,16573,8562,8011,,15631,.98278067,5.19,Urban Localities
ORMARA,TEHSIL,GWADAR,URBAN,2784,1409,1375,,2122,4.64242315,6.46,Urban Localities
HARNAI,SUB-DIVISION,HARNAI,URBAN,14277,7157,7119,1,13303,1.18789585,6.74,Urban Localities
SHAHRIG,TEHSIL,HARNAI,URBAN,19156,11551,7605,,11259,9.28808738,8.039999999999999,Urban Localities
JHAT PAT,SUB-DIVISION,JAFFARABAD,URBAN,98761,50744,48015,2,80958,3.3777347,9.140000000000001,Urban Localities
USTA MUHAMMAD,SUB-DIVISION,JAFFARABAD,URBAN,64632,32207,32419,6,76753,-2.83169171,8.08,Urban Localities
GANDAWA,TEHSIL,JHAL MAGSI,URBAN,24130,11510,12618,2,7815,20.73360181,6.53,Urban Localities
MACH,SUB-DIVISION,KACHHI,URBAN,44542,23584,20952,6,19140,15.16098188,19.2,Urban Localities
BHAG,SUB-DIVISION,KACHHI,URBAN,18634,9128,9505,1,16600,1.95047202,5.41,Urban Localities
DHADAR,SUB-DIVISION,KACHHI,URBAN,17276,8536,8740,,15240,2.11774653,6.14,Urban Localities
KALAT,SUB-DIVISION,KALAT,URBAN,44440,22965,21474,1,36796,3.20474075,8.550000000000001,Urban Localities
TURBAT,SUB-DIVISION,KECH,URBAN,268625,142301,126301,23,213831,3.88619468,4.64,Urban Localities
BULAIDA,SUB-DIVISION,KECH,URBAN,68752,35953,32747,52,39846,9.54474278,4.5,Urban Localities
TUMP,SUB-DIVISION,KECH,URBAN,49269,27158,22109,2,48343,.31759654,3.12,Urban Localities
KHARAN,SUB-DIVISION,KHARAN,URBAN,80806,44352,36448,6,51388,7.85824658,7.33,Urban Localities
KHUZDAR,SUB-DIVISION,KHUZDAR,URBAN,218112,115851,102255,6,182444,3.02921347,7.09,Urban Localities
ZEHRI,SUB-DIVISION,KHUZDAR,URBAN,70910,39079,31831,,37788,11.09222629,9.26,Urban Localities
