name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
BALOCHISTAN,PROVINCE,,RURAL,OVERALL,6357,10282574,5379780,4902339,455,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,"5,000 AND ABOVE",375,4724898,2460982,2263755,161,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,"2,000 -- 4,999",764,2378348,1246384,1131845,119,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,"1,000 -- 1,999",1111,1560815,822698,738056,61,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,500 -- 999,1416,1031303,541738,489497,68,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,200 -- 499,1376,459917,241225,218652,40,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,LESS THAN 200,1265,127293,66753,60534,6,Rural Localities
BALOCHISTAN,PROVINCE,,RURAL,UN-INHABITED,50,,,,,Rural Localities
KALAT,DIVISION,,RURAL,OVERALL,2354,1857937,972974,884884,79,Rural Localities
KALAT,DIVISION,,RURAL,"5,000 AND ABOVE",29,209856,110019,99824,13,Rural Localities
KALAT,DIVISION,,RURAL,"2,000 -- 4,999",179,539693,283558,256111,24,Rural Localities
KALAT,DIVISION,,RURAL,"1,000 -- 1,999",350,485000,253172,231821,7,Rural Localities
KALAT,DIVISION,,RURAL,500 -- 999,495,357085,186808,170265,12,Rural Localities
KALAT,DIVISION,,RURAL,200 -- 499,607,201933,105701,96211,21,Rural Localities
KALAT,DIVISION,,RURAL,LESS THAN 200,673,64370,33716,30652,2,Rural Localities
KALAT,DIVISION,,RURAL,UN-INHABITED,21,,,,,Rural Localities
LORALAI,DIVISION,,RURAL,OVERALL,458,770386,404123,366192,71,Rural Localities
LORALAI,DIVISION,,RURAL,"5,000 AND ABOVE",27,312821,164366,148450,5,Rural Localities
LORALAI,DIVISION,,RURAL,"2,000 -- 4,999",62,182440,95812,86608,20,Rural Localities
LORALAI,DIVISION,,RURAL,"1,000 -- 1,999",106,149895,78552,71333,10,Rural Localities
LORALAI,DIVISION,,RURAL,500 -- 999,116,85590,44395,41170,25,Rural Localities
LORALAI,DIVISION,,RURAL,200 -- 499,100,34720,18441,16268,11,Rural Localities
LORALAI,DIVISION,,RURAL,LESS THAN 200,45,4920,2557,2363,,Rural Localities
LORALAI,DIVISION,,RURAL,UN-INHABITED,2,,,,,Rural Localities
MEKRAN,DIVISION,,RURAL,OVERALL,472,1172498,610841,561565,92,Rural Localities
MEKRAN,DIVISION,,RURAL,"5,000 AND ABOVE",55,599736,311764,287927,45,Rural Localities
MEKRAN,DIVISION,,RURAL,"2,000 -- 4,999",113,355876,183220,172627,29,Rural Localities
MEKRAN,DIVISION,,RURAL,"1,000 -- 1,999",91,127211,68124,59077,10,Rural Localities
MEKRAN,DIVISION,,RURAL,500 -- 999,86,64585,34653,29926,6,Rural Localities
MEKRAN,DIVISION,,RURAL,200 -- 499,60,20490,10683,9805,2,Rural Localities
MEKRAN,DIVISION,,RURAL,LESS THAN 200,50,4600,2397,2203,,Rural Localities
MEKRAN,DIVISION,,RURAL,UN-INHABITED,17,,,,,Rural Localities
NASIRABAD,DIVISION,,RURAL,OVERALL,906,1654366,851516,802791,59,Rural Localities
NASIRABAD,DIVISION,,RURAL,"5,000 AND ABOVE",71,711922,365668,346230,24,Rural Localities
NASIRABAD,DIVISION,,RURAL,"2,000 -- 4,999",145,463547,239653,223876,18,Rural Localities
NASIRABAD,DIVISION,,RURAL,"1,000 -- 1,999",178,257150,132585,124556,9,Rural Localities
NASIRABAD,DIVISION,,RURAL,500 -- 999,203,147305,75362,71936,7,Rural Localities
NASIRABAD,DIVISION,,RURAL,200 -- 499,176,60885,31269,29616,,Rural Localities
NASIRABAD,DIVISION,,RURAL,LESS THAN 200,131,13557,6979,6577,1,Rural Localities
NASIRABAD,DIVISION,,RURAL,UN-INHABITED,2,,,,,Rural Localities
QUETTA,DIVISION,,RURAL,OVERALL,545,2284309,1187882,1096357,70,Rural Localities
QUETTA,DIVISION,,RURAL,"5,000 AND ABOVE",92,1899092,985241,913796,55,Rural Localities
QUETTA,DIVISION,,RURAL,"2,000 -- 4,999",55,184054,96456,87595,3,Rural Localities
QUETTA,DIVISION,,RURAL,"1,000 -- 1,999",63,94091,49748,44339,4,Rural Localities
QUETTA,DIVISION,,RURAL,500 -- 999,84,59328,31288,28037,3,Rural Localities
QUETTA,DIVISION,,RURAL,200 -- 499,109,34022,17879,16138,5,Rural Localities
QUETTA,DIVISION,,RURAL,LESS THAN 200,141,13722,7270,6452,,Rural Localities
QUETTA,DIVISION,,RURAL,UN-INHABITED,1,,,,,Rural Localities
RAKHSHAN,DIVISION,,RURAL,OVERALL,469,849462,449693,399730,39,Rural Localities
RAKHSHAN,DIVISION,,RURAL,"5,000 AND ABOVE",34,378965,198989,179967,9,Rural Localities
RAKHSHAN,DIVISION,,RURAL,"2,000 -- 4,999",78,233105,124280,108811,14,Rural Localities
RAKHSHAN,DIVISION,,RURAL,"1,000 -- 1,999",87,117434,62513,54913,8,Rural Localities
RAKHSHAN,DIVISION,,RURAL,500 -- 999,113,82869,43968,38895,6,Rural Localities
RAKHSHAN,DIVISION,,RURAL,200 -- 499,90,29604,15968,13635,1,Rural Localities
RAKHSHAN,DIVISION,,RURAL,LESS THAN 200,63,7485,3975,3509,1,Rural Localities
RAKHSHAN,DIVISION,,RURAL,UN-INHABITED,4,,,,,Rural Localities
SIBI,DIVISION,,RURAL,OVERALL,727,877188,464197,412958,33,Rural Localities
SIBI,DIVISION,,RURAL,"5,000 AND ABOVE",32,246286,127786,118495,5,Rural Localities
SIBI,DIVISION,,RURAL,"2,000 -- 4,999",66,208330,110271,98053,6,Rural Localities
SIBI,DIVISION,,RURAL,"1,000 -- 1,999",144,197808,106466,91331,11,Rural Localities
SIBI,DIVISION,,RURAL,500 -- 999,224,163742,87652,76081,9,Rural Localities
SIBI,DIVISION,,RURAL,200 -- 499,148,48738,25577,23161,,Rural Localities
SIBI,DIVISION,,RURAL,LESS THAN 200,112,12284,6445,5837,2,Rural Localities
SIBI,DIVISION,,RURAL,UN-INHABITED,1,,,,,Rural Localities
ZHOB,DIVISION,,RURAL,OVERALL,426,816428,438554,377862,12,Rural Localities
ZHOB,DIVISION,,RURAL,"5,000 AND ABOVE",35,366220,197149,169066,5,Rural Localities
ZHOB,DIVISION,,RURAL,"2,000 -- 4,999",66,211303,113134,98164,5,Rural Localities
ZHOB,DIVISION,,RURAL,"1,000 -- 1,999",92,132226,71538,60686,2,Rural Localities
ZHOB,DIVISION,,RURAL,500 -- 999,95,70799,37612,33187,,Rural Localities
ZHOB,DIVISION,,RURAL,200 -- 499,86,29525,15707,13818,,Rural Localities
ZHOB,DIVISION,,RURAL,LESS THAN 200,50,6355,3414,2941,,Rural Localities
ZHOB,DIVISION,,RURAL,UN-INHABITED,2,,,,,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,OVERALL,163,132122,67516,64594,12,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,"5,000 AND ABOVE",1,5894,2996,2898,,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,"2,000 -- 4,999",12,32350,16246,16103,1,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,"1,000 -- 1,999",33,46135,23515,22618,2,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,500 -- 999,41,28157,14483,13671,3,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,200 -- 499,48,16979,8905,8068,6,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,LESS THAN 200,23,2607,1371,1236,,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,UN-INHABITED,5,,,,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,OVERALL,11,16994,8513,8481,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,"5,000 AND ABOVE",1,5894,2996,2898,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,"2,000 -- 4,999",2,6658,3264,3394,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,"1,000 -- 1,999",1,1587,803,784,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,500 -- 999,3,2110,1056,1054,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,200 -- 499,1,239,116,123,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,LESS THAN 200,3,506,278,228,,Rural Localities
AWARAN,SUB-DIVISION,AWARAN,RURAL,UN-INHABITED,,,,,,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,OVERALL,50,31462,16104,15355,3,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,"2,000 -- 4,999",5,13716,6950,6766,,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,"1,000 -- 1,999",4,5877,2954,2923,,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,500 -- 999,7,5009,2606,2403,,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,200 -- 499,17,5608,2953,2652,3,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,LESS THAN 200,13,1252,641,611,,Rural Localities
GISHKORE,TEHSIL,AWARAN,RURAL,UN-INHABITED,4,,,,,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,OVERALL,25,28132,14420,13709,3,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,"2,000 -- 4,999",2,4568,2278,2289,1,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,"1,000 -- 1,999",9,13889,7203,6686,,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,500 -- 999,12,8875,4547,4326,2,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,200 -- 499,2,800,392,408,,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,LESS THAN 200,,,,,,Rural Localities
JHAL JAO,TEHSIL,AWARAN,RURAL,UN-INHABITED,,,,,,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,OVERALL,34,27652,14237,13414,1,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,"2,000 -- 4,999",2,4923,2521,2402,,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,"1,000 -- 1,999",9,10890,5560,5329,1,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,500 -- 999,11,6872,3530,3342,,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,200 -- 499,12,4967,2626,2341,,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,LESS THAN 200,,,,,,Rural Localities
KORAK JHAO,TEHSIL,AWARAN,RURAL,UN-INHABITED,,,,,,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,OVERALL,43,27882,14242,13635,5,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,"2,000 -- 4,999",1,2485,1233,1252,,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,"1,000 -- 1,999",10,13892,6995,6896,1,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,500 -- 999,8,5291,2744,2546,1,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,200 -- 499,16,5365,2818,2544,3,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,LESS THAN 200,7,849,452,397,,Rural Localities
MASHKAI,TEHSIL,AWARAN,RURAL,UN-INHABITED,1,,,,,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,OVERALL,131,195824,102226,93591,7,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,"5,000 AND ABOVE",5,42829,22201,20627,1,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,"2,000 -- 4,999",17,50920,25928,24991,1,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,"1,000 -- 1,999",42,57779,30636,27140,3,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,500 -- 999,49,37926,20097,17829,,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,200 -- 499,17,6370,3364,3004,2,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,LESS THAN 200,,,,,,Rural Localities
