name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,OVERALL,9821,34724801,17685692,17038648,461,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,"5,000 AND ABOVE",1818,23795646,12155621,11639701,324,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,"2,000 -- 4,999",1952,6207646,3147365,3060209,72,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,"1,000 -- 1,999",1988,2853797,1438813,1414940,44,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,500 -- 999,1792,1308049,659917,648115,17,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,200 -- 499,1366,477614,242046,235564,4,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,LESS THAN 200,758,82049,41930,40119,,Rural Localities
KHYBER PAKHTUNKHWA,PROVINCE,,RURAL,UN-INHABITED,147,,,,,Rural Localities
BANNU,DIVISION,,RURAL,OVERALL,765,2936460,1507311,1429111,38,Rural Localities
BANNU,DIVISION,,RURAL,"5,000 AND ABOVE",191,2211603,1136354,1075215,34,Rural Localities
BANNU,DIVISION,,RURAL,"2,000 -- 4,999",160,500916,255524,245389,3,Rural Localities
BANNU,DIVISION,,RURAL,"1,000 -- 1,999",92,136542,70310,66231,1,Rural Localities
BANNU,DIVISION,,RURAL,500 -- 999,69,50681,26111,24570,,Rural Localities
BANNU,DIVISION,,RURAL,200 -- 499,85,27428,14125,13303,,Rural Localities
BANNU,DIVISION,,RURAL,LESS THAN 200,104,9290,4887,4403,,Rural Localities
BANNU,DIVISION,,RURAL,UN-INHABITED,64,,,,,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,OVERALL,980,2764850,1437413,1327409,28,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,"5,000 AND ABOVE",149,1582482,823199,759271,12,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,"2,000 -- 4,999",213,670303,348244,322049,10,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,"1,000 -- 1,999",233,328826,170806,158018,2,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,500 -- 999,187,138984,72031,66949,4,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,200 -- 499,113,38987,20262,18725,,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,LESS THAN 200,64,5268,2871,2397,,Rural Localities
DERA ISMAIL KHAN,DIVISION,,RURAL,UN-INHABITED,21,,,,,Rural Localities
HAZARA,DIVISION,,RURAL,OVERALL,2817,5553822,2810319,2743391,112,Rural Localities
HAZARA,DIVISION,,RURAL,"5,000 AND ABOVE",272,2723574,1380062,1343437,75,Rural Localities
HAZARA,DIVISION,,RURAL,"2,000 -- 4,999",452,1435570,723834,711716,20,Rural Localities
HAZARA,DIVISION,,RURAL,"1,000 -- 1,999",520,733597,369563,364025,9,Rural Localities
HAZARA,DIVISION,,RURAL,500 -- 999,576,415470,211905,203558,7,Rural Localities
HAZARA,DIVISION,,RURAL,200 -- 499,589,203338,103579,99758,1,Rural Localities
HAZARA,DIVISION,,RURAL,LESS THAN 200,382,42273,21376,20897,,Rural Localities
HAZARA,DIVISION,,RURAL,UN-INHABITED,26,,,,,Rural Localities
KOHAT,DIVISION,,RURAL,OVERALL,700,3284432,1680583,1603804,45,Rural Localities
KOHAT,DIVISION,,RURAL,"5,000 AND ABOVE",182,2390252,1220890,1169335,27,Rural Localities
KOHAT,DIVISION,,RURAL,"2,000 -- 4,999",181,582873,299175,283690,8,Rural Localities
KOHAT,DIVISION,,RURAL,"1,000 -- 1,999",157,231776,119617,112150,9,Rural Localities
KOHAT,DIVISION,,RURAL,500 -- 999,74,56209,28842,27367,,Rural Localities
KOHAT,DIVISION,,RURAL,200 -- 499,62,20937,10785,10151,1,Rural Localities
KOHAT,DIVISION,,RURAL,LESS THAN 200,33,2385,1274,1111,,Rural Localities
KOHAT,DIVISION,,RURAL,UN-INHABITED,11,,,,,Rural Localities
