name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
PUNJAB,PROVINCE,,RURAL,OVERALL,24700,75712955,38625841,37083868,3246,Rural Localities
PUNJAB,PROVINCE,,RURAL,"5,000 AND ABOVE",4348,40637166,20760889,19874021,2256,Rural Localities
PUNJAB,PROVINCE,,RURAL,"2,000 -- 4,999",7386,23964437,12203845,11759831,761,Rural Localities
PUNJAB,PROVINCE,,RURAL,"1,000 -- 1,999",5319,7810520,3969750,3840614,156,Rural Localities
PUNJAB,PROVINCE,,RURAL,500 -- 999,3348,2503449,1277351,1226054,44,Rural Localities
PUNJAB,PROVINCE,,RURAL,200 -- 499,1883,662747,341788,320933,26,Rural Localities
PUNJAB,PROVINCE,,RURAL,LESS THAN 200,1657,134636,72218,62415,3,Rural Localities
PUNJAB,PROVINCE,,RURAL,UN-INHABITED,759,,,,,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,OVERALL,3739,9464318,4893744,4570141,433,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,"5,000 AND ABOVE",573,4631864,2393840,2237743,281,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,"2,000 -- 4,999",1017,3235299,1670403,1564771,125,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,"1,000 -- 1,999",796,1196904,618935,577944,25,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,500 -- 999,399,300810,157446,143362,2,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,200 -- 499,222,76392,40302,36090,,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,LESS THAN 200,371,23049,12818,10231,,Rural Localities
BAHAWALPUR,DIVISION,,RURAL,UN-INHABITED,361,,,,,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,OVERALL,2935,10120754,5148737,4971863,154,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,"5,000 AND ABOVE",620,6638585,3371270,3267213,102,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,"2,000 -- 4,999",660,2076076,1057050,1018994,32,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,"1,000 -- 1,999",674,979615,500563,479036,16,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,500 -- 999,410,304654,156581,148071,2,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,200 -- 499,290,98115,50815,47299,1,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,LESS THAN 200,250,23709,12458,11250,1,Rural Localities
DERA GHAZI KHAN,DIVISION,,RURAL,UN-INHABITED,31,,,,,Rural Localities
FAISALABAD,DIVISION,,RURAL,OVERALL,2360,9979424,5161072,4817841,511,Rural Localities
FAISALABAD,DIVISION,,RURAL,"5,000 AND ABOVE",657,5855873,3035664,2819826,383,Rural Localities
FAISALABAD,DIVISION,,RURAL,"2,000 -- 4,999",1012,3496847,1802480,1694253,114,Rural Localities
FAISALABAD,DIVISION,,RURAL,"1,000 -- 1,999",305,453993,233568,220412,13,Rural Localities
FAISALABAD,DIVISION,,RURAL,500 -- 999,165,121118,62284,58833,1,Rural Localities
FAISALABAD,DIVISION,,RURAL,200 -- 499,125,43402,22724,20678,,Rural Localities
FAISALABAD,DIVISION,,RURAL,LESS THAN 200,83,8191,4352,3839,,Rural Localities
FAISALABAD,DIVISION,,RURAL,UN-INHABITED,13,,,,,Rural Localities
GUJRANWALA,DIVISION,,RURAL,OVERALL,5324,11179049,5625376,5553130,543,Rural Localities
GUJRANWALA,DIVISION,,RURAL,"5,000 AND ABOVE",459,4169730,2100813,2068597,320,Rural Localities
GUJRANWALA,DIVISION,,RURAL,"2,000 -- 4,999",1211,3717120,1866683,1850280,157,Rural Localities
GUJRANWALA,DIVISION,,RURAL,"1,000 -- 1,999",1565,2268640,1140170,1128421,49,Rural Localities
GUJRANWALA,DIVISION,,RURAL,500 -- 999,1087,823482,415407,408067,8,Rural Localities
GUJRANWALA,DIVISION,,RURAL,200 -- 499,486,177459,90354,87098,7,Rural Localities
GUJRANWALA,DIVISION,,RURAL,LESS THAN 200,289,22618,11949,10667,2,Rural Localities
GUJRANWALA,DIVISION,,RURAL,UN-INHABITED,227,,,,,Rural Localities
LAHORE,DIVISION,,RURAL,OVERALL,1685,6650512,3410473,3239512,527,Rural Localities
LAHORE,DIVISION,,RURAL,"5,000 AND ABOVE",397,4479901,2298659,2180775,467,Rural Localities
LAHORE,DIVISION,,RURAL,"2,000 -- 4,999",463,1535807,784923,750835,49,Rural Localities
LAHORE,DIVISION,,RURAL,"1,000 -- 1,999",287,418097,213907,204185,5,Rural Localities
LAHORE,DIVISION,,RURAL,500 -- 999,209,157436,81623,75810,3,Rural Localities
LAHORE,DIVISION,,RURAL,200 -- 499,134,46426,24246,22177,3,Rural Localities
LAHORE,DIVISION,,RURAL,LESS THAN 200,168,12845,7115,5730,,Rural Localities
