name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
SINDH,PROVINCE,,RURAL,OVERALL,5690,25639408,13245373,12393405,630,Rural Localities
SINDH,PROVINCE,,RURAL,"5,000 AND ABOVE",1756,16274570,8407404,7866736,430,Rural Localities
SINDH,PROVINCE,,RURAL,"2,000 -- 4,999",2292,7634122,3937923,3696035,164,Rural Localities
SINDH,PROVINCE,,RURAL,"1,000 -- 1,999",902,1367151,710128,656996,27,Rural Localities
SINDH,PROVINCE,,RURAL,500 -- 999,369,287763,149889,137868,6,Rural Localities
SINDH,PROVINCE,,RURAL,200 -- 499,175,63271,33275,29994,2,Rural Localities
SINDH,PROVINCE,,RURAL,LESS THAN 200,127,12531,6754,5776,1,Rural Localities
SINDH,PROVINCE,,RURAL,UN-INHABITED,69,,,,,Rural Localities
HYDERABAD,DIVISION,,RURAL,OVERALL,2038,7313210,3772762,3540293,155,Rural Localities
HYDERABAD,DIVISION,,RURAL,"5,000 AND ABOVE",467,3848780,1977674,1871025,81,Rural Localities
HYDERABAD,DIVISION,,RURAL,"2,000 -- 4,999",845,2773526,1434667,1338795,64,Rural Localities
HYDERABAD,DIVISION,,RURAL,"1,000 -- 1,999",353,531964,277609,254348,7,Rural Localities
HYDERABAD,DIVISION,,RURAL,500 -- 999,152,118344,61540,56803,1,Rural Localities
HYDERABAD,DIVISION,,RURAL,200 -- 499,97,34255,17859,16395,1,Rural Localities
HYDERABAD,DIVISION,,RURAL,LESS THAN 200,60,6341,3413,2927,1,Rural Localities
HYDERABAD,DIVISION,,RURAL,UN-INHABITED,64,,,,,Rural Localities
KARACHI,DIVISION,,RURAL,OVERALL,63,1514860,806730,708009,121,Rural Localities
KARACHI,DIVISION,,RURAL,"5,000 AND ABOVE",32,1460892,777739,683033,120,Rural Localities
KARACHI,DIVISION,,RURAL,"2,000 -- 4,999",11,36376,19715,16660,1,Rural Localities
KARACHI,DIVISION,,RURAL,"1,000 -- 1,999",8,11304,5923,5381,,Rural Localities
KARACHI,DIVISION,,RURAL,500 -- 999,6,4795,2530,2265,,Rural Localities
KARACHI,DIVISION,,RURAL,200 -- 499,3,1185,643,542,,Rural Localities
KARACHI,DIVISION,,RURAL,LESS THAN 200,3,308,180,128,,Rural Localities
KARACHI,DIVISION,,RURAL,UN-INHABITED,,,,,,Rural Localities
LARKANA,DIVISION,,RURAL,OVERALL,1041,4921253,2533566,2387566,121,Rural Localities
LARKANA,DIVISION,,RURAL,"5,000 AND ABOVE",386,3170483,1638078,1532338,67,Rural Localities
LARKANA,DIVISION,,RURAL,"2,000 -- 4,999",430,1478331,755270,723019,42,Rural Localities
LARKANA,DIVISION,,RURAL,"1,000 -- 1,999",146,221890,114238,107642,10,Rural Localities
LARKANA,DIVISION,,RURAL,500 -- 999,53,43171,22203,20966,2,Rural Localities
LARKANA,DIVISION,,RURAL,200 -- 499,14,5841,2972,2869,,Rural Localities
LARKANA,DIVISION,,RURAL,LESS THAN 200,12,1537,805,732,,Rural Localities
LARKANA,DIVISION,,RURAL,UN-INHABITED,,,,,,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,OVERALL,800,3724185,1948517,1775603,65,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,"5,000 AND ABOVE",229,2333724,1221346,1112338,40,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,"2,000 -- 4,999",341,1086993,568212,518764,17,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,"1,000 -- 1,999",170,261683,136812,124864,7,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,500 -- 999,50,39249,20752,18496,1,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,200 -- 499,5,1921,1053,868,,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,LESS THAN 200,4,615,342,273,,Rural Localities
MIRPUR KHAS,DIVISION,,RURAL,UN-INHABITED,1,,,,,Rural Localities
SHAHEED BENAZIRABAD,DIVISION,,RURAL,OVERALL,859,4194503,2132628,2061790,85,Rural Localities
SHAHEED BENAZIRABAD,DIVISION,,RURAL,"5,000 AND ABOVE",319,2822082,1433417,1388603,62,Rural Localities
SHAHEED BENAZIRABAD,DIVISION,,RURAL,"2,000 -- 4,999",344,1145175,583159,561997,19,Rural Localities
SHAHEED BENAZIRABAD,DIVISION,,RURAL,"1,000 -- 1,999",117,180575,91874,88698,3,Rural Localities
SHAHEED BENAZIRABAD,DIVISION,,RURAL,500 -- 999,50,39298,20227,19070,1,Rural Localities
SHAHEED BENAZIRABAD,DIVISION,,RURAL,200 -- 499,21,6610,3533,3077,,Rural Localities
