district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
AWARAN,ALL AGES,178958,91623,87318,17,132122,67516,64594,12,46836,24107,22724,5
AWARAN,BELOW 1,3399,1810,1589,,2362,1251,1111,,1037,559,478,
AWARAN,01,5938,2982,2956,,4376,2209,2167,,1562,773,789,
AWARAN,02,7223,3677,3546,,5461,2757,2704,,1762,920,842,
AWARAN,03,6884,3446,3438,,4938,2436,2502,,1946,1010,936,
AWARAN,04,8037,4103,3934,,6034,3073,2961,,2003,1030,973,
AWARAN,05,6445,3260,3185,,4768,2411,2357,,1677,849,828,
AWARAN,06,6880,3437,3443,,5328,2646,2682,,1552,791,761,
AWARAN,07,6003,3087,2916,,4372,2249,2123,,1631,838,793,
AWARAN,08,7339,3535,3804,,5653,2690,2963,,1686,845,841,
AWARAN,09,4401,2487,1914,,3281,1857,1424,,1120,630,490,
AWARAN,10,6395,3244,3151,,4881,2470,2411,,1514,774,740,
AWARAN,11,4744,2488,2256,,3509,1817,1692,,1235,671,564,
AWARAN,12,5762,2996,2766,,4385,2290,2095,,1377,706,671,
AWARAN,13,4231,2158,2073,,3113,1635,1478,,1118,523,595,
AWARAN,14,4638,2336,2300,2,3414,1744,1670,,1224,592,630,2
AWARAN,15,4189,2168,2021,,2999,1562,1437,,1190,606,584,
AWARAN,16,3720,1945,1773,2,2762,1435,1326,1,958,510,447,1
AWARAN,17,3735,1844,1889,2,2695,1355,1339,1,1040,489,550,1
AWARAN,18,3341,1761,1580,,2452,1259,1193,,889,502,387,
AWARAN,19,2861,1573,1288,,1965,1037,928,,896,536,360,
AWARAN,20,3168,1653,1514,1,2245,1137,1108,,923,516,406,1
AWARAN,21,2574,1327,1247,,1835,934,901,,739,393,346,
AWARAN,22,2814,1370,1444,,2049,991,1058,,765,379,386,
AWARAN,23,2364,1206,1158,,1680,841,839,,684,365,319,
AWARAN,24,2596,1254,1342,,1967,933,1034,,629,321,308,
AWARAN,25,2659,1265,1392,2,1977,973,1002,2,682,292,390,
AWARAN,26,2524,1232,1292,,1840,905,935,,684,327,357,
AWARAN,27,2324,1205,1117,2,1723,923,798,2,601,282,319,
AWARAN,28,2640,1387,1253,,1915,998,917,,725,389,336,
AWARAN,29,2060,1133,926,1,1473,811,661,1,587,322,265,
AWARAN,30,2030,1104,924,2,1489,808,679,2,541,296,245,
AWARAN,31,1631,742,889,,1149,517,632,,482,225,257,
AWARAN,32,1731,824,905,2,1312,619,691,2,419,205,214,
AWARAN,33,2182,1012,1170,,1530,701,829,,652,311,341,
AWARAN,34,1970,934,1036,,1384,642,742,,586,292,294,
AWARAN,35,1794,954,840,,1351,723,628,,443,231,212,
AWARAN,36,2209,1129,1080,,1637,830,807,,572,299,273,
AWARAN,37,1991,976,1015,,1496,746,750,,495,230,265,
AWARAN,38,2095,999,1096,,1548,752,796,,547,247,300,
AWARAN,39,1721,828,893,,1250,598,652,,471,230,241,
AWARAN,40,1652,862,790,,1264,648,616,,388,214,174,
AWARAN,41,1585,802,783,,1110,558,552,,475,244,231,
AWARAN,42,1488,724,763,1,1119,536,582,1,369,188,181,
AWARAN,43,1762,837,925,,1216,605,611,,546,232,314,
AWARAN,44,1309,688,621,,960,504,456,,349,184,165,
AWARAN,45,1124,605,519,,870,456,414,,254,149,105,
AWARAN,46,816,421,395,,614,308,306,,202,113,89,
AWARAN,47,1045,544,501,,772,406,366,,273,138,135,
AWARAN,48,1291,695,596,,975,529,446,,316,166,150,
AWARAN,49,929,490,439,,701,368,333,,228,122,106,
AWARAN,50,1080,587,493,,840,462,378,,240,125,115,
AWARAN,51,931,470,461,,699,359,340,,232,111,121,
AWARAN,52,900,495,405,,706,392,314,,194,103,91,
AWARAN,53,957,459,498,,695,339,356,,262,120,142,
AWARAN,54,762,404,358,,558,287,271,,204,117,87,
AWARAN,55,786,401,385,,610,309,301,,176,92,84,
AWARAN,56,674,346,328,,483,253,230,,191,93,98,
AWARAN,57,597,333,264,,461,264,197,,136,69,67,
AWARAN,58,695,371,324,,508,264,244,,187,107,80,
AWARAN,59,513,327,186,,370,237,133,,143,90,53,
AWARAN,60,767,442,325,,601,348,253,,166,94,72,
AWARAN,61,380,257,123,,277,191,86,,103,66,37,
AWARAN,62,412,244,168,,320,190,130,,92,54,38,
AWARAN,63,507,282,225,,370,206,164,,137,76,61,
AWARAN,64,434,250,184,,323,186,137,,111,64,47,
AWARAN,65,569,328,241,,451,257,194,,118,71,47,
AWARAN,66,370,200,170,,240,130,110,,130,70,60,
AWARAN,67,285,158,127,,212,114,98,,73,44,29,
AWARAN,68,299,147,152,,217,112,105,,82,35,47,
AWARAN,69,247,145,102,,168,99,69,,79,46,33,
AWARAN,70,488,266,222,,373,201,172,,115,65,50,
AWARAN,71,230,122,108,,143,77,66,,87,45,42,
AWARAN,72,215,130,85,,165,101,64,,50,29,21,
AWARAN,73,203,92,111,,148,70,78,,55,22,33,
AWARAN,74,191,112,79,,125,75,50,,66,37,29,
AWARAN,75 & ABOVE,1223,716,507,,860,510,350,,363,206,157,
BARKHAN,ALL AGES,210249,109624,100617,8,195824,102226,93591,7,14425,7398,7026,1
BARKHAN,BELOW 1,6341,3210,3131,,6017,3053,2964,,324,157,167,
BARKHAN,01,6771,3412,3359,,6282,3172,3110,,489,240,249,
BARKHAN,02,9642,5000,4642,,9139,4732,4407,,503,268,235,
BARKHAN,03,9179,4783,4396,,8595,4485,4110,,584,298,286,
BARKHAN,04,11793,6248,5545,,11210,5949,5261,,583,299,284,
BARKHAN,05,8275,4332,3943,,7717,4035,3682,,558,297,261,
BARKHAN,06,10032,5099,4933,,9537,4852,4685,,495,247,248,
BARKHAN,07,7594,4031,3563,,7058,3752,3306,,536,279,257,
BARKHAN,08,9115,4570,4545,,8663,4347,4316,,452,223,229,
BARKHAN,09,6048,3584,2464,,5654,3367,2287,,394,217,177,
BARKHAN,10,7436,3887,3549,,7083,3714,3369,,353,173,180,
BARKHAN,11,5752,3129,2623,,5391,2928,2463,,361,201,160,
BARKHAN,12,6801,3691,3110,,6393,3473,2920,,408,218,190,
BARKHAN,13,4789,2619,2170,,4410,2408,2002,,379,211,168,
BARKHAN,14,5335,2927,2406,2,4986,2726,2258,2,349,201,148,
BARKHAN,15,4178,2275,1901,2,3761,2025,1734,2,417,250,167,
BARKHAN,16,4461,2467,1994,,4142,2289,1853,,319,178,141,
BARKHAN,17,3024,1672,1351,1,2748,1537,1210,1,276,135,141,
BARKHAN,18,3846,2127,1719,,3587,1993,1594,,259,134,125,
BARKHAN,19,3003,1637,1366,,2761,1505,1256,,242,132,110,
BARKHAN,20,3026,1633,1392,1,2794,1525,1268,1,232,108,124,
BARKHAN,21,2646,1359,1287,,2403,1241,1162,,243,118,125,
BARKHAN,22,3328,1628,1700,,3106,1526,1580,,222,102,120,
BARKHAN,23,2898,1387,1511,,2670,1294,1376,,228,93,135,
BARKHAN,24,2852,1499,1353,,2596,1358,1238,,256,141,115,
BARKHAN,25,2374,1221,1153,,2190,1135,1055,,184,86,98,
BARKHAN,26,2462,1261,1201,,2226,1137,1089,,236,124,112,
