district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ISLAMABAD,ALL AGES,2283244,1209000,1073974,270,1240244,649029,591165,50,1043000,559971,482809,220
ISLAMABAD,BELOW 1,28189,14562,13627,,16730,8614,8116,,11459,5948,5511,
ISLAMABAD,01,45268,23486,21782,,25787,13333,12454,,19481,10153,9328,
ISLAMABAD,02,51710,26835,24875,,29206,15109,14097,,22504,11726,10778,
ISLAMABAD,03,55142,28143,26999,,30847,15714,15133,,24295,12429,11866,
ISLAMABAD,04,57173,29766,27407,,31604,16413,15191,,25569,13353,12216,
ISLAMABAD,05,50270,26065,24205,,27709,14335,13374,,22561,11730,10831,
ISLAMABAD,06,50072,25605,24467,,27531,13974,13557,,22541,11631,10910,
ISLAMABAD,07,50736,26341,24395,,27921,14368,13553,,22815,11973,10842,
ISLAMABAD,08,50271,26196,24075,,27248,14083,13165,,23023,12113,10910,
ISLAMABAD,09,47413,24748,22665,,25922,13276,12646,,21491,11472,10019,
ISLAMABAD,10,50897,26902,23995,,27643,14540,13103,,23254,12362,10892,
ISLAMABAD,11,49322,26222,23100,,26809,14007,12802,,22513,12215,10298,
ISLAMABAD,12,50842,27321,23521,,27432,14470,12962,,23410,12851,10559,
ISLAMABAD,13,49674,26437,23237,,26763,13976,12787,,22911,12461,10450,
ISLAMABAD,14,50142,27185,22952,5,26872,14341,12530,1,23270,12844,10422,4
ISLAMABAD,15,46434,25106,21326,2,24817,13212,11604,1,21617,11894,9722,1
ISLAMABAD,16,45630,24793,20835,2,24449,13223,11226,,21181,11570,9609,2
ISLAMABAD,17,43797,24331,19460,6,23403,12849,10551,3,20394,11482,8909,3
ISLAMABAD,18,43989,23876,20110,3,23441,12562,10879,,20548,11314,9231,3
ISLAMABAD,19,40956,22300,18654,2,21815,11641,10174,,19141,10659,8480,2
ISLAMABAD,20,42588,22564,20023,1,22286,11722,10564,,20302,10842,9459,1
ISLAMABAD,21,39526,21268,18254,4,20848,11062,9784,2,18678,10206,8470,2
ISLAMABAD,22,40978,21935,19038,5,21689,11364,10322,3,19289,10571,8716,2
ISLAMABAD,23,39407,20900,18505,2,20931,10813,10116,2,18476,10087,8389,
ISLAMABAD,24,39304,20969,18328,7,21032,10939,10093,,18272,10030,8235,7
ISLAMABAD,25,39810,20921,18876,13,21128,10829,10297,2,18682,10092,8579,11
ISLAMABAD,26,40296,21100,19192,4,21879,11181,10697,1,18417,9919,8495,3
ISLAMABAD,27,37508,19203,18301,4,20600,10246,10354,,16908,8957,7947,4
