district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ABBOTTABAD,ALL AGES,1397587,701906,695577,104,1086688,544434,542231,23,310899,157472,153346,81
ABBOTTABAD,BELOW 1,23099,11589,11510,,18420,9261,9159,,4679,2328,2351,
ABBOTTABAD,01,31371,15647,15724,,25114,12489,12625,,6257,3158,3099,
ABBOTTABAD,02,35061,17838,17223,,27935,14254,13681,,7126,3584,3542,
ABBOTTABAD,03,38281,19088,19193,,30324,15104,15220,,7957,3984,3973,
ABBOTTABAD,04,38793,19602,19191,,30691,15527,15164,,8102,4075,4027,
ABBOTTABAD,05,34413,17369,17044,,27538,13872,13666,,6875,3497,3378,
ABBOTTABAD,06,33753,17077,16676,,26734,13502,13232,,7019,3575,3444,
ABBOTTABAD,07,36270,18031,18239,,28573,14145,14428,,7697,3886,3811,
ABBOTTABAD,08,30721,15482,15239,,24093,12102,11991,,6628,3380,3248,
ABBOTTABAD,09,32512,16321,16191,,25505,12840,12665,,7007,3481,3526,
ABBOTTABAD,10,29841,15117,14724,,23214,11698,11516,,6627,3419,3208,
ABBOTTABAD,11,34570,17202,17368,,26784,13216,13568,,7786,3986,3800,
ABBOTTABAD,12,32231,16468,15763,,24880,12638,12242,,7351,3830,3521,
ABBOTTABAD,13,31859,15898,15961,,24729,12282,12447,,7130,3616,3514,
ABBOTTABAD,14,31131,15733,15397,1,24112,12122,11989,1,7019,3611,3408,
ABBOTTABAD,15,27838,14137,13699,2,21410,10835,10575,,6428,3302,3124,2
ABBOTTABAD,16,29098,14696,14402,,22384,11187,11197,,6714,3509,3205,
ABBOTTABAD,17,28819,14559,14258,2,22099,11116,10982,1,6720,3443,3276,1
ABBOTTABAD,18,25309,12832,12475,2,19548,9840,9707,1,5761,2992,2768,1
ABBOTTABAD,19,26932,13531,13399,2,20552,10306,10246,,6380,3225,3153,2
ABBOTTABAD,20,22316,11593,10718,5,17027,8863,8163,1,5289,2730,2555,4
ABBOTTABAD,21,25270,12964,12301,5,18965,9744,9221,,6305,3220,3080,5
ABBOTTABAD,22,24983,12454,12524,5,19026,9517,9508,1,5957,2937,3016,4
ABBOTTABAD,23,22975,11242,11727,6,17494,8494,9000,,5481,2748,2727,6
ABBOTTABAD,24,23586,11646,11935,5,18257,9050,9206,1,5329,2596,2729,4
ABBOTTABAD,25,18995,9606,9383,6,14918,7563,7355,,4077,2043,2028,6
ABBOTTABAD,26,24070,11523,12546,1,18675,8989,9686,,5395,2534,2860,1
ABBOTTABAD,27,21708,10396,11312,,16881,8064,8817,,4827,2332,2495,
ABBOTTABAD,28,21429,10199,11224,6,16693,8015,8677,1,4736,2184,2547,5
ABBOTTABAD,29,20738,9952,10786,,16228,7772,8456,,4510,2180,2330,
ABBOTTABAD,30,19011,9429,9578,4,14832,7376,7455,1,4179,2053,2123,3
ABBOTTABAD,31,19676,9446,10230,,15500,7424,8076,,4176,2022,2154,
ABBOTTABAD,32,21732,10274,11454,4,16777,8007,8770,,4955,2267,2684,4
ABBOTTABAD,33,17390,8267,9117,6,13641,6494,7146,1,3749,1773,1971,5
ABBOTTABAD,34,19340,8887,10452,1,15005,6836,8168,1,4335,2051,2284,
ABBOTTABAD,35,17537,8454,9078,5,13493,6560,6933,,4044,1894,2145,5
ABBOTTABAD,36,20853,9740,11112,1,15962,7449,8513,,4891,2291,2599,1
ABBOTTABAD,37,18453,8984,9468,1,14277,7007,7270,,4176,1977,2198,1
ABBOTTABAD,38,18597,9580,9016,1,14291,7384,6906,1,4306,2196,2110,
ABBOTTABAD,39,17876,8626,9250,,13814,6629,7185,,4062,1997,2065,
ABBOTTABAD,40,16263,8258,8001,4,12249,6302,5946,1,4014,1956,2055,3
ABBOTTABAD,41,15711,7643,8066,2,12162,5945,6216,1,3549,1698,1850,1
ABBOTTABAD,42,18091,9228,8862,1,13790,7098,6692,,4301,2130,2170,1
ABBOTTABAD,43,14966,7860,7105,1,11472,5996,5476,,3494,1864,1629,1
ABBOTTABAD,44,16375,8308,8065,2,12557,6431,6125,1,3818,1877,1940,1
ABBOTTABAD,45,13478,7091,6381,6,10145,5351,4793,1,3333,1740,1588,5
ABBOTTABAD,46,14480,7402,7078,,10912,5612,5300,,3568,1790,1778,
ABBOTTABAD,47,12061,6204,5857,,9129,4684,4445,,2932,1520,1412,
ABBOTTABAD,48,12295,6443,5852,,9439,4883,4556,,2856,1560,1296,
ABBOTTABAD,49,11983,6022,5961,,9090,4553,4537,,2893,1469,1424,
ABBOTTABAD,50,11723,6009,5710,4,8828,4517,4310,1,2895,1492,1400,3
ABBOTTABAD,51,9997,4922,5074,1,7621,3701,3920,,2376,1221,1154,1
ABBOTTABAD,52,11558,5960,5597,1,8820,4496,4323,1,2738,1464,1274,
ABBOTTABAD,53,9606,5055,4549,2,7598,3888,3708,2,2008,1167,841,
ABBOTTABAD,54,11233,5506,5727,,8733,4262,4471,,2500,1244,1256,
ABBOTTABAD,55,9678,4956,4716,6,7410,3766,3642,2,2268,1190,1074,4
ABBOTTABAD,56,10157,5062,5095,,7876,3888,3988,,2281,1174,1107,
ABBOTTABAD,57,8526,4344,4182,,6665,3356,3309,,1861,988,873,
ABBOTTABAD,58,8623,4460,4163,,6844,3514,3330,,1779,946,833,
ABBOTTABAD,59,8024,3931,4093,,6272,3056,3216,,1752,875,877,
ABBOTTABAD,60,8917,4791,4126,,6970,3729,3241,,1947,1062,885,
ABBOTTABAD,61,7453,3910,3543,,5804,3012,2792,,1649,898,751,
ABBOTTABAD,62,7286,3941,3345,,5641,2999,2642,,1645,942,703,
ABBOTTABAD,63,6162,3665,2497,,4830,2830,2000,,1332,835,497,
ABBOTTABAD,64,6755,3572,3183,,5242,2732,2510,,1513,840,673,
ABBOTTABAD,65,6612,3594,3018,,5119,2782,2337,,1493,812,681,
ABBOTTABAD,66,5401,2880,2521,,4259,2229,2030,,1142,651,491,
ABBOTTABAD,67,4980,2708,2272,,3923,2072,1851,,1057,636,421,
ABBOTTABAD,68,4561,2495,2066,,3587,1917,1670,,974,578,396,
