district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ATTOCK,ALL AGES,2133005,1071693,1061231,81,1546356,775739,770599,18,586649,295954,290632,63
ATTOCK,BELOW 1,36042,18112,17930,,26655,13481,13174,,9387,4631,4756,
ATTOCK,01,45952,23298,22654,,33297,16866,16431,,12655,6432,6223,
ATTOCK,02,51349,25931,25418,,37389,18891,18498,,13960,7040,6920,
ATTOCK,03,54402,27134,27268,,39350,19508,19842,,15052,7626,7426,
ATTOCK,04,54556,27184,27372,,39375,19697,19678,,15181,7487,7694,
ATTOCK,05,48546,24047,24499,,35218,17381,17837,,13328,6666,6662,
ATTOCK,06,47755,23898,23857,,34143,17081,17062,,13612,6817,6795,
ATTOCK,07,46900,23716,23184,,33650,17033,16617,,13250,6683,6567,
ATTOCK,08,44736,22492,22244,,32130,16213,15917,,12606,6279,6327,
ATTOCK,09,43225,21737,21488,,30982,15532,15450,,12243,6205,6038,
ATTOCK,10,44603,22131,22472,,31786,15712,16074,,12817,6419,6398,
ATTOCK,11,47423,23961,23462,,33560,16907,16653,,13863,7054,6809,
ATTOCK,12,46688,23466,23222,,33066,16582,16484,,13622,6884,6738,
ATTOCK,13,46279,23517,22762,,32463,16456,16007,,13816,7061,6755,
ATTOCK,14,45828,23362,22465,1,32595,16550,16044,1,13233,6812,6421,
ATTOCK,15,41772,21146,20624,2,29697,14860,14835,2,12075,6286,5789,
ATTOCK,16,41550,21374,20173,3,29590,15042,14547,1,11960,6332,5626,2
ATTOCK,17,40841,20470,20370,1,29407,14593,14813,1,11434,5877,5557,
ATTOCK,18,37788,18805,18981,2,27170,13432,13737,1,10618,5373,5244,1
ATTOCK,19,38332,19387,18944,1,27511,13905,13606,,10821,5482,5338,1
ATTOCK,20,35375,17749,17624,2,25725,12803,12921,1,9650,4946,4703,1
ATTOCK,21,36325,18459,17864,2,26072,13288,12784,,10253,5171,5080,2
ATTOCK,22,36793,18449,18339,5,26764,13442,13321,1,10029,5007,5018,4
ATTOCK,23,33440,16777,16660,3,24175,12224,11951,,9265,4553,4709,3
ATTOCK,24,34550,16991,17556,3,25126,12466,12660,,9424,4525,4896,3
ATTOCK,25,33115,17091,16020,4,24623,12773,11848,2,8492,4318,4172,2
