district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
BADIN,ALL AGES,1945417,1012056,933287,74,1516567,789709,726823,35,428850,222347,206464,39
BADIN,BELOW 1,38928,20080,18848,,30296,15620,14676,,8632,4460,4172,
BADIN,01,55873,28902,26971,,45012,23257,21755,,10861,5645,5216,
BADIN,02,64818,33243,31575,,52403,26828,25575,,12415,6415,6000,
BADIN,03,72159,37072,35087,,58068,29864,28204,,14091,7208,6883,
BADIN,04,79086,40794,38292,,64161,33139,31022,,14925,7655,7270,
BADIN,05,67521,35432,32089,,54271,28462,25809,,13250,6970,6280,
BADIN,06,68254,35686,32568,,55261,28880,26381,,12993,6806,6187,
BADIN,07,63178,33133,30045,,50133,26433,23700,,13045,6700,6345,
BADIN,08,66194,34834,31360,,53910,28467,25443,,12284,6367,5917,
BADIN,09,49538,26104,23434,,38774,20485,18289,,10764,5619,5145,
BADIN,10,57431,30554,26877,,46667,24952,21715,,10764,5602,5162,
BADIN,11,43908,23242,20666,,34064,18177,15887,,9844,5065,4779,
BADIN,12,51828,28856,22972,,41050,23014,18036,,10778,5842,4936,
BADIN,13,37302,19111,18191,,28407,14655,13752,,8895,4456,4439,
BADIN,14,39767,21211,18546,10,30753,16491,14252,10,9014,4720,4294,
BADIN,15,38704,21593,17105,6,29921,16843,13073,5,8783,4750,4032,1
BADIN,16,38823,21229,17591,3,29858,16423,13432,3,8965,4806,4159,
BADIN,17,31798,17264,14531,3,23645,12972,10670,3,8153,4292,3861,
BADIN,18,40134,20880,19254,,31575,16420,15155,,8559,4460,4099,
BADIN,19,32265,16613,15651,1,24160,12440,11720,,8105,4173,3931,1
BADIN,20,38237,18960,19275,2,29921,14777,15142,2,8316,4183,4133,
BADIN,21,29605,14255,15350,,22515,10695,11820,,7090,3560,3530,
BADIN,22,32478,15836,16642,,25051,12261,12790,,7427,3575,3852,
BADIN,23,29882,15074,14808,,23022,11552,11470,,6860,3522,3338,
BADIN,24,31305,16143,15162,,24230,12558,11672,,7075,3585,3490,
BADIN,25,31961,17413,14547,1,25130,13764,11365,1,6831,3649,3182,
BADIN,26,28708,15333,13374,1,21785,11745,10040,,6923,3588,3334,1
BADIN,27,26953,14168,12781,4,20443,10766,9676,1,6510,3402,3105,3
BADIN,28,26005,13445,12559,1,20003,10340,9663,,6002,3105,2896,1
BADIN,29,23978,12293,11685,,18016,9159,8857,,5962,3134,2828,
BADIN,30,23277,11840,11435,2,17795,9032,8763,,5482,2808,2672,2
BADIN,31,23946,11869,12077,,18180,8933,9247,,5766,2936,2830,
BADIN,32,23751,11684,12066,1,17832,8740,9091,1,5919,2944,2975,
BADIN,33,26524,12913,13611,,20334,9841,10493,,6190,3072,3118,
BADIN,34,23704,11281,12422,1,17978,8480,9498,,5726,2801,2924,1
BADIN,35,21837,11234,10602,1,16883,8738,8145,,4954,2496,2457,1
BADIN,36,21231,10690,10541,,15899,7952,7947,,5332,2738,2594,
BADIN,37,25191,12883,12306,2,18821,9607,9214,,6370,3276,3092,2
BADIN,38,24198,12122,12074,2,18464,9260,9203,1,5734,2862,2871,1
BADIN,39,20829,10815,10014,,15756,8169,7587,,5073,2646,2427,
BADIN,40,18823,9567,9255,1,14343,7239,7104,,4480,2328,2151,1
BADIN,41,21999,10966,11033,,17026,8414,8612,,4973,2552,2421,
BADIN,42,22420,12078,10339,3,17076,9223,7853,,5344,2855,2486,3
BADIN,43,24162,12968,11192,2,19079,10285,8793,1,5083,2683,2399,1
BADIN,44,18486,9791,8694,1,14034,7458,6576,,4452,2333,2118,1
BADIN,45,14882,7993,6887,2,11385,6112,5273,,3497,1881,1614,2
BADIN,46,15058,8018,7040,,11246,5937,5309,,3812,2081,1731,
BADIN,47,14525,7378,7145,2,10956,5532,5424,,3569,1846,1721,2
BADIN,48,15485,7473,8011,1,11842,5700,6142,,3643,1773,1869,1
BADIN,49,12264,6707,5556,1,9228,5042,4186,,3036,1665,1370,1
BADIN,50,11819,6543,5273,3,8956,4941,4014,1,2863,1602,1259,2
BADIN,51,12385,6552,5833,,9469,4986,4483,,2916,1566,1350,
BADIN,52,13003,6770,6233,,9827,5086,4741,,3176,1684,1492,
BADIN,53,14602,7266,7334,2,11345,5630,5715,,3257,1636,1619,2
BADIN,54,11074,5964,5110,,8385,4541,3844,,2689,1423,1266,
BADIN,55,10216,5823,4391,2,7834,4460,3373,1,2382,1363,1018,1
BADIN,56,9326,5232,4094,,6924,3879,3045,,2402,1353,1049,
BADIN,57,8827,4814,4012,1,6594,3607,2987,,2233,1207,1025,1
BADIN,58,8415,4409,4005,1,6310,3271,3039,,2105,1138,966,1
BADIN,59,6405,3810,2595,,4748,2821,1927,,1657,989,668,
BADIN,60,7390,4259,3127,4,5642,3251,2390,1,1748,1008,737,3
BADIN,61,5585,2925,2660,,4230,2175,2055,,1355,750,605,
BADIN,62,5517,2731,2786,,4120,2026,2094,,1397,705,692,
BADIN,63,6708,2984,3724,,5215,2329,2886,,1493,655,838,
BADIN,64,5884,3130,2754,,4395,2336,2059,,1489,794,695,
BADIN,65,6553,3441,3110,2,5085,2679,2405,1,1468,762,705,1
BADIN,66,4852,2483,2369,,3654,1856,1798,,1198,627,571,
BADIN,67,4588,2372,2216,,3425,1767,1658,,1163,605,558,
BADIN,68,4526,2082,2444,,3478,1599,1879,,1048,483,565,
BADIN,69,3470,1956,1514,,2636,1495,1141,,834,461,373,
BADIN,70,5971,3100,2868,3,4690,2444,2245,1,1281,656,623,2
BADIN,71,3796,1804,1992,,2982,1422,1560,,814,382,432,
BADIN,72,3353,1584,1769,,2526,1175,1351,,827,409,418,
BADIN,73,3060,1426,1634,,2393,1110,1283,,667,316,351,
BADIN,74,2510,1414,1096,,1947,1113,834,,563,301,262,
BADIN,75 & ABOVE,16369,8159,8208,2,13095,6577,6516,2,3274,1582,1692,
DADU,ALL AGES,1742307,883787,858434,86,1303286,662867,640382,37,439021,220920,218052,49
DADU,BELOW 1,27458,13876,13582,,20279,10252,10027,,7179,3624,3555,
DADU,01,49881,25398,24483,,38044,19353,18691,,11837,6045,5792,
DADU,02,57399,28706,28693,,44110,21932,22178,,13289,6774,6515,
DADU,03,66095,33009,33086,,51166,25557,25609,,14929,7452,7477,
DADU,04,73086,36731,36355,,56917,28575,28342,,16169,8156,8013,
DADU,05,57591,29195,28396,,44325,22566,21759,,13266,6629,6637,
DADU,06,59628,29669,29959,,46339,23024,23315,,13289,6645,6644,
DADU,07,53149,26819,26330,,40031,20176,19855,,13118,6643,6475,
DADU,08,54853,27728,27125,,43263,21839,21424,,11590,5889,5701,
DADU,09,44120,22413,21707,,33362,16968,16394,,10758,5445,5313,
DADU,10,48702,24436,24266,,38435,19330,19105,,10267,5106,5161,
DADU,11,40533,20574,19959,,30247,15411,14836,,10286,5163,5123,
DADU,12,47563,25055,22508,,36447,19297,17150,,11116,5758,5358,
DADU,13,37687,18332,19355,,27953,13657,14296,,9734,4675,5059,
DADU,14,40984,20706,20272,6,30693,15647,15041,5,10291,5059,5231,1
