name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
AWARAN,AWARAN,DISTRICT,ALL AGES,178958,91623,87318,17,132122,67516,64594,12,46836,24107,22724,5
AWARAN,AWARAN,DISTRICT,UNDER 1,3399,1810,1589,,2362,1251,1111,,1037,559,478,
AWARAN,AWARAN,DISTRICT,UNDER 5,31481,16018,15463,,23171,11726,11445,,8310,4292,4018,
AWARAN,AWARAN,DISTRICT,UNDER 10,62549,31824,30725,,46573,23579,22994,,15976,8245,7731,
AWARAN,AWARAN,DISTRICT,UNDER 15,88319,45046,43271,2,65875,33535,32340,,22444,11511,10931,2
AWARAN,AWARAN,DISTRICT,05 - 24,88200,45129,43064,7,65353,33293,32058,2,22847,11836,11006,5
AWARAN,AWARAN,DISTRICT,15 - 49,75924,38493,37416,15,55324,27948,27364,12,20600,10545,10052,3
AWARAN,AWARAN,DISTRICT,15 - 64,86319,44161,42143,15,63145,32235,30898,12,23174,11926,11245,3
AWARAN,AWARAN,DISTRICT,18 - 60,72942,37171,35760,11,53399,27110,26279,10,19543,10061,9481,1
AWARAN,AWARAN,DISTRICT,18 &  ABOVE,78995,40620,38364,11,57791,29629,28152,10,21204,10991,10212,1
AWARAN,AWARAN,DISTRICT,60 &  ABOVE,6820,3891,2929,,4993,2867,2126,,1827,1024,803,
AWARAN,AWARAN,DISTRICT,65 &  ABOVE,4320,2416,1904,,3102,1746,1356,,1218,670,548,
AWARAN,AWARAN,SUB-DIVISION,ALL AGES,45774,23188,22582,4,16994,8513,8481,,28780,14675,14101,4
AWARAN,AWARAN,SUB-DIVISION,UNDER 1,1211,654,557,,380,206,174,,831,448,383,
AWARAN,AWARAN,SUB-DIVISION,UNDER 5,9025,4769,4256,,3287,1706,1581,,5738,3063,2675,
AWARAN,AWARAN,SUB-DIVISION,UNDER 10,17579,9114,8465,,6610,3348,3262,,10969,5766,5203,
AWARAN,AWARAN,SUB-DIVISION,UNDER 15,24109,12344,11763,2,9098,4572,4526,,15011,7772,7237,2
AWARAN,AWARAN,SUB-DIVISION,05 - 24,22604,11324,11276,4,8576,4216,4360,,14028,7108,6916,4
AWARAN,AWARAN,SUB-DIVISION,15 - 49,18234,8997,9235,2,6630,3243,3387,,11604,5754,5848,2
AWARAN,AWARAN,SUB-DIVISION,15 - 64,20631,10276,10353,2,7518,3729,3789,,13113,6547,6564,2
AWARAN,AWARAN,SUB-DIVISION,18 - 60,17334,8619,8715,,6335,3136,3199,,10999,5483,5516,
AWARAN,AWARAN,SUB-DIVISION,18 &  ABOVE,18752,9407,9345,,6853,3425,3428,,11899,5982,5917,
AWARAN,AWARAN,SUB-DIVISION,60 &  ABOVE,1588,890,698,,595,339,256,,993,551,442,
AWARAN,AWARAN,SUB-DIVISION,65 &  ABOVE,1034,568,466,,378,212,166,,656,356,300,
GISHKORE,AWARAN,TEHSIL,ALL AGES,31462,16104,15355,3,31462,16104,15355,3,,,,
GISHKORE,AWARAN,TEHSIL,UNDER 1,491,262,229,,491,262,229,,,,,
GISHKORE,AWARAN,TEHSIL,UNDER 5,5226,2685,2541,,5226,2685,2541,,,,,
GISHKORE,AWARAN,TEHSIL,UNDER 10,10587,5446,5141,,10587,5446,5141,,,,,
GISHKORE,AWARAN,TEHSIL,UNDER 15,15137,7826,7311,,15137,7826,7311,,,,,
GISHKORE,AWARAN,TEHSIL,05 - 24,15093,7681,7412,,15093,7681,7412,,,,,
GISHKORE,AWARAN,TEHSIL,15 - 49,13385,6636,6746,3,13385,6636,6746,3,,,,
GISHKORE,AWARAN,TEHSIL,15 - 64,15419,7739,7677,3,15419,7739,7677,3,,,,
GISHKORE,AWARAN,TEHSIL,18 - 60,12936,6494,6439,3,12936,6494,6439,3,,,,
GISHKORE,AWARAN,TEHSIL,18 &  ABOVE,14171,7225,6943,3,14171,7225,6943,3,,,,
GISHKORE,AWARAN,TEHSIL,60 &  ABOVE,1392,822,570,,1392,822,570,,,,,
GISHKORE,AWARAN,TEHSIL,65 &  ABOVE,906,539,367,,906,539,367,,,,,
