name_admin_unit,part_of_district,admin_unit,age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ISLAMABAD,ISLAMABAD,DISTRICT,ALL AGES,2283244,1209000,1073974,270,1240244,649029,591165,50,1043000,559971,482809,220
ISLAMABAD,ISLAMABAD,DISTRICT,UNDER 1,28189,14562,13627,,16730,8614,8116,,11459,5948,5511,
ISLAMABAD,ISLAMABAD,DISTRICT,UNDER 5,237482,122792,114690,,134174,69183,64991,,103308,53609,49699,
ISLAMABAD,ISLAMABAD,DISTRICT,UNDER 10,486244,251747,234497,,270505,139219,131286,,215739,112528,103211,
ISLAMABAD,ISLAMABAD,DISTRICT,UNDER 15,737121,385814,351302,5,406024,210553,195470,1,331097,175261,155832,4
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 24,922248,491064,431145,39,496561,260757,235792,12,425687,230307,195353,27
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 49,1218134,640470,577413,251,657727,341112,316570,45,560407,299358,260843,206
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 64,1447658,766188,681205,265,781058,407442,373567,49,666600,358746,307638,216
ISLAMABAD,ISLAMABAD,DISTRICT,18 - 60,1266157,666424,599480,253,682870,353927,328898,45,583287,312497,270582,208
ISLAMABAD,ISLAMABAD,DISTRICT,18 &  ABOVE,1410262,748956,661051,255,761551,399192,362314,45,648711,349764,298737,210
ISLAMABAD,ISLAMABAD,DISTRICT,60 &  ABOVE,158493,90314,68176,3,86513,49461,37052,,71980,40853,31124,3
ISLAMABAD,ISLAMABAD,DISTRICT,65 &  ABOVE,98465,56998,41467,,53162,31034,22128,,45303,25964,19339,
