name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,ALL AGES,1397587,701906,695577,104,1086688,544434,542231,23,310899,157472,153346,81
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 1,23099,11589,11510,,18420,9261,9159,,4679,2328,2351,
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 5,166605,83764,82841,,132484,66635,65849,,34121,17129,16992,
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 10,334274,168044,166230,,264927,133096,131831,,69347,34948,34399,
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 15,493906,248462,245443,1,388646,195052,193593,1,105260,53410,51850,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 24,584427,294352,290040,35,452924,227369,225549,6,131503,66983,64491,29
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 49,700234,347476,352672,86,538694,267376,271304,14,161540,80100,81368,72
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 64,835932,417560,418272,100,643848,321122,322706,20,192084,96438,95566,80
ABBOTTABAD,ABBOTTABAD,DISTRICT,18 - 60,722521,359080,363345,96,556438,276411,280008,19,166083,82669,83337,77
ABBOTTABAD,ABBOTTABAD,DISTRICT,18 &  ABOVE,817926,410052,407775,99,632149,316244,315884,21,185777,93808,91891,78
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 &  ABOVE,104322,55763,48556,3,82681,43562,39117,2,21641,12201,9439,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 &  ABOVE,67749,35884,31862,3,54194,28260,25932,2,13555,7624,5930,1
ABBOTTABAD,ABBOTTABAD,TEHSIL,ALL AGES,981967,495759,486151,57,727449,366447,360984,18,254518,129312,125167,39
ABBOTTABAD,ABBOTTABAD,TEHSIL,UNDER 1,15849,7914,7935,,12151,6082,6069,,3698,1832,1866,
ABBOTTABAD,ABBOTTABAD,TEHSIL,UNDER 5,115888,58285,57603,,88360,44449,43911,,27528,13836,13692,
ABBOTTABAD,ABBOTTABAD,TEHSIL,UNDER 10,233127,117263,115864,,177466,89197,88269,,55661,28066,27595,
ABBOTTABAD,ABBOTTABAD,TEHSIL,UNDER 15,345652,174298,171353,1,261236,131418,129817,1,84416,42880,41536,
ABBOTTABAD,ABBOTTABAD,TEHSIL,05 - 24,412501,208464,204021,16,305870,154068,151797,5,106631,54396,52224,11
ABBOTTABAD,ABBOTTABAD,TEHSIL,15 - 49,495361,247234,248082,45,361974,180801,181161,12,133387,66433,66921,33
ABBOTTABAD,ABBOTTABAD,TEHSIL,15 - 64,590171,296687,293430,54,431448,216689,214743,16,158723,79998,78687,38
ABBOTTABAD,ABBOTTABAD,TEHSIL,18 - 60,510311,255222,255039,50,372848,186570,186263,15,137463,68652,68776,35
ABBOTTABAD,ABBOTTABAD,TEHSIL,18 &  ABOVE,575786,290737,284997,52,421842,212715,209111,16,153944,78022,75886,36
ABBOTTABAD,ABBOTTABAD,TEHSIL,60 &  ABOVE,71734,38900,32832,2,53643,28655,24987,1,18091,10245,7845,1
ABBOTTABAD,ABBOTTABAD,TEHSIL,65 &  ABOVE,46144,24774,21368,2,34765,18340,16424,1,11379,6434,4944,1
HAVELIAN,ABBOTTABAD,TEHSIL,ALL AGES,256710,127556,129110,44,200329,99396,100931,2,56381,28160,28179,42
HAVELIAN,ABBOTTABAD,TEHSIL,UNDER 1,4619,2328,2291,,3638,1832,1806,,981,496,485,
HAVELIAN,ABBOTTABAD,TEHSIL,UNDER 5,32568,16343,16225,,25975,13050,12925,,6593,3293,3300,
HAVELIAN,ABBOTTABAD,TEHSIL,UNDER 10,65327,32830,32497,,51641,25948,25693,,13686,6882,6804,
HAVELIAN,ABBOTTABAD,TEHSIL,UNDER 15,95520,47912,47608,,74676,37382,37294,,20844,10530,10314,
HAVELIAN,ABBOTTABAD,TEHSIL,05 - 24,109303,54837,54448,18,84431,42250,42181,,24872,12587,12267,18
HAVELIAN,ABBOTTABAD,TEHSIL,15 - 49,124834,60919,63875,40,96681,47252,49428,1,28153,13667,14447,39
HAVELIAN,ABBOTTABAD,TEHSIL,15 - 64,149132,73348,75741,43,115771,56908,58862,1,33361,16440,16879,42
HAVELIAN,ABBOTTABAD,TEHSIL,18 - 60,128210,62603,65564,43,99590,48586,51003,1,28620,14017,14561,42
HAVELIAN,ABBOTTABAD,TEHSIL,18 &  ABOVE,145138,71499,73595,44,113305,55713,57590,2,31833,15786,16005,42
HAVELIAN,ABBOTTABAD,TEHSIL,60 &  ABOVE,18439,9686,8752,1,14889,7730,7158,1,3550,1956,1594,
HAVELIAN,ABBOTTABAD,TEHSIL,65 &  ABOVE,12058,6296,5761,1,9882,5106,4775,1,2176,1190,986,
LORA,ABBOTTABAD,TEHSIL,ALL AGES,98671,48641,50029,1,98671,48641,50029,1,,,,
LORA,ABBOTTABAD,TEHSIL,UNDER 1,1627,830,797,,1627,830,797,,,,,
LORA,ABBOTTABAD,TEHSIL,UNDER 5,11046,5490,5556,,11046,5490,5556,,,,,
LORA,ABBOTTABAD,TEHSIL,UNDER 10,22019,10966,11053,,22019,10966,11053,,,,,
LORA,ABBOTTABAD,TEHSIL,UNDER 15,32358,15993,16365,,32358,15993,16365,,,,,
LORA,ABBOTTABAD,TEHSIL,05 - 24,38641,19123,19517,1,38641,19123,19517,1,,,,
LORA,ABBOTTABAD,TEHSIL,15 - 49,50502,24728,25773,1,50502,24728,25773,1,,,,
LORA,ABBOTTABAD,TEHSIL,15 - 64,60693,29764,30928,1,60693,29764,30928,1,,,,
LORA,ABBOTTABAD,TEHSIL,18 - 60,52861,25890,26970,1,52861,25890,26970,1,,,,
LORA,ABBOTTABAD,TEHSIL,18 &  ABOVE,60581,29801,30779,1,60581,29801,30779,1,,,,
LORA,ABBOTTABAD,TEHSIL,60 &  ABOVE,8431,4298,4133,,8431,4298,4133,,,,,
LORA,ABBOTTABAD,TEHSIL,65 &  ABOVE,5620,2884,2736,,5620,2884,2736,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,ALL AGES,60239,29950,30287,2,60239,29950,30287,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 1,1004,517,487,,1004,517,487,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 5,7103,3646,3457,,7103,3646,3457,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 10,13801,6985,6816,,13801,6985,6816,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 15,20376,10259,10117,,20376,10259,10117,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,05 - 24,23982,11928,12054,,23982,11928,12054,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,15 - 49,29537,14595,14942,,29537,14595,14942,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,15 - 64,35936,17761,18173,2,35936,17761,18173,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,18 - 60,31139,15365,15772,2,31139,15365,15772,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,18 &  ABOVE,36421,18015,18404,2,36421,18015,18404,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,60 &  ABOVE,5718,2879,2839,,5718,2879,2839,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,65 &  ABOVE,3927,1930,1997,,3927,1930,1997,,,,,
BAJAUR,BAJAUR,DISTRICT,ALL AGES,1283113,648473,634625,15,1283113,648473,634625,15,,,,
