name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ATTOCK,ATTOCK,DISTRICT,ALL AGES,2133005,1071693,1061231,81,1546356,775739,770599,18,586649,295954,290632,63
ATTOCK,ATTOCK,DISTRICT,UNDER 1,36042,18112,17930,,26655,13481,13174,,9387,4631,4756,
ATTOCK,ATTOCK,DISTRICT,UNDER 5,242301,121659,120642,,176066,88443,87623,,66235,33216,33019,
ATTOCK,ATTOCK,DISTRICT,UNDER 10,473463,237549,235914,,342189,171683,170506,,131274,65866,65408,
ATTOCK,ATTOCK,DISTRICT,UNDER 15,704284,353986,350297,1,505659,253890,251768,1,198625,100096,98529,
ATTOCK,ATTOCK,DISTRICT,05 - 24,838749,421934,416790,25,600830,301502,299320,8,237919,120432,117470,17
ATTOCK,ATTOCK,DISTRICT,15 - 49,1085185,538321,546791,73,782199,387552,394632,15,302986,150769,152159,58
ATTOCK,ATTOCK,DISTRICT,15 - 64,1311285,656132,655075,78,949693,474262,475415,16,361592,181870,179660,62
ATTOCK,ATTOCK,DISTRICT,18 - 60,1140222,567567,572584,71,826114,410873,415229,12,314108,156694,157355,59
ATTOCK,ATTOCK,DISTRICT,18 &  ABOVE,1304558,654717,649767,74,952003,477354,474636,13,352555,177363,175131,61
ATTOCK,ATTOCK,DISTRICT,60 &  ABOVE,178447,94363,84081,3,136384,71869,64514,1,42063,22494,19567,2
ATTOCK,ATTOCK,DISTRICT,65 &  ABOVE,117436,61575,55859,2,91004,47587,43416,1,26432,13988,12443,1
ATTOCK,ATTOCK,TEHSIL,ALL AGES,479094,241706,237360,28,226155,114308,111842,5,252939,127398,125518,23
ATTOCK,ATTOCK,TEHSIL,UNDER 1,8288,4108,4180,,4277,2149,2128,,4011,1959,2052,
ATTOCK,ATTOCK,TEHSIL,UNDER 5,56259,28224,28035,,28033,14069,13964,,28226,14155,14071,
ATTOCK,ATTOCK,TEHSIL,UNDER 10,109174,54907,54267,,52707,26572,26135,,56467,28335,28132,
ATTOCK,ATTOCK,TEHSIL,UNDER 15,162025,81349,80676,,76503,38346,38157,,85522,43003,42519,
ATTOCK,ATTOCK,TEHSIL,05 - 24,191932,96339,95585,8,89524,44877,44645,2,102408,51462,50940,6
ATTOCK,ATTOCK,TEHSIL,15 - 49,249604,124623,124954,27,117059,58796,58258,5,132545,65827,66696,22
ATTOCK,ATTOCK,TEHSIL,15 - 64,296296,149287,146981,28,139174,70336,68833,5,157122,78951,78148,23
ATTOCK,ATTOCK,TEHSIL,18 - 60,258515,129731,128758,26,121451,61311,60136,4,137064,68420,68622,22
ATTOCK,ATTOCK,TEHSIL,18 &  ABOVE,288646,145903,142716,27,136322,69324,66994,4,152324,76579,75722,23
ATTOCK,ATTOCK,TEHSIL,60 &  ABOVE,33120,17728,15391,1,16354,8790,7564,,16766,8938,7827,1
ATTOCK,ATTOCK,TEHSIL,65 &  ABOVE,20773,11070,9703,,10478,5626,4852,,10295,5444,4851,
FATEH JANG,ATTOCK,TEHSIL,ALL AGES,374726,189283,185426,17,293405,148263,145137,5,81321,41020,40289,12
FATEH JANG,ATTOCK,TEHSIL,UNDER 1,6295,3239,3056,,4838,2500,2338,,1457,739,718,
FATEH JANG,ATTOCK,TEHSIL,UNDER 5,43356,21980,21376,,33418,16853,16565,,9938,5127,4811,
FATEH JANG,ATTOCK,TEHSIL,UNDER 10,84285,42511,41774,,64969,32649,32320,,19316,9862,9454,
FATEH JANG,ATTOCK,TEHSIL,UNDER 15,124395,62746,61649,,95143,47712,47431,,29252,15034,14218,
FATEH JANG,ATTOCK,TEHSIL,05 - 24,145097,73163,71930,4,111387,56010,55376,1,33710,17153,16554,3
FATEH JANG,ATTOCK,TEHSIL,15 - 49,188187,93861,94312,14,147647,73938,73705,4,40540,19923,20607,10
FATEH JANG,ATTOCK,TEHSIL,15 - 64,228821,115169,113635,17,180362,91114,89243,5,48459,24055,24392,12
FATEH JANG,ATTOCK,TEHSIL,18 - 60,199545,99883,99645,17,157524,79223,78296,5,42021,20660,21349,12
FATEH JANG,ATTOCK,TEHSIL,18 &  ABOVE,229306,115806,113483,17,182082,92328,89749,5,47224,23478,23734,12
FATEH JANG,ATTOCK,TEHSIL,60 &  ABOVE,32295,17229,15066,,26555,14160,12395,,5740,3069,2671,
FATEH JANG,ATTOCK,TEHSIL,65 &  ABOVE,21510,11368,10142,,17900,9437,8463,,3610,1931,1679,
HASAN ABDAL,ATTOCK,TEHSIL,ALL AGES,253435,128983,124439,13,184082,93489,90592,1,69353,35494,33847,12
HASAN ABDAL,ATTOCK,TEHSIL,UNDER 1,4687,2351,2336,,3532,1788,1744,,1155,563,592,
HASAN ABDAL,ATTOCK,TEHSIL,UNDER 5,31316,15735,15581,,23166,11722,11444,,8150,4013,4137,
HASAN ABDAL,ATTOCK,TEHSIL,UNDER 10,61389,30785,30604,,45358,22874,22484,,16031,7911,8120,
HASAN ABDAL,ATTOCK,TEHSIL,UNDER 15,90911,45684,45227,,66740,33666,33074,,24171,12018,12153,
HASAN ABDAL,ATTOCK,TEHSIL,05 - 24,105454,53537,51912,5,76024,38486,37537,1,29430,15051,14375,4
HASAN ABDAL,ATTOCK,TEHSIL,15 - 49,126356,63898,62446,12,90753,45638,45114,1,35603,18260,17332,11
HASAN ABDAL,ATTOCK,TEHSIL,15 - 64,151028,77037,73978,13,108545,54996,53548,1,42483,22041,20430,12
HASAN ABDAL,ATTOCK,TEHSIL,18 - 60,130434,66078,64343,13,94024,47388,46635,1,36410,18690,17708,12
HASAN ABDAL,ATTOCK,TEHSIL,18 &  ABOVE,147039,75255,71771,13,106566,54332,52233,1,40473,20923,19538,12
HASAN ABDAL,ATTOCK,TEHSIL,60 &  ABOVE,18029,9914,8115,,13610,7504,6106,,4419,2410,2009,
HASAN ABDAL,ATTOCK,TEHSIL,65 &  ABOVE,11496,6262,5234,,8797,4827,3970,,2699,1435,1264,
HAZRO,ATTOCK,TEHSIL,ALL AGES,386544,195013,191525,6,323572,163256,160314,2,62972,31757,31211,4
