name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
BADIN,BADIN,DISTRICT,ALL AGES,1945417,1012056,933287,74,1516567,789709,726823,35,428850,222347,206464,39
BADIN,BADIN,DISTRICT,UNDER 1,38928,20080,18848,,30296,15620,14676,,8632,4460,4172,
BADIN,BADIN,DISTRICT,UNDER 5,310864,160091,150773,,249940,128708,121232,,60924,31383,29541,
BADIN,BADIN,DISTRICT,UNDER 10,625549,325280,300269,,502289,261435,240854,,123260,63845,59415,
BADIN,BADIN,DISTRICT,UNDER 15,855785,448254,407521,10,683230,358724,324496,10,172555,89530,83025,
BADIN,BADIN,DISTRICT,05 - 24,888152,466010,422117,25,697188,366957,330208,23,190964,99053,91909,2
BADIN,BADIN,DISTRICT,15 - 49,893428,460769,432615,44,683432,352409,331005,18,209996,108360,101610,26
BADIN,BADIN,DISTRICT,15 - 64,1030584,533981,496546,57,787426,407748,379657,21,243158,126233,116889,36
BADIN,BADIN,DISTRICT,18 - 60,897565,462125,435395,45,686042,352644,333388,10,211523,109481,102007,35
BADIN,BADIN,DISTRICT,18 &  ABOVE,980307,503716,476539,52,749913,384747,365152,14,230394,118969,111387,38
BADIN,BADIN,DISTRICT,60 &  ABOVE,90132,45850,44271,11,69513,35354,34154,5,20619,10496,10117,6
BADIN,BADIN,DISTRICT,65 &  ABOVE,59048,29821,29220,7,45911,23237,22670,4,13137,6584,6550,3
BADIN,BADIN,TALUKA,ALL AGES,488722,254879,233825,18,347159,181556,165595,8,141563,73323,68230,10
BADIN,BADIN,TALUKA,UNDER 1,9818,5208,4610,,7001,3720,3281,,2817,1488,1329,
BADIN,BADIN,TALUKA,UNDER 5,77323,40183,37140,,57100,29703,27397,,20223,10480,9743,
BADIN,BADIN,TALUKA,UNDER 10,154819,80559,74260,,114080,59567,54513,,40739,20992,19747,
BADIN,BADIN,TALUKA,UNDER 15,213225,111839,101384,2,155914,82209,73703,2,57311,29630,27681,
BADIN,BADIN,TALUKA,05 - 24,221103,115935,105159,9,158257,83540,74710,7,62846,32395,30449,2
BADIN,BADIN,TALUKA,15 - 49,225164,116390,108765,9,156014,80742,75267,5,69150,35648,33498,4
BADIN,BADIN,TALUKA,15 - 64,260524,135384,125126,14,180387,93750,86631,6,80137,41634,38495,8
BADIN,BADIN,TALUKA,18 - 60,225631,116572,109049,10,156264,80611,75650,3,69367,35961,33399,7
BADIN,BADIN,TALUKA,18 &  ABOVE,246703,127314,119377,12,171364,88340,83021,3,75339,38974,36356,9
BADIN,BADIN,TALUKA,60 &  ABOVE,23060,11899,11156,5,16482,8538,7943,1,6578,3361,3213,4
BADIN,BADIN,TALUKA,65 &  ABOVE,14973,7656,7315,2,10858,5597,5261,,4115,2059,2054,2
GOLARCHI (S.F.RAHU),BADIN,TALUKA,ALL AGES,374854,195987,178865,2,317766,166140,151625,1,57088,29847,27240,1
GOLARCHI (S.F.RAHU),BADIN,TALUKA,UNDER 1,8160,4202,3958,,6864,3564,3300,,1296,638,658,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,UNDER 5,66203,34389,31814,,57090,29724,27366,,9113,4665,4448,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,UNDER 10,129712,68038,61674,,111527,58483,53044,,18185,9555,8630,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,UNDER 15,175011,92513,82498,,149783,79224,70559,,25228,13289,11939,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,05 - 24,174863,92287,82576,,147895,78025,69870,,26968,14262,12706,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,15 - 49,164454,84633,79820,1,137839,70882,66956,1,26615,13751,12864,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,15 - 64,188952,97835,91115,2,158614,82060,76553,1,30338,15775,14562,1
GOLARCHI (S.F.RAHU),BADIN,TALUKA,18 - 60,164488,84476,80010,2,138139,70869,67269,1,26349,13607,12741,1
GOLARCHI (S.F.RAHU),BADIN,TALUKA,18 &  ABOVE,179414,92191,87221,2,150980,77510,73469,1,28434,14681,13752,1
GOLARCHI (S.F.RAHU),BADIN,TALUKA,60 &  ABOVE,16360,8548,7812,,14058,7343,6715,,2302,1205,1097,
GOLARCHI (S.F.RAHU),BADIN,TALUKA,65 &  ABOVE,10891,5639,5252,,9369,4856,4513,,1522,783,739,
MATLI,BADIN,TALUKA,ALL AGES,471100,244672,226398,30,359737,186676,173049,12,111363,57996,53349,18
MATLI,BADIN,TALUKA,UNDER 1,9637,4940,4697,,7517,3848,3669,,2120,1092,1028,
MATLI,BADIN,TALUKA,UNDER 5,71166,36740,34426,,56926,29239,27687,,14240,7501,6739,
MATLI,BADIN,TALUKA,UNDER 10,145052,75422,69630,,115532,59994,55538,,29520,15428,14092,
MATLI,BADIN,TALUKA,UNDER 15,199964,104439,95524,1,158082,82578,75503,1,41882,21861,20021,
