name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,DISTRICT,15 &  ABOVE,DIVORCED,3504,2333,1171,,2793,1835,958,,711,498,213,
ABBOTTABAD,DISTRICT,15 &  ABOVE,MARRIED,587083,301465,285618,,457640,235897,221743,,129443,65568,63875,
ABBOTTABAD,DISTRICT,15 &  ABOVE,NEVER MARRIED,267311,110353,156855,103,200642,81964,118656,22,66669,28389,38199,81
ABBOTTABAD,DISTRICT,15 &  ABOVE,SEPERATION,927,420,507,,744,320,424,,183,100,83,
ABBOTTABAD,DISTRICT,15 &  ABOVE,WIDOWED,44856,35563,9293,,36223,28622,7601,,8633,6941,1692,
ABBOTTABAD,DISTRICT,15 - 19,DIVORCED,30,27,3,,24,22,2,,6,5,1,
ABBOTTABAD,DISTRICT,15 - 19,MARRIED,7052,5772,1280,,5745,4732,1013,,1307,1040,267,
ABBOTTABAD,DISTRICT,15 - 19,NEVER MARRIED,130890,62420,68462,8,100204,47940,52262,2,30686,14480,16200,6
ABBOTTABAD,DISTRICT,15 - 19,SEPERATION,10,5,5,,9,5,4,,1,,1,
ABBOTTABAD,DISTRICT,15 - 19,WIDOWED,14,9,5,,11,8,3,,3,1,2,
ABBOTTABAD,DISTRICT,20 - 24,DIVORCED,221,177,44,,190,151,39,,31,26,5,
ABBOTTABAD,DISTRICT,20 - 24,MARRIED,38748,28940,9808,,31656,23674,7982,,7092,5266,1826,
ABBOTTABAD,DISTRICT,20 - 24,NEVER MARRIED,79987,29971,49990,26,58769,21170,37596,3,21218,8801,12394,23
ABBOTTABAD,DISTRICT,20 - 24,SEPERATION,60,37,23,,55,35,20,,5,2,3,
ABBOTTABAD,DISTRICT,20 - 24,WIDOWED,114,80,34,,99,68,31,,15,12,3,
ABBOTTABAD,DISTRICT,25 - 29,DIVORCED,456,319,137,,387,267,120,,69,52,17,
ABBOTTABAD,DISTRICT,25 - 29,MARRIED,73097,45404,27693,,58472,36110,22362,,14625,9294,5331,
ABBOTTABAD,DISTRICT,25 - 29,NEVER MARRIED,32960,9273,23674,13,24170,6402,17767,1,8790,2871,5907,12
ABBOTTABAD,DISTRICT,25 - 29,SEPERATION,120,55,65,,99,44,55,,21,11,10,
ABBOTTABAD,DISTRICT,25 - 29,WIDOWED,307,200,107,,267,168,99,,40,32,8,
ABBOTTABAD,DISTRICT,30 - 34,DIVORCED,550,357,193,,462,293,169,,88,64,24,
ABBOTTABAD,DISTRICT,30 - 34,MARRIED,84707,46700,38007,,66447,36530,29917,,18260,10170,8090,
ABBOTTABAD,DISTRICT,30 - 34,NEVER MARRIED,11202,3297,7890,15,8268,2399,5866,3,2934,898,2024,12
ABBOTTABAD,DISTRICT,30 - 34,SEPERATION,125,55,70,,106,47,59,,19,8,11,
ABBOTTABAD,DISTRICT,30 - 34,WIDOWED,565,422,143,,472,346,126,,93,76,17,
ABBOTTABAD,DISTRICT,35 - 39,DIVORCED,569,374,195,,446,283,163,,123,91,32,
ABBOTTABAD,DISTRICT,35 - 39,MARRIED,86625,44897,41728,,66880,34566,32314,,19745,10331,9414,
