name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
AWARAN,DISTRICT,BROTHER/SISTER,DIVORCED,17,9,0,11,6,0,6,3,0
AWARAN,DISTRICT,BROTHER/SISTER,MARRIED,487,1452,0,255,677,0,232,775,0
AWARAN,DISTRICT,BROTHER/SISTER,NEVER MARRIED,1788,2504,3,1158,1609,3,630,895,0
AWARAN,DISTRICT,BROTHER/SISTER,SEPARATION,4,3,0,3,2,0,1,1,0
AWARAN,DISTRICT,BROTHER/SISTER,WIDOWED,72,24,0,40,17,0,32,7,0
AWARAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
AWARAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,1115,481,,793,332,,322,149,
AWARAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
AWARAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
AWARAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,28,2,,17,1,,11,1,
AWARAN,DISTRICT,FATHER/MOTHER,DIVORCED,6,0,,3,0,,3,0,
AWARAN,DISTRICT,FATHER/MOTHER,MARRIED,442,202,,336,138,,106,64,
AWARAN,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
AWARAN,DISTRICT,FATHER/MOTHER,SEPARATION,6,1,,6,1,,0,0,
AWARAN,DISTRICT,FATHER/MOTHER,WIDOWED,620,37,,403,22,,217,15,
AWARAN,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,1,0,,1,0,,0,0,
AWARAN,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,86,112,,41,58,,45,54,
AWARAN,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
AWARAN,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,1,0,,1,0,,0,0,
AWARAN,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,33,8,,23,7,,10,1,
AWARAN,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,0,0,0,0,0,0,0,0,0
AWARAN,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,21,21,0,16,16,0,5,5,0
AWARAN,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,101,139,0,76,104,0,25,35,0
AWARAN,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,0,0,0,0,0,0,0,0,0
