name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
ISLAMABAD,DISTRICT,BROTHER/SISTER,DIVORCED,738,181,0,396,107,0,342,74,0
ISLAMABAD,DISTRICT,BROTHER/SISTER,MARRIED,3528,27866,0,1809,14330,0,1719,13536,0
ISLAMABAD,DISTRICT,BROTHER/SISTER,NEVER MARRIED,18727,23778,1,9980,13181,1,8747,10597,0
ISLAMABAD,DISTRICT,BROTHER/SISTER,SEPARATION,138,67,0,83,37,0,55,30,0
ISLAMABAD,DISTRICT,BROTHER/SISTER,WIDOWED,1085,394,0,554,215,0,531,179,0
ISLAMABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
ISLAMABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,77179,3200,,44369,1726,,32810,1474,
ISLAMABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
ISLAMABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,2,0,,1,0,,1,0,
ISLAMABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,393,19,,220,9,,173,10,
ISLAMABAD,DISTRICT,FATHER/MOTHER,DIVORCED,189,15,,127,8,,62,7,
ISLAMABAD,DISTRICT,FATHER/MOTHER,MARRIED,19865,11688,,10771,6115,,9094,5573,
ISLAMABAD,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
ISLAMABAD,DISTRICT,FATHER/MOTHER,SEPARATION,90,10,,56,8,,34,2,
ISLAMABAD,DISTRICT,FATHER/MOTHER,WIDOWED,21828,2464,,12835,1409,,8993,1055,
ISLAMABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,0,0,,0,0,,0,0,
ISLAMABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,255,183,,159,104,,96,79,
ISLAMABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,4,,1,2,,0,2,
ISLAMABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,7,2,,3,2,,4,0,
ISLAMABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,502,103,,296,64,,206,39,
ISLAMABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,5,0,0,1,0,0,4,0,0
ISLAMABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,370,491,0,187,255,0,183,236,0
ISLAMABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,5255,6144,2,2617,3073,1,2638,3071,1
ISLAMABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,1,1,0,1,1,0,0,0,0
ISLAMABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,5,5,0,3,3,0,2,2,0
ISLAMABAD,DISTRICT,HEAD,DIVORCED,555,410,0,282,232,0,273,178,0
ISLAMABAD,DISTRICT,HEAD,MARRIED,13651,358615,0,7800,197586,0,5851,161029,0
ISLAMABAD,DISTRICT,HEAD,NEVER MARRIED,1658,22115,61,650,11582,17,1008,10533,44
ISLAMABAD,DISTRICT,HEAD,SEPARATION,205,270,0,110,140,0,95,130,0
ISLAMABAD,DISTRICT,HEAD,WIDOWED,7819,5917,0,4278,3450,0,3541,2467,0
ISLAMABAD,DISTRICT,NEPHEW/NIECE,DIVORCED,12,6,0,6,4,0,6,2,0
ISLAMABAD,DISTRICT,NEPHEW/NIECE,MARRIED,352,1180,0,177,583,0,175,597,0
ISLAMABAD,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,3597,5101,1,1715,2410,1,1882,2691,0
ISLAMABAD,DISTRICT,NEPHEW/NIECE,SEPARATION,1,2,0,1,2,0,0,0,0
ISLAMABAD,DISTRICT,NEPHEW/NIECE,WIDOWED,16,2,0,9,1,0,7,1,0
ISLAMABAD,DISTRICT,NON-RELATIVE,DIVORCED,48,27,0,24,10,0,24,17,0
ISLAMABAD,DISTRICT,NON-RELATIVE,MARRIED,3905,21638,0,1585,6865,0,2320,14773,0
ISLAMABAD,DISTRICT,NON-RELATIVE,NEVER MARRIED,6114,25804,154,2022,8723,16,4092,17081,138
ISLAMABAD,DISTRICT,NON-RELATIVE,SEPARATION,15,30,0,9,18,0,6,12,0
ISLAMABAD,DISTRICT,NON-RELATIVE,WIDOWED,224,183,0,100,93,0,124,90,0
ISLAMABAD,DISTRICT,OTHER RELATIVE,DIVORCED,127,40,0,69,22,0,58,18,0
ISLAMABAD,DISTRICT,OTHER RELATIVE,MARRIED,4172,5575,0,2074,2551,0,2098,3024,0
ISLAMABAD,DISTRICT,OTHER RELATIVE,NEVER MARRIED,2640,5797,26,1156,2479,2,1484,3318,24
ISLAMABAD,DISTRICT,OTHER RELATIVE,SEPARATION,38,24,0,27,12,0,11,12,0
ISLAMABAD,DISTRICT,OTHER RELATIVE,WIDOWED,1575,296,0,927,172,0,648,124,0
ISLAMABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,31,11,0,17,1,0,14,10,0
ISLAMABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,17866,617,0,9639,316,0,8227,301,0
ISLAMABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,543,264,0,291,149,0,252,115,0
ISLAMABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,10,1,0,7,0,0,3,1,0
ISLAMABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,613,11,0,331,4,0,282,7,0
ISLAMABAD,DISTRICT,SON/DAUGHTER,DIVORCED,1316,397,0,696,227,0,620,170,0
ISLAMABAD,DISTRICT,SON/DAUGHTER,MARRIED,9926,83797,0,5019,46768,0,4907,37029,0
ISLAMABAD,DISTRICT,SON/DAUGHTER,NEVER MARRIED,155656,202755,20,83472,110322,11,72184,92433,9
ISLAMABAD,DISTRICT,SON/DAUGHTER,SEPARATION,274,181,0,167,101,0,107,80,0
ISLAMABAD,DISTRICT,SON/DAUGHTER,WIDOWED,649,310,0,357,181,0,292,129,0
ISLAMABAD,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
ISLAMABAD,DISTRICT,SPOUSE,MARRIED,338898,5195,,188207,2823,,150691,2372,
ISLAMABAD,DISTRICT,SPOUSE,NEVER MARRIED,2,0,,1,0,,1,0,
ISLAMABAD,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
ISLAMABAD,DISTRICT,SPOUSE,WIDOWED,1,0,,1,0,,0,0,
