name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
ABBOTTABAD,DISTRICT,BROTHER/SISTER,DIVORCED,684,234,0,554,186,0,130,48,0
ABBOTTABAD,DISTRICT,BROTHER/SISTER,MARRIED,1265,15319,0,869,11826,0,396,3493,0
ABBOTTABAD,DISTRICT,BROTHER/SISTER,NEVER MARRIED,11197,15091,2,8437,11835,1,2760,3256,1
ABBOTTABAD,DISTRICT,BROTHER/SISTER,SEPARATION,79,88,0,66,74,0,13,14,0
ABBOTTABAD,DISTRICT,BROTHER/SISTER,WIDOWED,697,365,0,511,285,0,186,80,0
ABBOTTABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,60055,1576,,48535,1198,,11520,378,
ABBOTTABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,491,14,,418,12,,73,2,
ABBOTTABAD,DISTRICT,FATHER/MOTHER,DIVORCED,117,12,,92,11,,25,1,
ABBOTTABAD,DISTRICT,FATHER/MOTHER,MARRIED,9335,6046,,7131,4682,,2204,1364,
ABBOTTABAD,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,FATHER/MOTHER,SEPARATION,47,10,,35,7,,12,3,
ABBOTTABAD,DISTRICT,FATHER/MOTHER,WIDOWED,22002,2238,,17691,1823,,4311,415,
ABBOTTABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,1,2,,1,2,,0,0,
ABBOTTABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,99,100,,79,73,,20,27,
ABBOTTABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,1,,1,1,,0,0,
ABBOTTABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,1,3,,1,3,,0,0,
ABBOTTABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,475,83,,398,66,,77,17,
ABBOTTABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,11,2,0,9,2,0,2,0,0
ABBOTTABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,313,425,0,256,347,0,57,78,0
ABBOTTABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,3794,4389,0,2937,3456,0,857,933,0
ABBOTTABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,1,0,0,0,0,0,1,0,0
ABBOTTABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,4,2,0,4,2,0,0,0,0
ABBOTTABAD,DISTRICT,HEAD,DIVORCED,323,426,0,225,343,0,98,83,0
ABBOTTABAD,DISTRICT,HEAD,MARRIED,14630,197053,0,11943,152161,0,2687,44892,0
ABBOTTABAD,DISTRICT,HEAD,NEVER MARRIED,540,8387,25,366,5939,6,174,2448,19
ABBOTTABAD,DISTRICT,HEAD,SEPARATION,99,225,0,53,190,0,46,35,0
ABBOTTABAD,DISTRICT,HEAD,WIDOWED,9190,5935,0,7362,4858,0,1828,1077,0
ABBOTTABAD,DISTRICT,NEPHEW/NIECE,DIVORCED,8,5,0,7,5,0,1,0,0
