name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BADIN,DISTRICT,BROTHER/SISTER,DIVORCED,249,67,0,149,26,0,100,41,0
BADIN,DISTRICT,BROTHER/SISTER,MARRIED,760,4604,0,501,2871,0,259,1733,0
BADIN,DISTRICT,BROTHER/SISTER,NEVER MARRIED,7664,12077,4,5005,8048,1,2659,4029,3
BADIN,DISTRICT,BROTHER/SISTER,SEPARATION,132,39,0,88,26,0,44,13,0
BADIN,DISTRICT,BROTHER/SISTER,WIDOWED,792,256,0,560,188,0,232,68,0
BADIN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BADIN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,13179,1009,,9255,685,,3924,324,
BADIN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BADIN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
BADIN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,202,13,,135,10,,67,3,
BADIN,DISTRICT,FATHER/MOTHER,DIVORCED,78,5,,56,5,,22,0,
BADIN,DISTRICT,FATHER/MOTHER,MARRIED,5007,3075,,3775,2350,,1232,725,
BADIN,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BADIN,DISTRICT,FATHER/MOTHER,SEPARATION,132,16,,101,13,,31,3,
BADIN,DISTRICT,FATHER/MOTHER,WIDOWED,16850,1480,,12077,1133,,4773,347,
BADIN,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,1,0,,1,0,,0,0,
BADIN,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,135,104,,108,87,,27,17,
BADIN,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,3,,0,3,,0,0,
BADIN,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,3,4,,3,3,,0,1,
BADIN,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,751,130,,598,112,,153,18,
BADIN,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,1,1,0,1,0,0,0,1,0
BADIN,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,97,174,0,72,122,0,25,52,0
BADIN,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,680,971,0,387,627,0,293,344,0
BADIN,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,3,0,0,2,0,0,1,0,0
BADIN,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,4,1,0,4,1,0,0,0,0
BADIN,DISTRICT,HEAD,DIVORCED,245,315,0,145,182,0,100,133,0
BADIN,DISTRICT,HEAD,MARRIED,2560,366944,0,2064,288109,0,496,78835,0
BADIN,DISTRICT,HEAD,NEVER MARRIED,216,9010,22,171,6864,4,45,2146,18
BADIN,DISTRICT,HEAD,SEPARATION,192,308,0,133,221,0,59,87,0
BADIN,DISTRICT,HEAD,WIDOWED,11425,6319,0,8965,4775,0,2460,1544,0
