name_admin_unit,part_of_district,admin_unit,age_group,rel_hh_head,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AWARAN,AWARAN,DISTRICT,00 - 04,BROTHER/SISTER,300,139,161,,185,82,103,,115,57,58,
AWARAN,AWARAN,DISTRICT,00 - 04,BROTHER/SISTER IN LAW,14,3,11,,10,2,8,,4,1,3,
AWARAN,AWARAN,DISTRICT,00 - 04,FATHER/MOTHER,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,00 - 04,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,00 - 04,GRANDSON/GRANDDAUGHTER,1301,636,665,,1016,505,511,,285,131,154,
AWARAN,AWARAN,DISTRICT,00 - 04,HEAD,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,00 - 04,NEPHEW/NEICE,593,291,302,,355,178,177,,238,113,125,
AWARAN,AWARAN,DISTRICT,00 - 04,NON-RELATIVE,41,4,37,,21,3,18,,20,1,19,
AWARAN,AWARAN,DISTRICT,00 - 04,OTHER RELATIVE,148,57,91,,96,42,54,,52,15,37,
AWARAN,AWARAN,DISTRICT,00 - 04,SON/DAUGHTER,29084,14333,14751,,21488,10633,10855,,7596,3700,3896,
AWARAN,AWARAN,DISTRICT,00 - 04,SON/DAUGHTER IN LAW,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,00 - 04,SPOUSE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,05 - 09,BROTHER/SISTER,788,361,427,,553,255,298,,235,106,129,
AWARAN,AWARAN,DISTRICT,05 - 09,BROTHER/SISTER IN LAW,13,5,8,,9,4,5,,4,1,3,
AWARAN,AWARAN,DISTRICT,05 - 09,FATHER/MOTHER,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,05 - 09,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,05 - 09,GRANDSON/GRANDDAUGHTER,980,499,481,,734,365,369,,246,134,112,
AWARAN,AWARAN,DISTRICT,05 - 09,HEAD,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,05 - 09,NEPHEW/NEICE,633,302,331,,420,207,213,,213,95,118,
AWARAN,AWARAN,DISTRICT,05 - 09,NON-RELATIVE,83,24,59,,52,12,40,,31,12,19,
