name_admin_unit,part_of_district,admin_unit,age_group,rel_hh_head,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,BROTHER/SISTER,327,159,168,,232,112,120,,95,47,48,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,BROTHER/SISTER IN LAW,40,21,19,,28,14,14,,12,7,5,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,FATHER/MOTHER,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,GRANDSON/GRANDDAUGHTER,51756,25685,26071,,41857,20695,21162,,9899,4990,4909,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,HEAD,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,NEPHEW/NEICE,11390,5731,5659,,9092,4547,4545,,2298,1184,1114,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,NON-RELATIVE,122,49,73,,73,30,43,,49,19,30,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,OTHER RELATIVE,1061,514,547,,780,383,397,,281,131,150,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,SON/DAUGHTER,101909,50682,51227,,80422,40068,40354,,21487,10614,10873,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,SON/DAUGHTER IN LAW,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,SPOUSE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 09,BROTHER/SISTER,1219,602,617,,907,438,469,,312,164,148,
