name_admin_unit,part_of_district,admin_unit,age_group,rel_hh_head,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ATTOCK,ATTOCK,DISTRICT,00 - 04,BROTHER/SISTER,779,408,371,,522,269,253,,257,139,118,
ATTOCK,ATTOCK,DISTRICT,00 - 04,BROTHER/SISTER IN LAW,54,27,27,,44,23,21,,10,4,6,
ATTOCK,ATTOCK,DISTRICT,00 - 04,FATHER/MOTHER,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,GRANDSON/GRANDDAUGHTER,78872,39212,39660,,59593,29562,30031,,19279,9650,9629,
ATTOCK,ATTOCK,DISTRICT,00 - 04,HEAD,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,NEPHEW/NEICE,23331,11508,11823,,17354,8539,8815,,5977,2969,3008,
ATTOCK,ATTOCK,DISTRICT,00 - 04,NON-RELATIVE,687,331,356,,427,204,223,,260,127,133,
ATTOCK,ATTOCK,DISTRICT,00 - 04,OTHER RELATIVE,4273,2153,2120,,3250,1623,1627,,1023,530,493,
ATTOCK,ATTOCK,DISTRICT,00 - 04,SON/DAUGHTER,134305,67003,67302,,94876,47403,47473,,39429,19600,19829,
ATTOCK,ATTOCK,DISTRICT,00 - 04,SON/DAUGHTER IN LAW,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,SPOUSE,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,BROTHER/SISTER,2196,1099,1097,,1654,851,803,,542,248,294,
ATTOCK,ATTOCK,DISTRICT,05 - 09,BROTHER/SISTER IN LAW,38,22,16,,33,18,15,,5,4,1,
ATTOCK,ATTOCK,DISTRICT,05 - 09,FATHER/MOTHER,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,GRANDSON/GRANDDAUGHTER,47587,23751,23836,,36074,18022,18052,,11513,5729,5784,
ATTOCK,ATTOCK,DISTRICT,05 - 09,HEAD,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,NEPHEW/NEICE,18602,9282,9320,,14011,7022,6989,,4591,2260,2331,
ATTOCK,ATTOCK,DISTRICT,05 - 09,NON-RELATIVE,1790,528,1262,,1091,264,827,,699,264,435,
ATTOCK,ATTOCK,DISTRICT,05 - 09,OTHER RELATIVE,3460,1712,1748,,2513,1229,1284,,947,483,464,
ATTOCK,ATTOCK,DISTRICT,05 - 09,SON/DAUGHTER,157489,78878,78611,,110747,55477,55270,,46742,23401,23341,
ATTOCK,ATTOCK,DISTRICT,05 - 09,SON/DAUGHTER IN LAW,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,SPOUSE,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,BROTHER/SISTER,6015,3256,2759,,4436,2385,2051,,1579,871,708,
ATTOCK,ATTOCK,DISTRICT,10 - 14,BROTHER/SISTER IN LAW,49,25,24,,42,23,19,,7,2,5,
ATTOCK,ATTOCK,DISTRICT,10 - 14,FATHER/MOTHER,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
