name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ARANJI,KHUZDAR,SUB-TEHSIL,QADIANI/AHMADI,2,1,1,,2,1,1,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,CHRISTIAN,114,56,58,,114,56,58,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,HINDU JATI,1,,1,,1,,1,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,MUSLIM,50401,22409,27989,3,50401,22409,27989,3,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,OTHERS,14,8,6,,14,8,6,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,PARSI,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,SCHEDULED CASTE,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,SIKH,1,1,,,1,1,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,QADIANI/AHMADI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,CHRISTIAN,49,27,22,,49,27,22,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,HINDU JATI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,MUSLIM,25045,11533,13512,,25045,11533,13512,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,OTHERS,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,PARSI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,SCHEDULED CASTE,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,SIKH,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,QADIANI/AHMADI,4,2,2,,3,1,2,,1,1,,
AWARAN,AWARAN,DISTRICT,CHRISTIAN,551,245,306,,377,171,206,,174,74,100,
AWARAN,AWARAN,DISTRICT,HINDU JATI,12,3,9,,7,3,4,,5,,5,
AWARAN,AWARAN,DISTRICT,MUSLIM,177173,86483,90674,16,130650,63897,66742,11,46523,22586,23932,5
AWARAN,AWARAN,DISTRICT,OTHERS,1197,577,619,1,1072,515,556,1,125,62,63,
AWARAN,AWARAN,DISTRICT,PARSI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,SCHEDULED CASTE,7,2,5,,2,1,1,,5,1,4,
AWARAN,AWARAN,DISTRICT,SIKH,14,6,8,,11,6,5,,3,,3,
AWARAN,AWARAN,SUB-DIVISION,QADIANI/AHMADI,1,1,,,,,,,1,1,,
AWARAN,AWARAN,SUB-DIVISION,CHRISTIAN,122,63,59,,18,11,7,,104,52,52,
AWARAN,AWARAN,SUB-DIVISION,HINDU JATI,5,,5,,1,,1,,4,,4,
AWARAN,AWARAN,SUB-DIVISION,MUSLIM,45522,22457,23061,4,16975,8470,8505,,28547,13987,14556,4
AWARAN,AWARAN,SUB-DIVISION,OTHERS,122,61,61,,,,,,122,61,61,
AWARAN,AWARAN,SUB-DIVISION,PARSI,,,,,,,,,,,,
AWARAN,AWARAN,SUB-DIVISION,SCHEDULED CASTE,1,,1,,,,,,1,,1,
AWARAN,AWARAN,SUB-DIVISION,SIKH,1,,1,,,,,,1,,1,
BABA KOT,NASIRABAD,TEHSIL,QADIANI/AHMADI,1,,1,,1,,1,,,,,
BABA KOT,NASIRABAD,TEHSIL,CHRISTIAN,79,39,40,,79,39,40,,,,,
BABA KOT,NASIRABAD,TEHSIL,HINDU JATI,50,25,25,,50,25,25,,,,,
BABA KOT,NASIRABAD,TEHSIL,MUSLIM,53467,24926,28539,2,53467,24926,28539,2,,,,
BABA KOT,NASIRABAD,TEHSIL,OTHERS,62,31,31,,62,31,31,,,,,
BABA KOT,NASIRABAD,TEHSIL,PARSI,,,,,,,,,,,,
