name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,QADIANI/AHMADI,2398,1189,1209,,1186,588,598,,1212,601,611,
ISLAMABAD,ISLAMABAD,DISTRICT,CHRISTIAN,97281,47788,49490,3,42526,21014,21510,2,54755,26774,27980,1
ISLAMABAD,ISLAMABAD,DISTRICT,HINDU JATI,839,400,439,,272,126,146,,567,274,293,
ISLAMABAD,ISLAMABAD,DISTRICT,MUSLIM,2181663,1024180,1157217,266,1196025,569316,626661,48,985638,454864,530556,218
ISLAMABAD,ISLAMABAD,DISTRICT,OTHERS,948,369,578,1,187,102,85,,761,267,493,1
ISLAMABAD,ISLAMABAD,DISTRICT,PARSI,10,4,6,,3,,3,,7,4,3,
ISLAMABAD,ISLAMABAD,DISTRICT,SCHEDULED CASTE,45,20,25,,22,10,12,,23,10,13,
ISLAMABAD,ISLAMABAD,DISTRICT,SIKH,60,24,36,,23,9,14,,37,15,22,
ISLAMABAD,ISLAMABAD,TEHSIL,QADIANI/AHMADI,2398,1189,1209,,1186,588,598,,1212,601,611,
ISLAMABAD,ISLAMABAD,TEHSIL,CHRISTIAN,97281,47788,49490,3,42526,21014,21510,2,54755,26774,27980,1
ISLAMABAD,ISLAMABAD,TEHSIL,HINDU JATI,839,400,439,,272,126,146,,567,274,293,
ISLAMABAD,ISLAMABAD,TEHSIL,MUSLIM,2181663,1024180,1157217,266,1196025,569316,626661,48,985638,454864,530556,218
ISLAMABAD,ISLAMABAD,TEHSIL,OTHERS,948,369,578,1,187,102,85,,761,267,493,1
ISLAMABAD,ISLAMABAD,TEHSIL,PARSI,10,4,6,,3,,3,,7,4,3,
ISLAMABAD,ISLAMABAD,TEHSIL,SCHEDULED CASTE,45,20,25,,22,10,12,,23,10,13,
ISLAMABAD,ISLAMABAD,TEHSIL,SIKH,60,24,36,,23,9,14,,37,15,22,
