name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,QADIANI/AHMADI,21,11,10,0,15,8,7,0,6,3,3,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,CHRISTIAN,5818,3197,2620,1,3174,1809,1365,0,2644,1388,1255,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,HINDU JATI,97,49,48,0,48,16,32,0,49,33,16,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,MUSLIM,1391394,692187,699104,103,1083261,540293,542945,23,308133,151894,156159,80
ABBOTTABAD,ABBOTTABAD,DISTRICT,OTHERS,191,104,87,0,150,87,63,0,41,17,24,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,PARSI,6,3,3,0,4,2,2,0,2,1,1,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,SCHEDULED CASTE,17,7,10,0,16,7,9,0,1,0,1,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,SIKH,43,19,24,0,20,9,11,0,23,10,13,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,QADIANI/AHMADI,16,9,7,0,10,6,4,0,6,3,3,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,CHRISTIAN,4476,2427,2048,1,2106,1182,924,0,2370,1245,1124,1
ABBOTTABAD,ABBOTTABAD,TEHSIL,HINDU JATI,81,41,40,0,32,8,24,0,49,33,16,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,MUSLIM,977268,483611,493601,56,725230,359748,365464,18,252038,123863,128137,38
ABBOTTABAD,ABBOTTABAD,TEHSIL,OTHERS,80,42,38,0,46,29,17,0,34,13,21,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,PARSI,5,2,3,0,3,1,2,0,2,1,1,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,SCHEDULED CASTE,10,3,7,0,9,3,6,0,1,0,1,0
ABBOTTABAD,ABBOTTABAD,TEHSIL,SIKH,31,16,15,0,13,7,6,0,18,9,9,0
ADENZAI,LOWER DIR,SUB-DIVISION,QADIANI/AHMADI,6,3,3,0,6,3,3,0,0,0,0,0
ADENZAI,LOWER DIR,SUB-DIVISION,CHRISTIAN,938,525,413,0,938,525,413,0,0,0,0,0
ADENZAI,LOWER DIR,SUB-DIVISION,HINDU JATI,4,2,2,0,4,2,2,0,0,0,0,0
ADENZAI,LOWER DIR,SUB-DIVISION,MUSLIM,376594,184787,191800,7,376594,184787,191800,7,0,0,0,0
ADENZAI,LOWER DIR,SUB-DIVISION,OTHERS,17,5,12,0,17,5,12,0,0,0,0,0
ADENZAI,LOWER DIR,SUB-DIVISION,PARSI,0,0,0,0,0,0,0,0,0,0,0,0
ADENZAI,LOWER DIR,SUB-DIVISION,SCHEDULED CASTE,6,2,4,0,6,2,4,0,0,0,0,0
