name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AHMADPUR EAST,BAHAWALPUR,TEHSIL,QADIANI/AHMADI,570,285,285,,356,174,182,,214,111,103,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,CHRISTIAN,3072,1727,1345,,1956,1100,856,,1116,627,489,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,HINDU JATI,7213,3596,3616,1,2552,1318,1234,,4661,2278,2382,1
AHMADPUR EAST,BAHAWALPUR,TEHSIL,MUSLIM,1296252,635581,660541,130,953812,467868,485925,19,342440,167713,174616,111
AHMADPUR EAST,BAHAWALPUR,TEHSIL,OTHERS,60,27,32,1,37,18,19,,23,9,13,1
AHMADPUR EAST,BAHAWALPUR,TEHSIL,PARSI,4,1,3,,3,1,2,,1,,1,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,SCHEDULED CASTE,208,93,115,,91,35,56,,117,58,59,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,SIKH,29,12,17,,26,12,14,,3,,3,
AHMADPUR SIAL,JHANG,TEHSIL,QADIANI/AHMADI,342,160,182,,290,132,158,,52,28,24,
AHMADPUR SIAL,JHANG,TEHSIL,CHRISTIAN,1149,590,559,,979,497,482,,170,93,77,
AHMADPUR SIAL,JHANG,TEHSIL,HINDU JATI,5,1,4,,4,1,3,,1,,1,
AHMADPUR SIAL,JHANG,TEHSIL,MUSLIM,486391,234577,251778,36,406416,195674,210721,21,79975,38903,41057,15
AHMADPUR SIAL,JHANG,TEHSIL,OTHERS,9,4,5,,5,2,3,,4,2,2,
AHMADPUR SIAL,JHANG,TEHSIL,PARSI,,,,,,,,,,,,
AHMADPUR SIAL,JHANG,TEHSIL,SCHEDULED CASTE,4,1,3,,4,1,3,,,,,
AHMADPUR SIAL,JHANG,TEHSIL,SIKH,5,3,2,,5,3,2,,,,,
ALIPUR,MUZAFFARGARH,TEHSIL,QADIANI/AHMADI,136,63,73,,84,36,48,,52,27,25,
ALIPUR,MUZAFFARGARH,TEHSIL,CHRISTIAN,1893,1041,852,,1261,715,546,,632,326,306,
ALIPUR,MUZAFFARGARH,TEHSIL,HINDU JATI,211,101,110,,210,100,110,,1,1,,
ALIPUR,MUZAFFARGARH,TEHSIL,MUSLIM,758233,370015,388205,13,581035,283464,297563,8,177198,86551,90642,5
ALIPUR,MUZAFFARGARH,TEHSIL,OTHERS,22,9,13,,15,8,7,,7,1,6,
ALIPUR,MUZAFFARGARH,TEHSIL,PARSI,5,1,4,,5,1,4,,,,,
ALIPUR,MUZAFFARGARH,TEHSIL,SCHEDULED CASTE,7,5,2,,5,4,1,,2,1,1,
ALIPUR,MUZAFFARGARH,TEHSIL,SIKH,17,8,9,,16,8,8,,1,,1,
ARIF WALA,PAKPATTAN,TEHSIL,QADIANI/AHMADI,30,14,16,,9,3,6,,21,11,10,
