name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AIRPORT,MALIR,SUB-DIVISION,QADIANI/AHMADI,168,83,85,,,,,,168,83,85,
AIRPORT,MALIR,SUB-DIVISION,CHRISTIAN,15951,7746,8203,2,,,,,15951,7746,8203,2
AIRPORT,MALIR,SUB-DIVISION,HINDU JATI,2852,1382,1470,,,,,,2852,1382,1470,
AIRPORT,MALIR,SUB-DIVISION,MUSLIM,230261,111880,118351,30,,,,,230261,111880,118351,30
AIRPORT,MALIR,SUB-DIVISION,OTHERS,21,10,11,,,,,,21,10,11,
AIRPORT,MALIR,SUB-DIVISION,PARSI,1,1,,,,,,,1,1,,
AIRPORT,MALIR,SUB-DIVISION,SCHEDULED CASTE,13,5,8,,,,,,13,5,8,
AIRPORT,MALIR,SUB-DIVISION,SIKH,277,135,142,,,,,,277,135,142,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,QADIANI/AHMADI,4,3,1,,,,,,4,3,1,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,CHRISTIAN,2869,1362,1507,,,,,,2869,1362,1507,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,HINDU JATI,4569,2168,2401,,,,,,4569,2168,2401,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,MUSLIM,229464,105123,124336,5,,,,,229464,105123,124336,5
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OTHERS,237,118,119,,,,,,237,118,119,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,PARSI,34,14,20,,,,,,34,14,20,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,SCHEDULED CASTE,29,13,16,,,,,,29,13,16,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,SIKH,18,5,13,,,,,,18,5,13,
BADIN,BADIN,DISTRICT,QADIANI/AHMADI,792,332,460,,304,112,192,,488,220,268,
BADIN,BADIN,DISTRICT,CHRISTIAN,5212,2590,2622,,2442,1213,1229,,2770,1377,1393,
BADIN,BADIN,DISTRICT,HINDU JATI,393306,189831,203471,4,312803,150673,162126,4,80503,39158,41345,
BADIN,BADIN,DISTRICT,MUSLIM,1448447,693436,754945,66,1119024,535352,583645,27,329423,158084,171300,39
BADIN,BADIN,DISTRICT,OTHERS,2403,1106,1296,1,2325,1068,1256,1,78,38,40,
BADIN,BADIN,DISTRICT,PARSI,13,5,8,,13,5,8,,,,,
BADIN,BADIN,DISTRICT,SCHEDULED CASTE,95217,45970,49244,3,79636,38387,41246,3,15581,7583,7998,
BADIN,BADIN,DISTRICT,SIKH,27,17,10,,20,13,7,,7,4,3,
BADIN,BADIN,TALUKA,QADIANI/AHMADI,133,60,73,,26,10,16,,107,50,57,
BADIN,BADIN,TALUKA,CHRISTIAN,1492,750,742,,468,229,239,,1024,521,503,
BADIN,BADIN,TALUKA,HINDU JATI,40800,19597,21201,2,31670,15114,16554,2,9130,4483,4647,
BADIN,BADIN,TALUKA,MUSLIM,433987,207515,226456,16,306940,146395,160539,6,127047,61120,65917,10
BADIN,BADIN,TALUKA,OTHERS,766,352,414,,727,330,397,,39,22,17,
BADIN,BADIN,TALUKA,PARSI,,,,,,,,,,,,
BADIN,BADIN,TALUKA,SCHEDULED CASTE,11536,5547,5989,,7323,3513,3810,,4213,2034,2179,
BADIN,BADIN,TALUKA,SIKH,8,4,4,,5,4,1,,3,,3,
BAKRANI,LARKANA,TALUKA,QADIANI/AHMADI,3,1,2,,2,,2,,1,1,,
BAKRANI,LARKANA,TALUKA,CHRISTIAN,312,152,160,,219,107,112,,93,45,48,
BAKRANI,LARKANA,TALUKA,HINDU JATI,998,506,492,,913,462,451,,85,44,41,
BAKRANI,LARKANA,TALUKA,MUSLIM,273883,130518,143363,2,233290,111061,122227,2,40593,19457,21136,
BAKRANI,LARKANA,TALUKA,OTHERS,52,30,22,,52,30,22,,,,,
BAKRANI,LARKANA,TALUKA,PARSI,,,,,,,,,,,,
BAKRANI,LARKANA,TALUKA,SCHEDULED CASTE,15,9,6,,14,8,6,,1,1,,
BAKRANI,LARKANA,TALUKA,SIKH,5,,5,,5,,5,,,,,
BALDIA,KEAMARI,SUB-DIVISION,QADIANI/AHMADI,55,26,29,,,,,,55,26,29,
BALDIA,KEAMARI,SUB-DIVISION,CHRISTIAN,14327,6966,7354,7,,,,,14327,6966,7354,7
BALDIA,KEAMARI,SUB-DIVISION,HINDU JATI,2432,1195,1236,1,,,,,2432,1195,1236,1
BALDIA,KEAMARI,SUB-DIVISION,MUSLIM,931219,441871,489253,95,,,,,931219,441871,489253,95
BALDIA,KEAMARI,SUB-DIVISION,OTHERS,259,114,145,,,,,,259,114,145,
BALDIA,KEAMARI,SUB-DIVISION,PARSI,44,23,21,,,,,,44,23,21,
BALDIA,KEAMARI,SUB-DIVISION,SCHEDULED CASTE,10,3,7,,,,,,10,3,7,
BALDIA,KEAMARI,SUB-DIVISION,SIKH,53,25,28,,,,,,53,25,28,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,QADIANI/AHMADI,10,5,5,,10,5,5,,,,,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,CHRISTIAN,569,285,284,,343,149,194,,226,136,90,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,HINDU JATI,4383,2214,2169,,3446,1725,1721,,937,489,448,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,MUSLIM,324212,159289,164916,7,253527,124212,129309,6,70685,35077,35607,1
BHIRIA,NAUSHAHRO FEROZE,TALUKA,OTHERS,399,194,205,,163,83,80,,236,111,125,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,PARSI,,,,,,,,,,,,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,SCHEDULED CASTE,342,171,171,,266,127,139,,76,44,32,
BHIRIA,NAUSHAHRO FEROZE,TALUKA,SIKH,5,,5,,5,,5,,,,,
BIN QASIM,MALIR,SUB-DIVISION,QADIANI/AHMADI,142,72,70,,142,72,70,,,,,
BIN QASIM,MALIR,SUB-DIVISION,CHRISTIAN,3513,1711,1802,,3513,1711,1802,,,,,
BIN QASIM,MALIR,SUB-DIVISION,HINDU JATI,6083,2820,3261,2,6083,2820,3261,2,,,,
BIN QASIM,MALIR,SUB-DIVISION,MUSLIM,312547,145649,166862,36,312547,145649,166862,36,,,,
BIN QASIM,MALIR,SUB-DIVISION,OTHERS,131,38,93,,131,38,93,,,,,
BIN QASIM,MALIR,SUB-DIVISION,PARSI,2,,2,,2,,2,,,,,
BIN QASIM,MALIR,SUB-DIVISION,SCHEDULED CASTE,466,199,267,,466,199,267,,,,,
BIN QASIM,MALIR,SUB-DIVISION,SIKH,31,7,24,,31,7,24,,,,,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,QADIANI/AHMADI,25,7,18,,25,7,18,,,,,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,CHRISTIAN,469,236,233,,299,151,148,,170,85,85,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,HINDU JATI,32272,15672,16600,,31438,15263,16175,,834,409,425,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,MUSLIM,210942,101247,109690,5,205511,98635,106872,4,5431,2612,2818,1
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,OTHERS,140,66,74,,127,60,67,,13,6,7,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,PARSI,,,,,,,,,,,,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,SCHEDULED CASTE,3178,1552,1626,,3167,1543,1624,,11,9,2,
BULRI SHAH KARIM,TANDO MUHAMMAD KHAN,TALUKA,SIKH,1,,1,,1,,1,,,,,
CHACHRO,THARPARKAR,TALUKA,QADIANI/AHMADI,36,12,24,,31,11,20,,5,1,4,
CHACHRO,THARPARKAR,TALUKA,CHRISTIAN,267,151,116,,242,139,103,,25,12,13,
CHACHRO,THARPARKAR,TALUKA,HINDU JATI,44173,20862,23310,1,41710,19633,22076,1,2463,1229,1234,
CHACHRO,THARPARKAR,TALUKA,MUSLIM,239988,113578,126398,12,225155,106668,118475,12,14833,6910,7923,
CHACHRO,THARPARKAR,TALUKA,OTHERS,87,41,46,,83,39,44,,4,2,2,
CHACHRO,THARPARKAR,TALUKA,PARSI,,,,,,,,,,,,
CHACHRO,THARPARKAR,TALUKA,SCHEDULED CASTE,87189,42594,44594,1,79216,38636,40579,1,7973,3958,4015,
CHACHRO,THARPARKAR,TALUKA,SIKH,29,14,15,,23,10,13,,6,4,2,
CHAMBER,TANDO ALLAHYAR,TALUKA,QADIANI/AHMADI,953,496,457,,552,283,269,,401,213,188,
CHAMBER,TANDO ALLAHYAR,TALUKA,CHRISTIAN,142,65,77,,130,58,72,,12,7,5,
CHAMBER,TANDO ALLAHYAR,TALUKA,HINDU JATI,80112,39411,40700,1,70387,34549,35838,,9725,4862,4862,1
CHAMBER,TANDO ALLAHYAR,TALUKA,MUSLIM,143478,70953,72524,1,118547,58515,60032,,24931,12438,12492,1
CHAMBER,TANDO ALLAHYAR,TALUKA,OTHERS,71,36,35,,70,36,34,,1,,1,
CHAMBER,TANDO ALLAHYAR,TALUKA,PARSI,,,,,,,,,,,,
CHAMBER,TANDO ALLAHYAR,TALUKA,SCHEDULED CASTE,8667,4213,4454,,6031,2928,3103,,2636,1285,1351,
