name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
BADIN,BADIN,DISTRICT,00 - 04,AFGHANI,18,18,,11,11,,7,7,,,,
BADIN,BADIN,DISTRICT,00 - 04,BENGALI,1,,1,,,,1,,1,,,
BADIN,BADIN,DISTRICT,00 - 04,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,00 - 04,OTHERS,45,37,8,23,19,4,22,18,4,,,
BADIN,BADIN,DISTRICT,00 - 04,PAKISTANI,310800,249885,60915,150739,121202,29537,160061,128683,31378,,,
BADIN,BADIN,DISTRICT,05 - 09,AFGHANI,17,14,3,11,10,1,6,4,2,,,
BADIN,BADIN,DISTRICT,05 - 09,BENGALI,2,1,1,,,,2,1,1,,,
BADIN,BADIN,DISTRICT,05 - 09,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,05 - 09,OTHERS,47,42,5,25,22,3,22,20,2,,,
BADIN,BADIN,DISTRICT,05 - 09,PAKISTANI,314619,252292,62327,149460,119590,29870,165159,132702,32457,,,
BADIN,BADIN,DISTRICT,10 - 14,AFGHANI,16,12,4,8,5,3,8,7,1,,,
BADIN,BADIN,DISTRICT,10 - 14,BENGALI,1,1,,,,,1,1,,,,
BADIN,BADIN,DISTRICT,10 - 14,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,10 - 14,OTHERS,39,28,11,13,10,3,26,18,8,,,
BADIN,BADIN,DISTRICT,10 - 14,PAKISTANI,230180,180900,49280,107231,83627,23604,122939,97263,25676,10,10,
BADIN,BADIN,DISTRICT,15 - 19,AFGHANI,28,26,2,15,14,1,13,12,1,,,
BADIN,BADIN,DISTRICT,15 - 19,BENGALI,2,1,1,,,,2,1,1,,,
BADIN,BADIN,DISTRICT,15 - 19,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,15 - 19,OTHERS,51,43,8,26,23,3,25,20,5,,,
BADIN,BADIN,DISTRICT,15 - 19,PAKISTANI,181643,139089,42554,84091,64013,20078,97539,75065,22474,13,11,2
BADIN,BADIN,DISTRICT,20 - 24,AFGHANI,33,32,1,16,15,1,17,17,,,,
BADIN,BADIN,DISTRICT,20 - 24,BENGALI,2,2,,1,1,,1,1,,,,
BADIN,BADIN,DISTRICT,20 - 24,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,20 - 24,OTHERS,72,60,12,42,36,6,30,24,6,,,
BADIN,BADIN,DISTRICT,20 - 24,PAKISTANI,161400,124645,36755,81178,62842,18336,80220,61801,18419,2,2,
BADIN,BADIN,DISTRICT,25 - 29,AFGHANI,43,36,7,16,11,5,27,25,2,,,
BADIN,BADIN,DISTRICT,25 - 29,BENGALI,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,25 - 29,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,25 - 29,OTHERS,63,49,14,39,32,7,24,17,7,,,
BADIN,BADIN,DISTRICT,25 - 29,PAKISTANI,137499,105292,32207,64891,49558,15333,72601,55732,16869,7,2,5
BADIN,BADIN,DISTRICT,30 - 34,AFGHANI,37,34,3,21,20,1,16,14,2,,,
BADIN,BADIN,DISTRICT,30 - 34,BENGALI,1,1,,1,1,,,,,,,
BADIN,BADIN,DISTRICT,30 - 34,CHINESE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,30 - 34,OTHERS,58,47,11,34,25,9,24,22,2,,,
BADIN,BADIN,DISTRICT,30 - 34,PAKISTANI,121106,92037,29069,61555,47046,14509,59547,44990,14557,4,1,3
