name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ARANJI,KHUZDAR,SUB-TEHSIL,BALOCHI,1135,546,589,,1135,546,589,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,BALTI,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,BRAHVI,48420,21465,26952,3,48420,21465,26952,3,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,HINDKO,29,14,15,,29,14,15,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,KALASHA,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,KASHMIRI,1,1,,,1,1,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,KOHIOSTANI,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,MEWATI,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,OTHERS,11,7,4,,11,7,4,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,PUNJABI,1,,1,,1,,1,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,PUSHTO,880,422,458,,880,422,458,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,SARAIKI,3,,3,,3,,3,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,SHINA,17,7,10,,17,7,10,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,SINDHI,22,8,14,,22,8,14,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,TOTAL,50533,22475,28055,3,50533,22475,28055,3,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,URDU,14,5,9,,14,5,9,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,BALOCHI,22,15,7,,22,15,7,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,BALTI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,BRAHVI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,HINDKO,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,KALASHA,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,KASHMIRI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,KOHIOSTANI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,MEWATI,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,OTHERS,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,PUNJABI,1,1,,,1,1,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,PUSHTO,25064,11538,13526,,25064,11538,13526,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,SARAIKI,1,1,,,1,1,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,SHINA,,,,,,,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,SINDHI,2,2,,,2,2,,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,TOTAL,25094,11560,13534,,25094,11560,13534,,,,,
ASHWAT,ZHOB,SUB-TEHSIL,URDU,4,3,1,,4,3,1,,,,,
AWARAN,AWARAN,DISTRICT,BALOCHI,176418,86064,90337,17,130160,63618,66530,12,46258,22446,23807,5
AWARAN,AWARAN,DISTRICT,BALTI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,BRAHVI,2095,1062,1033,,1626,835,791,,469,227,242,
AWARAN,AWARAN,DISTRICT,HINDKO,2,,2,,2,,2,,,,,
AWARAN,AWARAN,DISTRICT,KALASHA,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,KASHMIRI,82,45,37,,54,28,26,,28,17,11,
AWARAN,AWARAN,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,MEWATI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,OTHERS,90,32,58,,86,31,55,,4,1,3,
