name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,BALOCHI,4503,1847,2656,,2096,912,1184,,2407,935,1472,
ISLAMABAD,ISLAMABAD,DISTRICT,BALTI,10315,4766,5549,,6557,3078,3479,,3758,1688,2070,
ISLAMABAD,ISLAMABAD,DISTRICT,BRAHVI,668,309,359,,284,134,150,,384,175,209,
ISLAMABAD,ISLAMABAD,DISTRICT,HINDKO,140780,65144,75634,2,72031,34103,37927,1,68749,31041,37707,1
ISLAMABAD,ISLAMABAD,DISTRICT,KALASHA,182,72,109,1,91,45,45,1,91,27,64,
ISLAMABAD,ISLAMABAD,DISTRICT,KASHMIRI,51920,23819,28100,1,37005,17367,19638,,14915,6452,8462,1
ISLAMABAD,ISLAMABAD,DISTRICT,KOHIOSTANI,5016,2142,2874,,3094,1462,1632,,1922,680,1242,
ISLAMABAD,ISLAMABAD,DISTRICT,MEWATI,1095,507,588,,461,218,243,,634,289,345,
ISLAMABAD,ISLAMABAD,DISTRICT,OTHERS,64734,30915,33819,,44649,21725,22924,,20085,9190,10895,
ISLAMABAD,ISLAMABAD,DISTRICT,PUNJABI,1154540,549227,605078,235,670561,321758,348767,36,483979,227469,256311,199
ISLAMABAD,ISLAMABAD,DISTRICT,PUSHTO,415838,188619,227211,8,180858,83511,97342,5,234980,105108,129869,3
ISLAMABAD,ISLAMABAD,DISTRICT,SARAIKI,46270,20692,25575,3,22790,10184,12604,2,23480,10508,12971,1
ISLAMABAD,ISLAMABAD,DISTRICT,SHINA,7099,3202,3897,,4082,1881,2201,,3017,1321,1696,
ISLAMABAD,ISLAMABAD,DISTRICT,SINDHI,21362,9758,11604,,10056,4651,5405,,11306,5107,6199,
ISLAMABAD,ISLAMABAD,DISTRICT,TOTAL,2283244,1073974,1209000,270,1240244,591165,649029,50,1043000,482809,559971,220
ISLAMABAD,ISLAMABAD,DISTRICT,URDU,358922,172955,185947,20,185629,90136,95488,5,173293,82819,90459,15
ISLAMABAD,ISLAMABAD,TEHSIL,BALOCHI,4503,1847,2656,,2096,912,1184,,2407,935,1472,
ISLAMABAD,ISLAMABAD,TEHSIL,BALTI,10315,4766,5549,,6557,3078,3479,,3758,1688,2070,
ISLAMABAD,ISLAMABAD,TEHSIL,BRAHVI,668,309,359,,284,134,150,,384,175,209,
ISLAMABAD,ISLAMABAD,TEHSIL,HINDKO,140780,65144,75634,2,72031,34103,37927,1,68749,31041,37707,1
ISLAMABAD,ISLAMABAD,TEHSIL,KALASHA,182,72,109,1,91,45,45,1,91,27,64,
ISLAMABAD,ISLAMABAD,TEHSIL,KASHMIRI,51920,23819,28100,1,37005,17367,19638,,14915,6452,8462,1
ISLAMABAD,ISLAMABAD,TEHSIL,KOHIOSTANI,5016,2142,2874,,3094,1462,1632,,1922,680,1242,
ISLAMABAD,ISLAMABAD,TEHSIL,MEWATI,1095,507,588,,461,218,243,,634,289,345,
ISLAMABAD,ISLAMABAD,TEHSIL,OTHERS,64734,30915,33819,,44649,21725,22924,,20085,9190,10895,
ISLAMABAD,ISLAMABAD,TEHSIL,PUNJABI,1154540,549227,605078,235,670561,321758,348767,36,483979,227469,256311,199
ISLAMABAD,ISLAMABAD,TEHSIL,PUSHTO,415838,188619,227211,8,180858,83511,97342,5,234980,105108,129869,3
ISLAMABAD,ISLAMABAD,TEHSIL,SARAIKI,46270,20692,25575,3,22790,10184,12604,2,23480,10508,12971,1
ISLAMABAD,ISLAMABAD,TEHSIL,SHINA,7099,3202,3897,,4082,1881,2201,,3017,1321,1696,
ISLAMABAD,ISLAMABAD,TEHSIL,SINDHI,21362,9758,11604,,10056,4651,5405,,11306,5107,6199,
ISLAMABAD,ISLAMABAD,TEHSIL,TOTAL,2283244,1073974,1209000,270,1240244,591165,649029,50,1043000,482809,559971,220
ISLAMABAD,ISLAMABAD,TEHSIL,URDU,358922,172955,185947,20,185629,90136,95488,5,173293,82819,90459,15
