name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
HAZARI,JHANG,TEHSIL,BALOCHI,53,27,26,,48,25,23,,5,2,3,
HAZARI,JHANG,TEHSIL,BALTI,,,,,,,,,,,,
HAZARI,JHANG,TEHSIL,BRAHVI,17,5,12,,17,5,12,,,,,
HAZARI,JHANG,TEHSIL,HINDKO,194,94,100,,194,94,100,,,,,
HAZARI,JHANG,TEHSIL,KALASHA,,,,,,,,,,,,
HAZARI,JHANG,TEHSIL,KASHMIRI,1409,735,674,,1409,735,674,,,,,
HAZARI,JHANG,TEHSIL,KOHIOSTANI,,,,,,,,,,,,
HAZARI,JHANG,TEHSIL,MEWATI,974,469,505,,974,469,505,,,,,
HAZARI,JHANG,TEHSIL,OTHERS,502,240,262,,383,187,196,,119,53,66,
HAZARI,JHANG,TEHSIL,PUNJABI,324721,157474,167217,30,295586,143406,152165,15,29135,14068,15052,15
HAZARI,JHANG,TEHSIL,PUSHTO,827,386,441,,653,299,354,,174,87,87,
HAZARI,JHANG,TEHSIL,SARAIKI,633,311,322,,606,296,310,,27,15,12,
HAZARI,JHANG,TEHSIL,SHINA,,,,,,,,,,,,
HAZARI,JHANG,TEHSIL,SINDHI,902,478,424,,470,265,205,,432,213,219,
HAZARI,JHANG,TEHSIL,TOTAL,332295,161284,170981,30,302158,146719,155424,15,30137,14565,15557,15
HAZARI,JHANG,TEHSIL,URDU,2063,1065,998,,1818,938,880,,245,127,118,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,BALOCHI,150,74,76,,87,40,47,,63,34,29,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,BALTI,5,2,3,,1,,1,,4,2,2,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,BRAHVI,28,19,9,,13,8,5,,15,11,4,
