name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AIRPORT,MALIR,SUB-DIVISION,BALOCHI,6878,3312,3566,,,,,,6878,3312,3566,
AIRPORT,MALIR,SUB-DIVISION,BALTI,190,101,89,,,,,,190,101,89,
AIRPORT,MALIR,SUB-DIVISION,BRAHVI,542,274,268,,,,,,542,274,268,
AIRPORT,MALIR,SUB-DIVISION,HINDKO,6474,3104,3370,,,,,,6474,3104,3370,
AIRPORT,MALIR,SUB-DIVISION,KALASHA,1,,1,,,,,,1,,1,
AIRPORT,MALIR,SUB-DIVISION,KASHMIRI,1252,604,648,,,,,,1252,604,648,
AIRPORT,MALIR,SUB-DIVISION,KOHIOSTANI,13,6,7,,,,,,13,6,7,
AIRPORT,MALIR,SUB-DIVISION,MEWATI,164,87,77,,,,,,164,87,77,
AIRPORT,MALIR,SUB-DIVISION,OTHERS,2291,1114,1177,,,,,,2291,1114,1177,
AIRPORT,MALIR,SUB-DIVISION,PUNJABI,49619,24113,25494,12,,,,,49619,24113,25494,12
AIRPORT,MALIR,SUB-DIVISION,PUSHTO,15529,7406,8123,,,,,,15529,7406,8123,
AIRPORT,MALIR,SUB-DIVISION,SARAIKI,22002,10434,11567,1,,,,,22002,10434,11567,1
AIRPORT,MALIR,SUB-DIVISION,SHINA,222,94,128,,,,,,222,94,128,
AIRPORT,MALIR,SUB-DIVISION,SINDHI,67315,32200,35104,11,,,,,67315,32200,35104,11
AIRPORT,MALIR,SUB-DIVISION,TOTAL,249544,121242,128270,32,,,,,249544,121242,128270,32
AIRPORT,MALIR,SUB-DIVISION,URDU,77052,38393,38651,8,,,,,77052,38393,38651,8
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,BALOCHI,707,293,413,1,,,,,707,293,413,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,BALTI,160,66,94,,,,,,160,66,94,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,BRAHVI,68,29,39,,,,,,68,29,39,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,HINDKO,2644,1192,1452,,,,,,2644,1192,1452,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,KALASHA,13,5,8,,,,,,13,5,8,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,KASHMIRI,385,147,238,,,,,,385,147,238,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,KOHIOSTANI,39,16,23,,,,,,39,16,23,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,MEWATI,23,6,17,,,,,,23,6,17,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OTHERS,44508,21490,23017,1,,,,,44508,21490,23017,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,PUNJABI,10307,4661,5646,,,,,,10307,4661,5646,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,PUSHTO,21281,8328,12953,,,,,,21281,8328,12953,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,SARAIKI,2655,1008,1647,,,,,,2655,1008,1647,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,SHINA,79,48,31,,,,,,79,48,31,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,SINDHI,10149,4534,5614,1,,,,,10149,4534,5614,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,TOTAL,237224,108806,128413,5,,,,,237224,108806,128413,5
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,URDU,144206,66983,77221,2,,,,,144206,66983,77221,2
BADIN,BADIN,DISTRICT,BALOCHI,4335,2063,2272,,3703,1745,1958,,632,318,314,
BADIN,BADIN,DISTRICT,BALTI,,,,,,,,,,,,
