name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
AWARAN,AWARAN,DISTRICT,Population >=5,147477,75605,71855,17,108951,55790,53149,12,38526,19815,18706,5
AWARAN,AWARAN,DISTRICT,Population >=10,116409,59799,56593,17,85549,43937,41600,12,30860,15862,14993,5
AWARAN,AWARAN,DISTRICT,Literate >=10,42298,26477,15816,5,28432,18173,10257,2,13866,8304,5559,3
AWARAN,AWARAN,DISTRICT,Literate %,36.34,44.28,27.95,29.41,33.23,41.36,24.66,16.67,44.93,52.35,37.08,60
AWARAN,AWARAN,DISTRICT,Ever Attended,55636,32925,22707,4,37831,22720,15110,1,17805,10205,7597,3
AWARAN,AWARAN,DISTRICT,Primary Completed,4608,2628,1980,,3220,1924,1296,,1388,704,684,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,21642,11014,10628,,16366,8476,7890,,5276,2538,2738,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,6554,3706,2848,,4117,2396,1721,,2437,1310,1127,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,2654,1493,1160,1,1610,962,648,,1044,531,512,1
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,2144,1276,865,3,1355,856,498,1,789,420,367,2
AWARAN,AWARAN,DISTRICT,Enrolment Graduation above,1868,1227,641,,1013,705,308,,855,522,333,
AWARAN,AWARAN,DISTRICT,Never to School (all),91841,42680,49148,13,71120,33070,38039,11,20721,9610,11109,2
AWARAN,AWARAN,DISTRICT,Drop Out (5 - 16),2511,1290,1221,,1772,919,853,,739,371,368,
AWARAN,AWARAN,DISTRICT,Never to School (5-16),30940,15393,15546,1,24400,11951,12449,,6540,3442,3097,1
AWARAN,AWARAN,DISTRICT,Out of School Children (5-16),33451,16683,16767,1,26172,12870,13302,,7279,3813,3465,1
AWARAN,AWARAN,SUB-DIVISION,Population >=5,36749,18419,18326,4,13707,6807,6900,,23042,11612,11426,4
AWARAN,AWARAN,SUB-DIVISION,Population >=10,28195,14074,14117,4,10384,5165,5219,,17811,8909,8898,4
AWARAN,AWARAN,SUB-DIVISION,Literate >=10,12097,7164,4930,3,3790,2302,1488,,8307,4862,3442,3
AWARAN,AWARAN,SUB-DIVISION,Literate %,42.9,50.9,34.92,75,36.5,44.57,28.51,,46.64,54.57,38.68,75
AWARAN,AWARAN,SUB-DIVISION,Ever Attended,16510,9334,7173,3,5732,3255,2477,,10778,6079,4696,3
AWARAN,AWARAN,SUB-DIVISION,Primary Completed,1352,728,624,,412,230,182,,940,498,442,
AWARAN,AWARAN,SUB-DIVISION,Enrolment Primary,6021,2915,3106,,2498,1232,1266,,3523,1683,1840,
AWARAN,AWARAN,SUB-DIVISION,Enrolment Middle,2235,1189,1046,,713,393,320,,1522,796,726,
AWARAN,AWARAN,SUB-DIVISION,Enrolment Matric,984,514,469,1,297,171,126,,687,343,343,1
AWARAN,AWARAN,SUB-DIVISION,Enrolment Intermidiate,746,398,346,2,256,147,109,,490,251,237,2
AWARAN,AWARAN,SUB-DIVISION,Enrolment Graduation above,702,438,264,,288,177,111,,414,261,153,
AWARAN,AWARAN,SUB-DIVISION,Never to School (all),20239,9085,11153,1,7975,3552,4423,,12264,5533,6730,1
AWARAN,AWARAN,SUB-DIVISION,Drop Out (5 - 16),716,362,354,,257,131,126,,459,231,228,
AWARAN,AWARAN,SUB-DIVISION,Never to School (5-16),6943,3485,3457,1,2699,1256,1443,,4244,2229,2014,1
AWARAN,AWARAN,SUB-DIVISION,Out of School Children (5-16),7659,3847,3811,1,2956,1387,1569,,4703,2460,2242,1
GISHKORE,AWARAN,TEHSIL,Population >=5,26236,13419,12814,3,26236,13419,12814,3,,,,
GISHKORE,AWARAN,TEHSIL,Population >=10,20875,10658,10214,3,20875,10658,10214,3,,,,
GISHKORE,AWARAN,TEHSIL,Literate >=10,7585,4875,2709,1,7585,4875,2709,1,,,,
GISHKORE,AWARAN,TEHSIL,Literate %,36.34,45.74,26.52,33.33,36.34,45.74,26.52,33.33,,,,
GISHKORE,AWARAN,TEHSIL,Ever Attended,10927,6626,4301,,10927,6626,4301,,,,,
GISHKORE,AWARAN,TEHSIL,Primary Completed,987,552,435,,987,552,435,,,,,
GISHKORE,AWARAN,TEHSIL,Enrolment Primary,4508,2332,2176,,4508,2332,2176,,,,,
GISHKORE,AWARAN,TEHSIL,Enrolment Middle,1436,818,618,,1436,818,618,,,,,
GISHKORE,AWARAN,TEHSIL,Enrolment Matric,519,297,222,,519,297,222,,,,,
GISHKORE,AWARAN,TEHSIL,Enrolment Intermidiate,419,274,145,,419,274,145,,,,,
GISHKORE,AWARAN,TEHSIL,Enrolment Graduation above,279,214,65,,279,214,65,,,,,
GISHKORE,AWARAN,TEHSIL,Never to School (all),15309,6793,8513,3,15309,6793,8513,3,,,,
GISHKORE,AWARAN,TEHSIL,Drop Out (5 - 16),504,277,227,,504,277,227,,,,,
GISHKORE,AWARAN,TEHSIL,Never to School (5-16),4251,2063,2188,,4251,2063,2188,,,,,
GISHKORE,AWARAN,TEHSIL,Out of School Children (5-16),4755,2340,2415,,4755,2340,2415,,,,,
JHAL JAO,AWARAN,TEHSIL,Population >=5,23016,11822,11191,3,23016,11822,11191,3,,,,
JHAL JAO,AWARAN,TEHSIL,Population >=10,17843,9161,8679,3,17843,9161,8679,3,,,,
JHAL JAO,AWARAN,TEHSIL,Literate >=10,4750,3056,1694,,4750,3056,1694,,,,,
JHAL JAO,AWARAN,TEHSIL,Literate %,26.62,33.36,19.52,,26.62,33.36,19.52,,,,,
JHAL JAO,AWARAN,TEHSIL,Ever Attended,6350,3782,2568,,6350,3782,2568,,,,,
JHAL JAO,AWARAN,TEHSIL,Primary Completed,567,369,198,,567,369,198,,,,,
