name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
ATTOCK,ATTOCK,DISTRICT,Population >=5,1890704,950034,940589,81,1370290,687296,682976,18,520414,262738,257613,63
ATTOCK,ATTOCK,DISTRICT,Population >=10,1659542,834144,825317,81,1204167,604056,600093,18,455375,230088,225224,63
ATTOCK,ATTOCK,DISTRICT,Literate >=10,1165399,664721,500631,47,809399,469630,339756,13,356000,195091,160875,34
ATTOCK,ATTOCK,DISTRICT,Literate %,70.22,79.69,60.66,58.02,67.22,77.75,56.62,72.22,78.18000000000001,84.79000000000001,71.43000000000001,53.97
ATTOCK,ATTOCK,DISTRICT,Ever Attended,1350821,761535,589239,47,945205,540859,404333,13,405616,220676,184906,34
ATTOCK,ATTOCK,DISTRICT,Primary Completed,190969,96242,94720,7,147698,74296,73400,2,43271,21946,21320,5
ATTOCK,ATTOCK,DISTRICT,Enrolment Primary,254799,130710,124088,1,185510,95331,90179,,69289,35379,33909,1
ATTOCK,ATTOCK,DISTRICT,Enrolment Middle,120545,61132,59413,,85668,43675,41993,,34877,17457,17420,
ATTOCK,ATTOCK,DISTRICT,Enrolment Matric,68621,35187,33433,1,46190,23777,22412,1,22431,11410,11021,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,37189,18856,18331,2,22611,11377,11232,2,14578,7479,7099,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,28239,12018,16221,,14586,6116,8470,,13653,5902,7751,
ATTOCK,ATTOCK,DISTRICT,Never to School (all),539883,188499,351350,34,425085,146437,278643,5,114798,42062,72707,29
ATTOCK,ATTOCK,DISTRICT,Drop Out (5 - 16),51281,26382,24896,3,38376,19183,19192,1,12905,7199,5704,2
ATTOCK,ATTOCK,DISTRICT,Never to School (5-16),45514,19531,25983,,30620,12150,18470,,14894,7381,7513,
ATTOCK,ATTOCK,DISTRICT,Out of School Children (5-16),96795,45913,50879,3,68996,31333,37662,1,27799,14580,13217,2
ATTOCK,ATTOCK,TEHSIL,Population >=5,422835,213482,209325,28,198122,100239,97878,5,224713,113243,111447,23
ATTOCK,ATTOCK,TEHSIL,Population >=10,369920,186799,183093,28,173448,87736,85707,5,196472,99063,97386,23
ATTOCK,ATTOCK,TEHSIL,Literate >=10,276690,152820,123852,18,114616,65583,49028,5,162074,87237,74824,13
ATTOCK,ATTOCK,TEHSIL,Literate %,74.8,81.81,67.64,64.29000000000001,66.08,74.75,57.2,100,82.48999999999999,88.06,76.83,56.52
ATTOCK,ATTOCK,TEHSIL,Ever Attended,320199,175465,144716,18,135533,76605,58923,5,184666,98860,85793,13
ATTOCK,ATTOCK,TEHSIL,Primary Completed,36472,18114,18356,2,19574,9981,9592,1,16898,8133,8764,1
ATTOCK,ATTOCK,TEHSIL,Enrolment Primary,58157,29917,28240,,27083,14062,13021,,31074,15855,15219,
ATTOCK,ATTOCK,TEHSIL,Enrolment Middle,28143,14034,14109,,12388,6188,6200,,15755,7846,7909,
ATTOCK,ATTOCK,TEHSIL,Enrolment Matric,16794,8602,8192,,6799,3525,3274,,9995,5077,4918,
ATTOCK,ATTOCK,TEHSIL,Enrolment Intermidiate,10462,5253,5208,1,3439,1704,1734,1,7023,3549,3474,
ATTOCK,ATTOCK,TEHSIL,Enrolment Graduation above,10118,4445,5673,,2292,1029,1263,,7826,3416,4410,
ATTOCK,ATTOCK,TEHSIL,Never to School (all),102636,38017,64609,10,62589,23634,38955,,40047,14383,25654,10
ATTOCK,ATTOCK,TEHSIL,Drop Out (5 - 16),10252,5414,4838,,5684,2870,2814,,4568,2544,2024,
ATTOCK,ATTOCK,TEHSIL,Never to School (5-16),10470,4711,5759,,5282,2143,3139,,5188,2568,2620,
ATTOCK,ATTOCK,TEHSIL,Out of School Children (5-16),20722,10125,10597,,10966,5013,5953,,9756,5112,4644,
FATEH JANG,ATTOCK,TEHSIL,Population >=5,331370,167303,164050,17,259987,131410,128572,5,71383,35893,35478,12
FATEH JANG,ATTOCK,TEHSIL,Population >=10,290441,146772,143652,17,228436,115614,112817,5,62005,31158,30835,12
FATEH JANG,ATTOCK,TEHSIL,Literate >=10,194425,112578,81838,9,148768,87168,61598,2,45657,25410,20240,7
FATEH JANG,ATTOCK,TEHSIL,Literate %,66.94,76.7,56.97,52.94,65.12,75.40000000000001,54.6,40,73.63,81.55,65.64,58.33
FATEH JANG,ATTOCK,TEHSIL,Ever Attended,227189,129685,97495,9,174081,100504,73575,2,53108,29181,23920,7
FATEH JANG,ATTOCK,TEHSIL,Primary Completed,35320,18336,16981,3,28636,14754,13882,,6684,3582,3099,3
FATEH JANG,ATTOCK,TEHSIL,Enrolment Primary,44581,22901,21679,1,35100,18027,17073,,9481,4874,4606,1
FATEH JANG,ATTOCK,TEHSIL,Enrolment Middle,20481,10419,10062,,15874,8165,7709,,4607,2254,2353,
FATEH JANG,ATTOCK,TEHSIL,Enrolment Matric,11347,5745,5602,,8313,4245,4068,,3034,1500,1534,
FATEH JANG,ATTOCK,TEHSIL,Enrolment Intermidiate,5836,2989,2847,,4107,2186,1921,,1729,803,926,
FATEH JANG,ATTOCK,TEHSIL,Enrolment Graduation above,4007,1562,2445,,2492,983,1509,,1515,579,936,
FATEH JANG,ATTOCK,TEHSIL,Never to School (all),104181,37618,66555,8,85906,30906,54997,3,18275,6712,11558,5
FATEH JANG,ATTOCK,TEHSIL,Drop Out (5 - 16),9331,4965,4366,,7048,3519,3529,,2283,1446,837,
FATEH JANG,ATTOCK,TEHSIL,Never to School (5-16),8860,3785,5075,,5926,2288,3638,,2934,1497,1437,
FATEH JANG,ATTOCK,TEHSIL,Out of School Children (5-16),18191,8750,9441,,12974,5807,7167,,5217,2943,2274,
HASAN ABDAL,ATTOCK,TEHSIL,Population >=5,222119,113248,108858,13,160916,81767,79148,1,61203,31481,29710,12
HASAN ABDAL,ATTOCK,TEHSIL,Population >=10,192046,98198,93835,13,138724,70615,68108,1,53322,27583,25727,12
HASAN ABDAL,ATTOCK,TEHSIL,Literate >=10,134854,75486,59362,6,95818,53881,41936,1,39036,21605,17426,5
HASAN ABDAL,ATTOCK,TEHSIL,Literate %,70.22,76.87,63.26,46.15,69.06999999999999,76.3,61.57,100,73.20999999999999,78.33,67.73,41.67
HASAN ABDAL,ATTOCK,TEHSIL,Ever Attended,155924,86574,69344,6,112075,62664,49410,1,43849,23910,19934,5
HASAN ABDAL,ATTOCK,TEHSIL,Primary Completed,22944,11715,11228,1,17952,9008,8944,,4992,2707,2284,1
HASAN ABDAL,ATTOCK,TEHSIL,Enrolment Primary,31804,16256,15548,,24011,12339,11672,,7793,3917,3876,
HASAN ABDAL,ATTOCK,TEHSIL,Enrolment Middle,14801,7495,7306,,10832,5578,5254,,3969,1917,2052,
HASAN ABDAL,ATTOCK,TEHSIL,Enrolment Matric,8137,4148,3989,,5374,2754,2620,,2763,1394,1369,
HASAN ABDAL,ATTOCK,TEHSIL,Enrolment Intermidiate,4425,2372,2053,,2580,1289,1291,,1845,1083,762,
HASAN ABDAL,ATTOCK,TEHSIL,Enrolment Graduation above,2846,1282,1564,,1561,680,881,,1285,602,683,
HASAN ABDAL,ATTOCK,TEHSIL,Never to School (all),66195,26674,39514,7,48841,19103,29738,,17354,7571,9776,7
HASAN ABDAL,ATTOCK,TEHSIL,Drop Out (5 - 16),6770,3496,3274,,5248,2651,2597,,1522,845,677,
HASAN ABDAL,ATTOCK,TEHSIL,Never to School (5-16),7997,3666,4331,,5062,2171,2891,,2935,1495,1440,
HASAN ABDAL,ATTOCK,TEHSIL,Out of School Children (5-16),14767,7162,7605,,10310,4822,5488,,4457,2340,2117,
HAZRO,ATTOCK,TEHSIL,Population >=5,341414,172435,168973,6,285321,144101,141218,2,56093,28334,27755,4
HAZRO,ATTOCK,TEHSIL,Population >=10,299348,151453,147889,6,249933,126433,123498,2,49415,25020,24391,4
HAZRO,ATTOCK,TEHSIL,Literate >=10,198919,115709,83204,6,164863,95976,68885,2,34056,19733,14319,4
HAZRO,ATTOCK,TEHSIL,Literate %,66.45,76.40000000000001,56.26,100,65.95999999999999,75.91,55.78,100,68.92,78.87,58.71,100
HAZRO,ATTOCK,TEHSIL,Ever Attended,231534,132934,98594,6,192670,110588,82080,2,38864,22346,16514,4
HAZRO,ATTOCK,TEHSIL,Primary Completed,35311,18162,17149,,30223,15488,14735,,5088,2674,2414,
HAZRO,ATTOCK,TEHSIL,Enrolment Primary,47633,24564,23069,,40253,20847,19406,,7380,3717,3663,
HAZRO,ATTOCK,TEHSIL,Enrolment Middle,22380,11552,10828,,18500,9466,9034,,3880,2086,1794,
HAZRO,ATTOCK,TEHSIL,Enrolment Matric,12026,6197,5828,1,9738,4973,4764,1,2288,1224,1064,
HAZRO,ATTOCK,TEHSIL,Enrolment Intermidiate,5838,3039,2798,1,4657,2385,2271,1,1181,654,527,
HAZRO,ATTOCK,TEHSIL,Enrolment Graduation above,3835,1919,1916,,3050,1485,1565,,785,434,351,
HAZRO,ATTOCK,TEHSIL,Never to School (all),109880,39501,70379,,92651,33513,59138,,17229,5988,11241,
HAZRO,ATTOCK,TEHSIL,Drop Out (5 - 16),9447,4860,4587,,8307,4239,4068,,1140,621,519,
HAZRO,ATTOCK,TEHSIL,Never to School (5-16),10361,4318,6043,,8347,3389,4958,,2014,929,1085,
HAZRO,ATTOCK,TEHSIL,Out of School Children (5-16),19808,9178,10630,,16654,7628,9026,,3154,1550,1604,
JAND,ATTOCK,TEHSIL,Population >=5,296703,146010,150686,7,246441,121275,125163,3,50262,24735,25523,4
JAND,ATTOCK,TEHSIL,Population >=10,263148,129166,133975,7,219158,107622,111533,3,43990,21544,22442,4
JAND,ATTOCK,TEHSIL,Literate >=10,188382,110044,78334,4,154274,91234,63038,2,34108,18810,15296,2
