name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,10 - 12,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,13 - 14,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,15 - 24,3113,1460,1653,,2648,1203,1445,,465,257,208,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,15 - 49,3480,1637,1843,,2958,1356,1602,,522,281,241,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,25 - 40,356,173,183,,302,150,152,,54,23,31,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,41 - 60,14,4,10,,10,3,7,,4,1,3,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,5 - 16,147,61,86,,122,52,70,,25,9,16,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,5 - 9,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,>18,2583,1226,1357,,2213,1017,1196,,370,209,161,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,>60,4,3,1,,3,2,1,,1,1,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,10 - 12,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,13 - 14,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,15 - 24,4180,1710,2470,,3660,1479,2181,,520,231,289,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,15 - 49,4279,1742,2537,,3748,1505,2243,,531,237,294,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,25 - 40,82,28,54,,71,22,49,,11,6,5,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,41 - 60,22,7,15,,21,7,14,,1,,1,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,5 - 16,1702,706,996,,1490,605,885,,212,101,111,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,5 - 9,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,>18,964,370,594,,855,322,533,,109,48,61,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,>60,2,,2,,1,,1,,1,,1,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,10 - 12,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,13 - 14,4773,1999,2774,,4259,1750,2509,,514,249,265,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,15 - 24,4242,1712,2530,,3805,1514,2291,,437,198,239,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,15 - 49,4242,1712,2530,,3805,1514,2291,,437,198,239,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,25 - 40,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,41 - 60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,5 - 16,7935,3281,4654,,7091,2887,4204,,844,394,450,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,5 - 9,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,>18,239,105,134,,217,92,125,,22,13,9,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,>60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,10 - 12,10450,4670,5780,,9309,4170,5139,,1141,500,641,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,13 - 14,4951,2094,2857,,4456,1867,2589,,495,227,268,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,15 - 24,1486,600,886,,1350,531,819,,136,69,67,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,15 - 49,1486,600,886,,1350,531,819,,136,69,67,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,25 - 40,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,41 - 60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,5 - 16,16583,7232,9351,,14832,6445,8387,,1751,787,964,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,5 - 9,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,>18,71,27,44,,65,25,40,,6,2,4,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,>60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,10 - 12,8396,4030,4366,,7674,3668,4006,,722,362,360,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,13 - 14,882,352,530,,807,323,484,,75,29,46,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,15 - 24,190,76,114,,171,64,107,,19,12,7,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,15 - 49,190,76,114,,171,64,107,,19,12,7,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,25 - 40,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,41 - 60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,5 - 16,45526,21623,23903,,41297,19519,21778,,4229,2104,2125,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,5 - 9,36104,17186,18918,,32687,15483,17204,,3417,1703,1714,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,>18,18,7,11,,15,6,9,,3,1,2,
-HAZARI,JHANG,TEHSIL,Enrolment Primary,>60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Ever Attended,10 - 12,21133,9852,11281,,19016,8933,10083,,2117,919,1198,
-HAZARI,JHANG,TEHSIL,Ever Attended,13 - 14,13831,6002,7829,,12453,5403,7050,,1378,599,779,
-HAZARI,JHANG,TEHSIL,Ever Attended,15 - 24,42941,18095,24841,5,39097,16303,22794,,3844,1792,2047,5
-HAZARI,JHANG,TEHSIL,Ever Attended,15 - 49,89738,32792,56938,8,81474,29424,52048,2,8264,3368,4890,6
-HAZARI,JHANG,TEHSIL,Ever Attended,25 - 40,35598,12041,23554,3,32224,10738,21484,2,3374,1303,2070,1
-HAZARI,JHANG,TEHSIL,Ever Attended,41 - 60,18234,3753,14480,1,16575,3384,13190,1,1659,369,1290,
