name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,10 - 12,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,13 - 14,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,15 - 24,9023,4364,4658,1,,,,,9023,4364,4658,1
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,15 - 49,10549,4990,5558,1,,,,,10549,4990,5558,1
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,25 - 40,1462,593,869,,,,,,1462,593,869,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,41 - 60,103,49,54,,,,,,103,49,54,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,5 - 16,250,142,108,,,,,,250,142,108,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,5 - 9,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,>18,8638,4026,4612,,,,,,8638,4026,4612,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,>60,11,2,9,,,,,,11,2,9,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,10 - 12,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,13 - 14,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,15 - 24,6314,2947,3367,,,,,,6314,2947,3367,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,15 - 49,6461,3001,3460,,,,,,6461,3001,3460,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,25 - 40,130,44,86,,,,,,130,44,86,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,41 - 60,22,11,11,,,,,,22,11,11,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,5 - 16,2496,1248,1248,,,,,,2496,1248,1248,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,5 - 9,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,>18,1475,604,871,,,,,,1475,604,871,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,>60,4,2,2,,,,,,4,2,2,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,10 - 12,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,13 - 14,3218,1847,1371,,,,,,3218,1847,1371,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,15 - 24,3475,1610,1865,,,,,,3475,1610,1865,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,15 - 49,3475,1610,1865,,,,,,3475,1610,1865,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,25 - 40,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,41 - 60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,5 - 16,5691,3055,2636,,,,,,5691,3055,2636,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,5 - 9,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,>18,224,95,129,,,,,,224,95,129,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,>60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,10 - 12,6882,3415,3467,,,,,,6882,3415,3467,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,13 - 14,3932,1987,1945,,,,,,3932,1987,1945,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,15 - 24,1359,636,723,,,,,,1359,636,723,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,15 - 49,1359,636,723,,,,,,1359,636,723,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,25 - 40,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,41 - 60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,5 - 16,11899,5905,5994,,,,,,11899,5905,5994,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,5 - 9,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,>18,72,38,34,,,,,,72,38,34,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,>60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,10 - 12,6628,3108,3520,,,,,,6628,3108,3520,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,13 - 14,804,359,445,,,,,,804,359,445,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,15 - 24,220,96,124,,,,,,220,96,124,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,15 - 49,220,96,124,,,,,,220,96,124,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,25 - 40,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,41 - 60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,5 - 16,27905,13276,14629,,,,,,27905,13276,14629,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,5 - 9,20309,9734,10575,,,,,,20309,9734,10575,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,>18,16,4,12,,,,,,16,4,12,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,>60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,10 - 12,14805,7096,7709,,,,,,14805,7096,7709,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,13 - 14,9114,4769,4345,,,,,,9114,4769,4345,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,15 - 24,37286,18063,19220,3,,,,,37286,18063,19220,3
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,15 - 49,102560,48297,54249,14,,,,,102560,48297,54249,14
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,25 - 40,47151,22382,24759,10,,,,,47151,22382,24759,10
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,41 - 60,32395,13654,18739,2,,,,,32395,13654,18739,2
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,5 - 16,53624,26185,27439,,,,,,53624,26185,27439,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,5 - 9,21535,10308,11227,,,,,,21535,10308,11227,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,>18,111608,50609,60985,14,,,,,111608,50609,60985,14
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,>60,10558,4124,6434,,,,,,10558,4124,6434,
AIRPORT,MALIR,SUB-DIVISION,Literate,10 - 12,14255,6828,7427,,,,,,14255,6828,7427,
AIRPORT,MALIR,SUB-DIVISION,Literate,13 - 14,9043,4705,4338,,,,,,9043,4705,4338,
AIRPORT,MALIR,SUB-DIVISION,Literate,15 - 24,38475,18699,19773,3,,,,,38475,18699,19773,3
AIRPORT,MALIR,SUB-DIVISION,Literate,15 - 49,106866,50550,56302,14,,,,,106866,50550,56302,14
AIRPORT,MALIR,SUB-DIVISION,Literate,25 - 40,49282,23500,25772,10,,,,,49282,23500,25772,10
AIRPORT,MALIR,SUB-DIVISION,Literate,41 - 60,34300,14626,19672,2,,,,,34300,14626,19672,2
