name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,11 - 13,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,14 - 15,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,15 - 24,15,2,13,,15,2,13,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,15 - 49,16,2,14,,16,2,14,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,25 - 40,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,41 - 60,1,,1,,1,,1,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,5,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,5 - 16,2,1,1,,2,1,1,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,6 - 10,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,>18,10,1,9,,10,1,9,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Graduation ab,>60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,14 - 15,4,1,3,,4,1,3,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,15 - 24,16,3,13,,16,3,13,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,15 - 49,21,4,17,,21,4,17,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,25 - 40,4,1,3,,4,1,3,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,41 - 60,2,,2,,2,,2,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,5,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,5 - 16,7,3,4,,7,3,4,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,>18,10,1,9,,10,1,9,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Intermidiate,>60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,11 - 13,20,2,18,,20,2,18,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,14 - 15,24,3,21,,24,3,21,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,15 - 24,42,12,30,,42,12,30,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,15 - 49,42,12,30,,42,12,30,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,25 - 40,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,41 - 60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,5,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,5 - 16,54,7,47,,54,7,47,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,6 - 10,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,>18,10,4,6,,10,4,6,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Matric,>60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,11 - 13,235,31,204,,235,31,204,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,14 - 15,33,5,28,,33,5,28,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,15 - 24,58,13,45,,58,13,45,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,15 - 49,58,13,45,,58,13,45,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,25 - 40,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,41 - 60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,5,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,5 - 16,342,42,300,,342,42,300,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,6 - 10,62,3,59,,62,3,59,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,>18,9,,9,,9,,9,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Middle,>60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,11 - 13,111,26,85,,111,26,85,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,14 - 15,22,4,18,,22,4,18,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,15 - 24,22,5,17,,22,5,17,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,15 - 49,22,5,17,,22,5,17,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,25 - 40,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,41 - 60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,5,237,49,188,,237,49,188,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,5 - 16,2740,718,2022,,2740,718,2022,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,6 - 10,2367,639,1728,,2367,639,1728,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,>18,6,3,3,,6,3,3,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Enrolment Primary,>60,,,,,,,,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Ever Attended,11 - 13,524,104,420,,524,104,420,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Ever Attended,14 - 15,224,50,174,,224,50,174,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Ever Attended,15 - 24,812,150,662,,812,150,662,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Ever Attended,15 - 49,1725,269,1456,,1725,269,1456,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Ever Attended,25 - 40,698,93,605,,698,93,605,,,,,
ARANJI,KHUZDAR,SUB-TEHSIL,Ever Attended,41 - 60,375,35,340,,375,35,340,,,,,
