name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,11 - 13,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,14 - 15,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,15 - 24,3113,1460,1653,,2648,1203,1445,,465,257,208,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,15 - 49,3480,1637,1843,,2958,1356,1602,,522,281,241,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,25 - 40,356,173,183,,302,150,152,,54,23,31,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,41 - 60,14,4,10,,10,3,7,,4,1,3,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,5,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,5 - 16,147,61,86,,122,52,70,,25,9,16,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,6 - 10,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,>18,2583,1226,1357,,2213,1017,1196,,370,209,161,
-HAZARI,JHANG,TEHSIL,Enrolment Graduation above,>60,4,3,1,,3,2,1,,1,1,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,14 - 15,648,286,362,,556,242,314,,92,44,48,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,15 - 24,4180,1710,2470,,3660,1479,2181,,520,231,289,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,15 - 49,4279,1742,2537,,3748,1505,2243,,531,237,294,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,25 - 40,82,28,54,,71,22,49,,11,6,5,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,41 - 60,22,7,15,,21,7,14,,1,,1,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,5,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,5 - 16,1702,706,996,,1490,605,885,,212,101,111,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,>18,964,370,594,,855,322,533,,109,48,61,
-HAZARI,JHANG,TEHSIL,Enrolment Intermidiate,>60,2,,2,,1,,1,,1,,1,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,11 - 13,1862,773,1089,,1673,687,986,,189,86,103,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,14 - 15,4738,1964,2774,,4211,1715,2496,,527,249,278,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,15 - 24,4242,1712,2530,,3805,1514,2291,,437,198,239,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,15 - 49,4242,1712,2530,,3805,1514,2291,,437,198,239,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,25 - 40,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,41 - 60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,5,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,5 - 16,7935,3281,4654,,7091,2887,4204,,844,394,450,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,6 - 10,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,>18,239,105,134,,217,92,125,,22,13,9,
-HAZARI,JHANG,TEHSIL,Enrolment Matric,>60,,,,,,,,,,,,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,11 - 13,11273,4941,6332,,10060,4405,5655,,1213,536,677,
-HAZARI,JHANG,TEHSIL,Enrolment Middle,14 - 15,2716,1124,1592,,2441,998,1443,,275,126,149,
