name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
BALOCHISTAN,,PROVINCE,Population,14562011,7609380,6952631,10229422,5354724,4874698,4332589,2254656,2077933
BALOCHISTAN,,PROVINCE,Disability,305359,164672,140687,222687,120090,102597,82672,44582,38090
BALOCHISTAN,,PROVINCE,Functional limitation,931278,489742,441536,633672,333846,299826,297606,155896,141710
BALOCHISTAN,,PROVINCE,Seeing,177830,94314,83516,123058,65361,57697,54772,28953,25819
BALOCHISTAN,,PROVINCE,Hearing,189474,99971,89503,128505,67980,60525,60969,31991,28978
BALOCHISTAN,,PROVINCE,Walking/ Climbing,302173,159945,142228,204980,108725,96255,97193,51220,45973
BALOCHISTAN,,PROVINCE,Communication,93982,51313,42669,65227,35525,29702,28755,15788,12967
BALOCHISTAN,,PROVINCE,Memorization/ Focus,134548,71770,62778,91821,48934,42887,42727,22836,19891
BALOCHISTAN,,PROVINCE,Self care etc,106461,55410,51051,72309,37680,34629,34152,17730,16422
AWARAN,AWARAN,DISTRICT,Population,178958,91640,87318,132122,67528,64594,46836,24112,22724
AWARAN,AWARAN,DISTRICT,Disability,5805,2444,3361,4723,2050,2673,1082,394,688
AWARAN,AWARAN,DISTRICT,Functional limitation,6964,3168,3796,5440,2513,2927,1524,655,869
AWARAN,AWARAN,DISTRICT,Seeing,1406,717,689,1076,544,532,330,173,157
AWARAN,AWARAN,DISTRICT,Hearing,1013,486,527,801,382,419,212,104,108
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,2830,1301,1529,2091,970,1121,739,331,408
AWARAN,AWARAN,DISTRICT,Communication,1054,488,566,866,407,459,188,81,107
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,1144,550,594,910,438,472,234,112,122
AWARAN,AWARAN,DISTRICT,Self care etc,861,361,500,699,304,395,162,57,105
AWARAN,AWARAN,SUB-DIVISION,Population,45774,23192,22582,16994,8513,8481,28780,14679,14101
AWARAN,AWARAN,SUB-DIVISION,Disability,1344,571,773,724,346,378,620,225,395
AWARAN,AWARAN,SUB-DIVISION,Functional limitation,1684,773,911,823,405,418,861,368,493
AWARAN,AWARAN,SUB-DIVISION,Seeing,304,165,139,129,66,63,175,99,76
AWARAN,AWARAN,SUB-DIVISION,Hearing,218,108,110,98,50,48,120,58,62
AWARAN,AWARAN,SUB-DIVISION,Walking/ Climbing,787,354,433,378,172,206,409,182,227
AWARAN,AWARAN,SUB-DIVISION,Communication,213,105,108,92,50,42,121,55,66
AWARAN,AWARAN,SUB-DIVISION,Memorization/ Focus,265,132,133,118,58,60,147,74,73
AWARAN,AWARAN,SUB-DIVISION,Self care etc,195,87,108,104,56,48,91,31,60
GISHKORE,AWARAN,TEHSIL,Population,31462,16107,15355,31462,16107,15355,,,
GISHKORE,AWARAN,TEHSIL,Disability,1235,506,729,1235,506,729,,,
GISHKORE,AWARAN,TEHSIL,Functional limitation,1483,660,823,1483,660,823,,,
GISHKORE,AWARAN,TEHSIL,Seeing,266,129,137,266,129,137,,,
GISHKORE,AWARAN,TEHSIL,Hearing,175,91,84,175,91,84,,,
GISHKORE,AWARAN,TEHSIL,Walking/ Climbing,651,299,352,651,299,352,,,
GISHKORE,AWARAN,TEHSIL,Communication,217,86,131,217,86,131,,,
GISHKORE,AWARAN,TEHSIL,Memorization/ Focus,238,103,135,238,103,135,,,
GISHKORE,AWARAN,TEHSIL,Self care etc,173,73,100,173,73,100,,,
JHAL JAO,AWARAN,TEHSIL,Population,28132,14423,13709,28132,14423,13709,,,
JHAL JAO,AWARAN,TEHSIL,Disability,1439,688,751,1439,688,751,,,
JHAL JAO,AWARAN,TEHSIL,Functional limitation,1533,756,777,1533,756,777,,,
JHAL JAO,AWARAN,TEHSIL,Seeing,288,142,146,288,142,146,,,
JHAL JAO,AWARAN,TEHSIL,Hearing,290,145,145,290,145,145,,,
JHAL JAO,AWARAN,TEHSIL,Walking/ Climbing,351,189,162,351,189,162,,,
JHAL JAO,AWARAN,TEHSIL,Communication,252,124,128,252,124,128,,,
JHAL JAO,AWARAN,TEHSIL,Memorization/ Focus,260,124,136,260,124,136,,,
JHAL JAO,AWARAN,TEHSIL,Self care etc,246,120,126,246,120,126,,,
KORAK JHAO,AWARAN,TEHSIL,Population,27652,14238,13414,27652,14238,13414,,,
KORAK JHAO,AWARAN,TEHSIL,Disability,743,301,442,743,301,442,,,
KORAK JHAO,AWARAN,TEHSIL,Functional limitation,856,381,475,856,381,475,,,
KORAK JHAO,AWARAN,TEHSIL,Seeing,270,153,117,270,153,117,,,
KORAK JHAO,AWARAN,TEHSIL,Hearing,164,65,99,164,65,99,,,
KORAK JHAO,AWARAN,TEHSIL,Walking/ Climbing,347,150,197,347,150,197,,,
KORAK JHAO,AWARAN,TEHSIL,Communication,217,109,108,217,109,108,,,
KORAK JHAO,AWARAN,TEHSIL,Memorization/ Focus,167,95,72,167,95,72,,,
KORAK JHAO,AWARAN,TEHSIL,Self care etc,91,26,65,91,26,65,,,
MASHKAI,AWARAN,TEHSIL,Population,45938,23680,22258,27882,14247,13635,18056,9433,8623
MASHKAI,AWARAN,TEHSIL,Disability,1044,378,666,582,209,373,462,169,293
MASHKAI,AWARAN,TEHSIL,Functional limitation,1408,598,810,745,311,434,663,287,376
MASHKAI,AWARAN,TEHSIL,Seeing,278,128,150,123,54,69,155,74,81
MASHKAI,AWARAN,TEHSIL,Hearing,166,77,89,74,31,43,92,46,46
MASHKAI,AWARAN,TEHSIL,Walking/ Climbing,694,309,385,364,160,204,330,149,181
MASHKAI,AWARAN,TEHSIL,Communication,155,64,91,88,38,50,67,26,41
MASHKAI,AWARAN,TEHSIL,Memorization/ Focus,214,96,118,127,58,69,87,38,49
MASHKAI,AWARAN,TEHSIL,Self care etc,156,55,101,85,29,56,71,26,45
BARKHAN,BARKHAN,DISTRICT,Population,210249,109632,100617,195824,102233,93591,14425,7399,7026
BARKHAN,BARKHAN,DISTRICT,Disability,4442,2823,1619,4144,2607,1537,298,216,82
BARKHAN,BARKHAN,DISTRICT,Functional limitation,20723,11572,9151,19110,10652,8458,1613,920,693
BARKHAN,BARKHAN,DISTRICT,Seeing,5586,2947,2639,5199,2745,2454,387,202,185
BARKHAN,BARKHAN,DISTRICT,Hearing,5570,2983,2587,5165,2778,2387,405,205,200
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,7197,3952,3245,6675,3668,3007,522,284,238
BARKHAN,BARKHAN,DISTRICT,Communication,2508,1407,1101,2312,1306,1006,196,101,95
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,3479,1895,1584,3189,1736,1453,290,159,131
BARKHAN,BARKHAN,DISTRICT,Self care etc,1852,1092,760,1678,983,695,174,109,65
BARKHAN,BARKHAN,TEHSIL,Population,210249,109632,100617,195824,102233,93591,14425,7399,7026
BARKHAN,BARKHAN,TEHSIL,Disability,4442,2823,1619,4144,2607,1537,298,216,82
BARKHAN,BARKHAN,TEHSIL,Functional limitation,20723,11572,9151,19110,10652,8458,1613,920,693
BARKHAN,BARKHAN,TEHSIL,Seeing,5586,2947,2639,5199,2745,2454,387,202,185
BARKHAN,BARKHAN,TEHSIL,Hearing,5570,2983,2587,5165,2778,2387,405,205,200
BARKHAN,BARKHAN,TEHSIL,Walking/ Climbing,7197,3952,3245,6675,3668,3007,522,284,238
BARKHAN,BARKHAN,TEHSIL,Communication,2508,1407,1101,2312,1306,1006,196,101,95
BARKHAN,BARKHAN,TEHSIL,Memorization/ Focus,3479,1895,1584,3189,1736,1453,290,159,131
BARKHAN,BARKHAN,TEHSIL,Self care etc,1852,1092,760,1678,983,695,174,109,65
CHAGAI,CHAGAI,DISTRICT,Population,268611,139647,128964,248652,129435,119217,19959,10212,9747
CHAGAI,CHAGAI,DISTRICT,Disability,4460,2157,2303,4214,2058,2156,246,99,147
CHAGAI,CHAGAI,DISTRICT,Functional limitation,18272,9473,8799,16806,8742,8064,1466,731,735
CHAGAI,CHAGAI,DISTRICT,Seeing,3929,2099,1830,3559,1905,1654,370,194,176
CHAGAI,CHAGAI,DISTRICT,Hearing,4197,2242,1955,3808,2036,1772,389,206,183
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,5861,3068,2793,5329,2796,2533,532,272,260
CHAGAI,CHAGAI,DISTRICT,Communication,2029,1093,936,1815,985,830,214,108,106
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,2820,1486,1334,2539,1340,1199,281,146,135
CHAGAI,CHAGAI,DISTRICT,Self care etc,1976,999,977,1832,928,904,144,71,73
CHAGAI,CHAGAI,TEHSIL,Population,73326,36995,36331,73326,36995,36331,,,
CHAGAI,CHAGAI,TEHSIL,Disability,977,482,495,977,482,495,,,
CHAGAI,CHAGAI,TEHSIL,Functional limitation,4875,2516,2359,4875,2516,2359,,,
CHAGAI,CHAGAI,TEHSIL,Seeing,1112,595,517,1112,595,517,,,
CHAGAI,CHAGAI,TEHSIL,Hearing,1214,645,569,1214,645,569,,,
CHAGAI,CHAGAI,TEHSIL,Walking/ Climbing,1702,891,811,1702,891,811,,,
CHAGAI,CHAGAI,TEHSIL,Communication,587,312,275,587,312,275,,,
CHAGAI,CHAGAI,TEHSIL,Memorization/ Focus,789,423,366,789,423,366,,,
CHAGAI,CHAGAI,TEHSIL,Self care etc,491,245,246,491,245,246,,,
DALBANDIN,CHAGAI,SUB-DIVISION,Population,122763,63631,59132,102804,53419,49385,19959,10212,9747
DALBANDIN,CHAGAI,SUB-DIVISION,Disability,1446,659,787,1200,560,640,246,99,147
DALBANDIN,CHAGAI,SUB-DIVISION,Functional limitation,7939,4108,3831,6473,3377,3096,1466,731,735
DALBANDIN,CHAGAI,SUB-DIVISION,Seeing,1824,980,844,1454,786,668,370,194,176
DALBANDIN,CHAGAI,SUB-DIVISION,Hearing,1903,1026,877,1514,820,694,389,206,183
DALBANDIN,CHAGAI,SUB-DIVISION,Walking/ Climbing,2661,1387,1274,2129,1115,1014,532,272,260
DALBANDIN,CHAGAI,SUB-DIVISION,Communication,865,461,404,651,353,298,214,108,106
DALBANDIN,CHAGAI,SUB-DIVISION,Memorization/ Focus,1271,665,606,990,519,471,281,146,135
DALBANDIN,CHAGAI,SUB-DIVISION,Self care etc,798,400,398,654,329,325,144,71,73
NOKUNDI,CHAGAI,TEHSIL,Population,30415,16527,13888,30415,16527,13888,,,
NOKUNDI,CHAGAI,TEHSIL,Disability,273,137,136,273,137,136,,,
NOKUNDI,CHAGAI,TEHSIL,Functional limitation,1624,849,775,1624,849,775,,,
NOKUNDI,CHAGAI,TEHSIL,Seeing,306,169,137,306,169,137,,,
NOKUNDI,CHAGAI,TEHSIL,Hearing,355,194,161,355,194,161,,,
NOKUNDI,CHAGAI,TEHSIL,Walking/ Climbing,492,257,235,492,257,235,,,
NOKUNDI,CHAGAI,TEHSIL,Communication,156,95,61,156,95,61,,,
NOKUNDI,CHAGAI,TEHSIL,Memorization/ Focus,233,122,111,233,122,111,,,
NOKUNDI,CHAGAI,TEHSIL,Self care etc,178,91,87,178,91,87,,,
TAFTAN,CHAGAI,SUB-DIVISION,Population,19259,10707,8552,19259,10707,8552,,,
TAFTAN,CHAGAI,SUB-DIVISION,Disability,1218,599,619,1218,599,619,,,
TAFTAN,CHAGAI,SUB-DIVISION,Functional limitation,2082,1109,973,2082,1109,973,,,
TAFTAN,CHAGAI,SUB-DIVISION,Seeing,397,209,188,397,209,188,,,
TAFTAN,CHAGAI,SUB-DIVISION,Hearing,403,221,182,403,221,182,,,
TAFTAN,CHAGAI,SUB-DIVISION,Walking/ Climbing,496,270,226,496,270,226,,,
