name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
KHYBER PAKHTUNKHWA,,PROVINCE,Population,40641120,20743736,19897384,34554415,17604408,16950007,6086705,3139328,2947377
KHYBER PAKHTUNKHWA,,PROVINCE,Disability,1285273,700886,584387,1116070,604503,511567,169203,96383,72820
KHYBER PAKHTUNKHWA,,PROVINCE,Functional limitation,3406060,1779814,1626246,2881800,1500330,1381470,524260,279484,244776
KHYBER PAKHTUNKHWA,,PROVINCE,Seeing,657696,345458,312238,559119,292656,266463,98577,52802,45775
KHYBER PAKHTUNKHWA,,PROVINCE,Hearing,687790,357825,329965,581331,301617,279714,106459,56208,50251
KHYBER PAKHTUNKHWA,,PROVINCE,Walking/ Climbing,1170285,618771,551514,992567,523165,469402,177718,95606,82112
KHYBER PAKHTUNKHWA,,PROVINCE,Communication,421225,230351,190874,360391,196288,164103,60834,34063,26771
KHYBER PAKHTUNKHWA,,PROVINCE,Memorization/ Focus,562712,301106,261606,477520,255008,222512,85192,46098,39094
KHYBER PAKHTUNKHWA,,PROVINCE,Self care etc,361553,185176,176377,304549,155036,149513,57004,30140,26864
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,1397587,702010,695577,1086688,544457,542231,310899,157553,153346
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,58860,31032,27828,50955,26686,24269,7905,4346,3559
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,153573,80712,72861,124631,64932,59699,28942,15780,13162
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,30200,15924,14276,24703,12909,11794,5497,3015,2482
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,32168,16814,15354,26159,13511,12648,6009,3303,2706
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,52258,27755,24503,42598,22496,20102,9660,5259,4401
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,19762,10726,9036,16505,8895,7610,3257,1831,1426
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,25739,13741,11998,21025,11163,9862,4714,2578,2136
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,16448,8511,7937,13236,6724,6512,3212,1787,1425
ABBOTTABAD,ABBOTTABAD,TEHSIL,Population,981967,495816,486151,727449,366465,360984,254518,129351,125167
