name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
PUNJAB,,PROVINCE,Population,127333305,65291680,62041625,75620438,38584696,37035742,51712867,26706984,25005883
PUNJAB,,PROVINCE,Disability,4487038,2488776,1998262,2787830,1533173,1254657,1699208,955603,743605
PUNJAB,,PROVINCE,Functional limitation,13507697,7142499,6365198,8068689,4248166,3820523,5439008,2894333,2544675
PUNJAB,,PROVINCE,Seeing,2463045,1301675,1161370,1485931,782564,703367,977114,519111,458003
PUNJAB,,PROVINCE,Hearing,2759390,1452948,1306442,1648719,865624,783095,1110671,587324,523347
PUNJAB,,PROVINCE,Walking/ Climbing,4337871,2329378,2008493,2599348,1391622,1207726,1738523,937756,800767
PUNJAB,,PROVINCE,Communication,1511716,830546,681170,925230,507867,417363,586486,322679,263807
PUNJAB,,PROVINCE,Memorization/ Focus,2037298,1092268,945030,1230806,657394,573412,806492,434874,371618
PUNJAB,,PROVINCE,Self care etc,1548468,810486,737982,914429,474143,440286,634039,336343,297696
ATTOCK,ATTOCK,DISTRICT,Population,2133005,1071774,1061231,1546356,775757,770599,586649,296017,290632
ATTOCK,ATTOCK,DISTRICT,Disability,91912,49319,42593,70933,37665,33268,20979,11654,9325
ATTOCK,ATTOCK,DISTRICT,Functional limitation,220659,106155,114504,167087,79891,87196,53572,26264,27308
ATTOCK,ATTOCK,DISTRICT,Seeing,41161,19794,21367,31034,14990,16044,10127,4804,5323
ATTOCK,ATTOCK,DISTRICT,Hearing,43115,20354,22761,32349,15282,17067,10766,5072,5694
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,74888,37106,37782,56150,27675,28475,18738,9431,9307
ATTOCK,ATTOCK,DISTRICT,Communication,26930,13789,13141,20561,10441,10120,6369,3348,3021
ATTOCK,ATTOCK,DISTRICT,Memorization/ Focus,34328,17069,17259,25932,12744,13188,8396,4325,4071
ATTOCK,ATTOCK,DISTRICT,Self care etc,25066,11936,13130,19102,8937,10165,5964,2999,2965
ATTOCK,ATTOCK,TEHSIL,Population,479094,241734,237360,226155,114313,111842,252939,127421,125518
ATTOCK,ATTOCK,TEHSIL,Disability,20861,11504,9357,11290,6249,5041,9571,5255,4316
ATTOCK,ATTOCK,TEHSIL,Functional limitation,46794,23105,23689,23774,11817,11957,23020,11288,11732
ATTOCK,ATTOCK,TEHSIL,Seeing,8504,4186,4318,4288,2131,2157,4216,2055,2161
ATTOCK,ATTOCK,TEHSIL,Hearing,8841,4266,4575,4308,2103,2205,4533,2163,2370
ATTOCK,ATTOCK,TEHSIL,Walking/ Climbing,16587,8431,8156,8365,4303,4062,8222,4128,4094
ATTOCK,ATTOCK,TEHSIL,Communication,5724,3047,2677,2844,1546,1298,2880,1501,1379
ATTOCK,ATTOCK,TEHSIL,Memorization/ Focus,7252,3699,3553,3509,1803,1706,3743,1896,1847
ATTOCK,ATTOCK,TEHSIL,Self care etc,5401,2651,2750,2745,1354,1391,2656,1297,1359
FATEH JANG,ATTOCK,TEHSIL,Population,374726,189300,185426,293405,148268,145137,81321,41032,40289
FATEH JANG,ATTOCK,TEHSIL,Disability,16068,8772,7296,13596,7411,6185,2472,1361,1111
FATEH JANG,ATTOCK,TEHSIL,Functional limitation,39580,19227,20353,32532,15810,16722,7048,3417,3631
FATEH JANG,ATTOCK,TEHSIL,Seeing,7381,3577,3804,5666,2730,2936,1715,847,868
FATEH JANG,ATTOCK,TEHSIL,Hearing,7564,3581,3983,6226,2953,3273,1338,628,710
FATEH JANG,ATTOCK,TEHSIL,Walking/ Climbing,13814,6895,6919,11278,5625,5653,2536,1270,1266
FATEH JANG,ATTOCK,TEHSIL,Communication,4895,2513,2382,4015,2075,1940,880,438,442
FATEH JANG,ATTOCK,TEHSIL,Memorization/ Focus,6081,3042,3039,4960,2503,2457,1121,539,582
FATEH JANG,ATTOCK,TEHSIL,Self care etc,4449,2142,2307,3782,1831,1951,667,311,356
HASAN ABDAL,ATTOCK,TEHSIL,Population,253435,128996,124439,184082,93490,90592,69353,35506,33847
HASAN ABDAL,ATTOCK,TEHSIL,Disability,16366,8982,7384,13194,7107,6087,3172,1875,1297
HASAN ABDAL,ATTOCK,TEHSIL,Functional limitation,29979,15147,14832,23198,11607,11591,6781,3540,3241
HASAN ABDAL,ATTOCK,TEHSIL,Seeing,5568,2735,2833,4458,2297,2161,1110,438,672
HASAN ABDAL,ATTOCK,TEHSIL,Hearing,6184,2982,3202,4686,2319,2367,1498,663,835
HASAN ABDAL,ATTOCK,TEHSIL,Walking/ Climbing,7480,3787,3693,5533,2726,2807,1947,1061,886
HASAN ABDAL,ATTOCK,TEHSIL,Communication,3977,2204,1773,3205,1763,1442,772,441,331
HASAN ABDAL,ATTOCK,TEHSIL,Memorization/ Focus,4763,2609,2154,3714,1955,1759,1049,654,395
HASAN ABDAL,ATTOCK,TEHSIL,Self care etc,3990,2023,1967,3194,1515,1679,796,508,288
HAZRO,ATTOCK,TEHSIL,Population,386544,195019,191525,323572,163258,160314,62972,31761,31211
HAZRO,ATTOCK,TEHSIL,Disability,13853,7606,6247,12117,6655,5462,1736,951,785
HAZRO,ATTOCK,TEHSIL,Functional limitation,36135,17570,18565,30644,14955,15689,5491,2615,2876
HAZRO,ATTOCK,TEHSIL,Seeing,7098,3440,3658,6089,2961,3128,1009,479,530
HAZRO,ATTOCK,TEHSIL,Hearing,7008,3310,3698,5887,2786,3101,1121,524,597
HAZRO,ATTOCK,TEHSIL,Walking/ Climbing,13015,6511,6504,11040,5530,5510,1975,981,994
HAZRO,ATTOCK,TEHSIL,Communication,4175,2164,2011,3591,1862,1729,584,302,282
HAZRO,ATTOCK,TEHSIL,Memorization/ Focus,5575,2779,2796,4751,2382,2369,824,397,427
HAZRO,ATTOCK,TEHSIL,Self care etc,3927,1880,2047,3317,1588,1729,610,292,318
JAND,ATTOCK,TEHSIL,Population,330328,162889,167439,274074,135161,138913,56254,27728,28526
