name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
SINDH,,PROVINCE,Population,55638409,28990946,26647463,25623864,13238551,12385313,30014545,15752395,14262150
SINDH,,PROVINCE,Disability,1297882,691521,606361,564402,299097,265305,733480,392424,341056
SINDH,,PROVINCE,Functional limitation,5139958,2722682,2417276,1941313,1016470,924843,3198645,1706212,1492433
SINDH,,PROVINCE,Seeing,982093,524478,457615,374644,197714,176930,607449,326764,280685
SINDH,,PROVINCE,Hearing,1103983,588445,515538,412609,216956,195653,691374,371489,319885
SINDH,,PROVINCE,Walking/ Climbing,1621277,865705,755572,628210,332847,295363,993067,532858,460209
SINDH,,PROVINCE,Communication,534995,293948,241047,212044,116109,95935,322951,177839,145112
SINDH,,PROVINCE,Memorization/ Focus,774154,416987,357167,296183,157696,138487,477971,259291,218680
SINDH,,PROVINCE,Self care etc,572877,298883,273994,213247,109511,103736,359630,189372,170258
BADIN,BADIN,DISTRICT,Population,1945417,1012130,933287,1516567,789744,726823,428850,222386,206464
BADIN,BADIN,DISTRICT,Disability,39454,21785,17669,31482,17419,14063,7972,4366,3606
BADIN,BADIN,DISTRICT,Functional limitation,152688,84357,68331,118498,65406,53092,34190,18951,15239
BADIN,BADIN,DISTRICT,Seeing,30937,17039,13898,23981,13222,10759,6956,3817,3139
BADIN,BADIN,DISTRICT,Hearing,33489,18659,14830,25884,14370,11514,7605,4289,3316
BADIN,BADIN,DISTRICT,Walking/ Climbing,49763,27610,22153,38532,21333,17199,11231,6277,4954
BADIN,BADIN,DISTRICT,Communication,17427,9921,7506,13142,7530,5612,4285,2391,1894
BADIN,BADIN,DISTRICT,Memorization/ Focus,24034,13475,10559,18533,10390,8143,5501,3085,2416
BADIN,BADIN,DISTRICT,Self care etc,15830,8608,7222,12553,6765,5788,3277,1843,1434
BADIN,BADIN,TALUKA,Population,488722,254897,233825,347159,181564,165595,141563,73333,68230
BADIN,BADIN,TALUKA,Disability,7137,4230,2907,5240,3110,2130,1897,1120,777
BADIN,BADIN,TALUKA,Functional limitation,35731,20166,15565,25524,14381,11143,10207,5785,4422
BADIN,BADIN,TALUKA,Seeing,7531,4231,3300,5369,2995,2374,2162,1236,926
BADIN,BADIN,TALUKA,Hearing,8175,4647,3528,5876,3327,2549,2299,1320,979
BADIN,BADIN,TALUKA,Walking/ Climbing,12034,6783,5251,8534,4816,3718,3500,1967,1533
BADIN,BADIN,TALUKA,Communication,4255,2526,1729,3017,1788,1229,1238,738,500
BADIN,BADIN,TALUKA,Memorization/ Focus,5730,3317,2413,4087,2368,1719,1643,949,694
BADIN,BADIN,TALUKA,Self care etc,3433,1900,1533,2474,1361,1113,959,539,420
