name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,0 - 4,7,7,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,10 - 12,5,5,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,13 - 14,0,0,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,15 - 24,16,16,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,15 - 49,48,48,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,25 - 40,20,20,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,41 - 60,80,80,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,5 - 16,15,15,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,5 - 9,4,4,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,>18,294,294,0
ARANJI,KHUZDAR,SUB-TEHSIL,Communication,>60,186,186,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,0 - 4,13,13,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,10 - 12,12,12,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,13 - 14,3,3,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,15 - 24,34,34,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,15 - 49,183,183,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,25 - 40,70,70,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,41 - 60,439,439,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,5 - 16,35,35,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,5 - 9,12,12,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,>18,1462,1462,0
ARANJI,KHUZDAR,SUB-TEHSIL,Disability,>60,932,932,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,0 - 4,19,19,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,10 - 12,13,13,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,13 - 14,4,4,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,15 - 24,38,38,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,15 - 49,321,321,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,25 - 40,103,103,0
ARANJI,KHUZDAR,SUB-TEHSIL,Functional limitation,41 - 60,856,856,0
