name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,0 - 4,329,237,92
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,10 - 12,720,474,246
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,13 - 14,483,331,152
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,15 - 24,1967,1316,651
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,15 - 49,6273,4324,1949
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,25 - 40,2258,1625,633
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,41 - 60,6736,3539,3197
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,5 - 16,2704,1778,926
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,5 - 9,1039,663,376
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,>18,19014,10610,8404
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,>60,8949,4735,4214
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,0 - 4,1026,739,287
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,10 - 12,1810,1351,459
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,13 - 14,1280,968,312
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,15 - 24,5451,4119,1332
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,15 - 49,18217,14432,3785
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,25 - 40,7483,5974,1509
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,41 - 60,18225,10621,7604
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,5 - 16,6304,4545,1759
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,5 - 9,2049,1367,682
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,>18,64557,38270,26287
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,>60,35698,19267,16431
ISLAMABAD,ISLAMABAD,DISTRICT,Functional limitation,0 - 4,1400,899,501
ISLAMABAD,ISLAMABAD,DISTRICT,Functional limitation,10 - 12,2113,1506,607
ISLAMABAD,ISLAMABAD,DISTRICT,Functional limitation,13 - 14,1478,1074,404
ISLAMABAD,ISLAMABAD,DISTRICT,Functional limitation,15 - 24,6759,4798,1961
ISLAMABAD,ISLAMABAD,DISTRICT,Functional limitation,15 - 49,41661,27050,14611
