name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,0 - 4,405,355,50
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,10 - 12,649,541,108
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,13 - 14,467,404,63
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,15 - 24,1717,1475,242
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,15 - 49,5517,4680,837
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,25 - 40,1948,1698,250
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,41 - 60,6379,5275,1104
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,5 - 16,2599,2226,373
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,5 - 9,1101,954,147
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,>18,16361,13594,2767
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,>60,7096,5803,1293
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,0 - 4,1201,1103,98
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,10 - 12,1509,1349,160
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,13 - 14,1041,933,108
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,15 - 24,4369,3870,499
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,15 - 49,13933,12587,1346
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,25 - 40,5649,5119,530
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,41 - 60,15283,13476,1807
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,5 - 16,5817,5186,631
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,5 - 9,2276,2016,260
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,>18,50885,43831,7054
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,>60,27532,23089,4443
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,0 - 4,1443,1286,157
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,10 - 12,1806,1579,227
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,13 - 14,1255,1103,152
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,15 - 24,5254,4498,756
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,15 - 49,31234,25597,5637
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,25 - 40,7810,6739,1071
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,41 - 60,63095,50231,12864
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,5 - 16,6910,6034,876
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,5 - 9,2664,2322,342
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,>18,144114,116363,27751
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,>60,70246,56873,13373
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,0 - 4,246,209,37
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,10 - 12,384,331,53
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,13 - 14,299,266,33
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,15 - 24,1129,950,179
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,15 - 49,6668,5384,1284
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,25 - 40,1486,1267,219
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,41 - 60,13560,10783,2777
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,5 - 16,1574,1364,210
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,5 - 9,646,563,83
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,>18,30098,24378,5720
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,>60,14418,11790,2628
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,0 - 4,306,259,47
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,10 - 12,601,525,76
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,13 - 14,428,374,54
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,15 - 24,1774,1500,274
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,15 - 49,6869,5721,1148
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,25 - 40,2140,1838,302
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,41 - 60,9520,7564,1956
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,5 - 16,2286,1971,315
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,5 - 9,853,731,122
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,>18,22746,18459,4287
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,>60,10117,8234,1883
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,0 - 4,166605,132484,34121
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,10 - 12,96642,74878,21764
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,13 - 14,62990,48841,14149
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,15 - 24,257126,196762,60364
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,15 - 49,700234,538694,161540
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,25 - 40,313668,243236,70432
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,41 - 60,237482,182333,55149
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,5 - 16,384237,299956,84281
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,5 - 9,167669,132443,35226
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,>18,792617,612601,180016
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,>60,95405,75711,19694
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,0 - 4,245,213,32
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,10 - 12,404,337,67
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,13 - 14,308,260,48
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,15 - 24,1325,1068,257
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,15 - 49,6751,5440,1311
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,25 - 40,1758,1451,307
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,41 - 60,11619,9395,2224
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,5 - 16,1611,1350,261
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,5 - 9,625,534,91
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,>18,28041,22895,5146
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,>60,13916,11445,2471
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,0 - 4,127,121,6
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,10 - 12,110,105,5
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,13 - 14,61,58,3
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,15 - 24,274,263,11
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,15 - 49,2622,2189,433
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,25 - 40,433,407,26
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,41 - 60,7350,5753,1597
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,5 - 16,356,343,13
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,5 - 9,121,117,4
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,>18,15913,12722,3191
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,>60,7972,6412,1560
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,0 - 4,774,670,104
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,10 - 12,818,712,106
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,13 - 14,570,505,65
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,15 - 24,2285,1924,361
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,15 - 49,11418,9342,2076
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,25 - 40,3628,3044,584
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,41 - 60,18793,15036,3757
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,5 - 16,3270,2833,437
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,5 - 9,1353,1167,186
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,>18,47744,38699,9045
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,>60,24037,19540,4497
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,0 - 4,266,226,40
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,10 - 12,414,329,85
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,13 - 14,298,248,50
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,15 - 24,1101,900,201
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,15 - 49,3397,2709,688
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,25 - 40,1207,999,208
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,41 - 60,3536,2673,863
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,5 - 16,1667,1374,293
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,5 - 9,702,591,111
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,>18,10013,7807,2206
ABBOTTABAD,ABBOTTABAD,TEHSIL,Communication,>60,4663,3632,1031
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,0 - 4,652,575,77
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,10 - 12,887,769,118
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,13 - 14,604,525,79
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,15 - 24,2592,2194,398
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,15 - 49,7292,6200,1092
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,25 - 40,3104,2658,446
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,41 - 60,6395,5292,1103
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,5 - 16,3459,2987,472
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,5 - 9,1348,1157,191
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,>18,28324,23000,5324
ABBOTTABAD,ABBOTTABAD,TEHSIL,Disability,>60,17418,13870,3548
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,0 - 4,823,702,121
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,10 - 12,1091,921,170
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,13 - 14,769,652,117
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,15 - 24,3232,2617,615
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,15 - 49,19565,14919,4646
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,25 - 40,4650,3753,897
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,41 - 60,39922,29653,10269
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,5 - 16,4232,3557,675
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,5 - 9,1615,1356,259
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,>18,93079,70525,22554
ABBOTTABAD,ABBOTTABAD,TEHSIL,Functional limitation,>60,46707,35689,11018
ABBOTTABAD,ABBOTTABAD,TEHSIL,Hearing,0 - 4,159,129,30
ABBOTTABAD,ABBOTTABAD,TEHSIL,Hearing,10 - 12,261,218,43
ABBOTTABAD,ABBOTTABAD,TEHSIL,Hearing,13 - 14,205,176,29
ABBOTTABAD,ABBOTTABAD,TEHSIL,Hearing,15 - 24,740,590,150
