name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
-HAZARI,JHANG,TEHSIL,Communication,0 - 4,163,159,4
-HAZARI,JHANG,TEHSIL,Communication,10 - 12,264,250,14
-HAZARI,JHANG,TEHSIL,Communication,13 - 14,181,175,6
-HAZARI,JHANG,TEHSIL,Communication,15 - 24,770,719,51
-HAZARI,JHANG,TEHSIL,Communication,15 - 49,2819,2636,183
-HAZARI,JHANG,TEHSIL,Communication,25 - 40,964,921,43
-HAZARI,JHANG,TEHSIL,Communication,41 - 60,2723,2416,307
-HAZARI,JHANG,TEHSIL,Communication,5 - 16,938,887,51
-HAZARI,JHANG,TEHSIL,Communication,5 - 9,328,309,19
-HAZARI,JHANG,TEHSIL,Communication,>18,5332,4859,473
-HAZARI,JHANG,TEHSIL,Communication,>60,1183,1091,92
-HAZARI,JHANG,TEHSIL,Disability,0 - 4,632,472,160
-HAZARI,JHANG,TEHSIL,Disability,10 - 12,966,826,140
-HAZARI,JHANG,TEHSIL,Disability,13 - 14,634,544,90
-HAZARI,JHANG,TEHSIL,Disability,15 - 24,2657,2300,357
-HAZARI,JHANG,TEHSIL,Disability,15 - 49,9537,8577,960
-HAZARI,JHANG,TEHSIL,Disability,25 - 40,3700,3297,403
-HAZARI,JHANG,TEHSIL,Disability,41 - 60,10246,9496,750
-HAZARI,JHANG,TEHSIL,Disability,5 - 16,3057,2532,525
-HAZARI,JHANG,TEHSIL,Disability,5 - 9,863,662,201
-HAZARI,JHANG,TEHSIL,Disability,>18,20228,18554,1674
-HAZARI,JHANG,TEHSIL,Disability,>60,4746,4413,333
-HAZARI,JHANG,TEHSIL,Functional limitation,0 - 4,1050,847,203
-HAZARI,JHANG,TEHSIL,Functional limitation,10 - 12,1379,1202,177
-HAZARI,JHANG,TEHSIL,Functional limitation,13 - 14,1018,892,126
-HAZARI,JHANG,TEHSIL,Functional limitation,15 - 24,4208,3707,501
-HAZARI,JHANG,TEHSIL,Functional limitation,15 - 49,19930,17985,1945
-HAZARI,JHANG,TEHSIL,Functional limitation,25 - 40,6764,6067,697
-HAZARI,JHANG,TEHSIL,Functional limitation,41 - 60,23411,21469,1942
-HAZARI,JHANG,TEHSIL,Functional limitation,5 - 16,4561,3895,666
-HAZARI,JHANG,TEHSIL,Functional limitation,5 - 9,1322,1081,241
-HAZARI,JHANG,TEHSIL,Functional limitation,>18,46170,42183,3987
-HAZARI,JHANG,TEHSIL,Functional limitation,>60,13349,12289,1060
-HAZARI,JHANG,TEHSIL,Hearing,0 - 4,178,126,52
-HAZARI,JHANG,TEHSIL,Hearing,10 - 12,301,241,60
-HAZARI,JHANG,TEHSIL,Hearing,13 - 14,251,204,47
-HAZARI,JHANG,TEHSIL,Hearing,15 - 24,864,727,137
-HAZARI,JHANG,TEHSIL,Hearing,15 - 49,4043,3681,362
-HAZARI,JHANG,TEHSIL,Hearing,25 - 40,1332,1244,88
-HAZARI,JHANG,TEHSIL,Hearing,41 - 60,5365,5000,365
-HAZARI,JHANG,TEHSIL,Hearing,5 - 16,1024,823,201
-HAZARI,JHANG,TEHSIL,Hearing,5 - 9,282,232,50
-HAZARI,JHANG,TEHSIL,Hearing,>18,10315,9535,780
-HAZARI,JHANG,TEHSIL,Hearing,>60,3113,2840,273
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,0 - 4,153,145,8
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,10 - 12,246,239,7
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,13 - 14,171,160,11
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,15 - 24,800,751,49
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,15 - 49,3262,3076,186
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,25 - 40,1106,1049,57
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,41 - 60,3506,3125,381
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,5 - 16,837,789,48
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,5 - 9,263,243,20
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,>18,6964,6359,605
-HAZARI,JHANG,TEHSIL,Memorization/ Focus,>60,1854,1718,136
-HAZARI,JHANG,TEHSIL,Population,0 - 4,46956,42856,4100
-HAZARI,JHANG,TEHSIL,Population,10 - 12,24875,22538,2337
-HAZARI,JHANG,TEHSIL,Population,13 - 14,15435,13941,1494
-HAZARI,JHANG,TEHSIL,Population,15 - 24,60527,55115,5412
-HAZARI,JHANG,TEHSIL,Population,15 - 49,157205,142647,14558
-HAZARI,JHANG,TEHSIL,Population,25 - 40,68902,62344,6558
-HAZARI,JHANG,TEHSIL,Population,41 - 60,51271,46616,4655
-HAZARI,JHANG,TEHSIL,Population,5 - 16,98461,89507,8954
-HAZARI,JHANG,TEHSIL,Population,5 - 9,44299,40433,3866
-HAZARI,JHANG,TEHSIL,Population,>18,173810,157878,15932
-HAZARI,JHANG,TEHSIL,Population,>60,20030,18315,1715
-HAZARI,JHANG,TEHSIL,Seeing,0 - 4,183,142,41
-HAZARI,JHANG,TEHSIL,Seeing,10 - 12,258,180,78
-HAZARI,JHANG,TEHSIL,Seeing,13 - 14,193,142,51
-HAZARI,JHANG,TEHSIL,Seeing,15 - 24,836,585,251
-HAZARI,JHANG,TEHSIL,Seeing,15 - 49,3709,2802,907
-HAZARI,JHANG,TEHSIL,Seeing,25 - 40,1301,890,411
-HAZARI,JHANG,TEHSIL,Seeing,41 - 60,4241,3836,405
-HAZARI,JHANG,TEHSIL,Seeing,5 - 16,901,656,245
-HAZARI,JHANG,TEHSIL,Seeing,5 - 9,278,215,63
-HAZARI,JHANG,TEHSIL,Seeing,>18,9196,8005,1191
-HAZARI,JHANG,TEHSIL,Seeing,>60,3159,2947,212
-HAZARI,JHANG,TEHSIL,Self care etc,0 - 4,113,110,3
-HAZARI,JHANG,TEHSIL,Self care etc,10 - 12,149,146,3
-HAZARI,JHANG,TEHSIL,Self care etc,13 - 14,99,95,4
-HAZARI,JHANG,TEHSIL,Self care etc,15 - 24,476,461,15
-HAZARI,JHANG,TEHSIL,Self care etc,15 - 49,2562,2450,112
-HAZARI,JHANG,TEHSIL,Self care etc,25 - 40,816,783,33
-HAZARI,JHANG,TEHSIL,Self care etc,41 - 60,3113,2956,157
-HAZARI,JHANG,TEHSIL,Self care etc,5 - 16,421,408,13
-HAZARI,JHANG,TEHSIL,Self care etc,5 - 9,84,81,3
-HAZARI,JHANG,TEHSIL,Self care etc,>18,5591,5280,311
-HAZARI,JHANG,TEHSIL,Self care etc,>60,1347,1238,109
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,0 - 4,412,313,99
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,10 - 12,413,385,28
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,13 - 14,324,305,19
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,15 - 24,1228,1146,82
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,15 - 49,5190,4822,368
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,25 - 40,1870,1740,130
-HAZARI,JHANG,TEHSIL,Walking/ Climbing,41 - 60,5070,4704,366
